"","datetime_NM","temp_C","yr","day","mo","season"
"1",2011-10-06 11:00:00,13.846,2011,279,10,"Summer"
"2",2011-10-06 12:00:00,8.08225,2011,279,10,"Summer"
"3",2011-10-06 13:00:00,8.282,2011,279,10,"Summer"
"4",2011-10-06 14:00:00,8.531,2011,279,10,"Summer"
"5",2011-10-06 15:00:00,8.7295,2011,279,10,"Summer"
"6",2011-10-06 16:00:00,8.854,2011,279,10,"Summer"
"7",2011-10-06 17:00:00,9.00275,2011,279,10,"Summer"
"8",2011-10-06 18:00:00,9.077,2011,279,10,"Summer"
"9",2011-10-06 19:00:00,9.077,2011,279,10,"Summer"
"10",2011-10-06 20:00:00,9.077,2011,279,10,"Summer"
"11",2011-10-06 21:00:00,9.00275,2011,279,10,"Summer"
"12",2011-10-06 22:00:00,8.9285,2011,279,10,"Summer"
"13",2011-10-06 23:00:00,8.879,2011,279,10,"Summer"
"14",2011-10-07 00:00:00,8.75425,2011,280,10,"Summer"
"15",2011-10-07 01:00:00,8.68,2011,280,10,"Summer"
"16",2011-10-07 02:00:00,8.581,2011,280,10,"Summer"
"17",2011-10-07 03:00:00,8.481,2011,280,10,"Summer"
"18",2011-10-07 04:00:00,8.4315,2011,280,10,"Summer"
"19",2011-10-07 05:00:00,8.382,2011,280,10,"Summer"
"20",2011-10-07 06:00:00,8.282,2011,280,10,"Summer"
"21",2011-10-07 07:00:00,8.282,2011,280,10,"Summer"
"22",2011-10-07 08:00:00,8.282,2011,280,10,"Summer"
"23",2011-10-07 09:00:00,8.282,2011,280,10,"Summer"
"24",2011-10-07 10:00:00,8.282,2011,280,10,"Summer"
"25",2011-10-07 11:00:00,8.332,2011,280,10,"Summer"
"26",2011-10-07 12:00:00,8.382,2011,280,10,"Summer"
"27",2011-10-07 13:00:00,8.40675,2011,280,10,"Summer"
"28",2011-10-07 14:00:00,8.481,2011,280,10,"Summer"
"29",2011-10-07 15:00:00,8.506,2011,280,10,"Summer"
"30",2011-10-07 16:00:00,8.581,2011,280,10,"Summer"
"31",2011-10-07 17:00:00,8.581,2011,280,10,"Summer"
"32",2011-10-07 18:00:00,8.581,2011,280,10,"Summer"
"33",2011-10-07 19:00:00,8.581,2011,280,10,"Summer"
"34",2011-10-07 20:00:00,8.581,2011,280,10,"Summer"
"35",2011-10-07 21:00:00,8.581,2011,280,10,"Summer"
"36",2011-10-07 22:00:00,8.531,2011,280,10,"Summer"
"37",2011-10-07 23:00:00,8.481,2011,280,10,"Summer"
"38",2011-10-08 00:00:00,8.382,2011,281,10,"Summer"
"39",2011-10-08 01:00:00,8.307,2011,281,10,"Summer"
"40",2011-10-08 02:00:00,8.232,2011,281,10,"Summer"
"41",2011-10-08 03:00:00,8.132,2011,281,10,"Summer"
"42",2011-10-08 04:00:00,8.0325,2011,281,10,"Summer"
"43",2011-10-08 05:00:00,7.9325,2011,281,10,"Summer"
"44",2011-10-08 06:00:00,7.857,2011,281,10,"Summer"
"45",2011-10-08 07:00:00,7.757,2011,281,10,"Summer"
"46",2011-10-08 08:00:00,7.632,2011,281,10,"Summer"
"47",2011-10-08 09:00:00,7.55675,2011,281,10,"Summer"
"48",2011-10-08 10:00:00,7.481,2011,281,10,"Summer"
"49",2011-10-08 11:00:00,7.5315,2011,281,10,"Summer"
"50",2011-10-08 12:00:00,7.582,2011,281,10,"Summer"
"51",2011-10-08 13:00:00,7.682,2011,281,10,"Summer"
"52",2011-10-08 14:00:00,7.757,2011,281,10,"Summer"
"53",2011-10-08 15:00:00,7.857,2011,281,10,"Summer"
"54",2011-10-08 16:00:00,7.95775,2011,281,10,"Summer"
"55",2011-10-08 17:00:00,8.0325,2011,281,10,"Summer"
"56",2011-10-08 18:00:00,8.107,2011,281,10,"Summer"
"57",2011-10-08 19:00:00,8.182,2011,281,10,"Summer"
"58",2011-10-08 20:00:00,8.082,2011,281,10,"Summer"
"59",2011-10-08 21:00:00,7.95775,2011,281,10,"Summer"
"60",2011-10-08 22:00:00,7.807,2011,281,10,"Summer"
"61",2011-10-08 23:00:00,7.657,2011,281,10,"Summer"
"62",2011-10-09 00:00:00,7.50625,2011,282,10,"Summer"
"63",2011-10-09 01:00:00,7.406,2011,282,10,"Summer"
"64",2011-10-09 02:00:00,7.25475,2011,282,10,"Summer"
"65",2011-10-09 03:00:00,7.179,2011,282,10,"Summer"
"66",2011-10-09 04:00:00,7.079,2011,282,10,"Summer"
"67",2011-10-09 05:00:00,7.00325,2011,282,10,"Summer"
"68",2011-10-09 06:00:00,6.9275,2011,282,10,"Summer"
"69",2011-10-09 07:00:00,6.877,2011,282,10,"Summer"
"70",2011-10-09 08:00:00,6.8005,2011,282,10,"Summer"
"71",2011-10-09 09:00:00,6.775,2011,282,10,"Summer"
"72",2011-10-09 10:00:00,6.775,2011,282,10,"Summer"
"73",2011-10-09 11:00:00,6.826,2011,282,10,"Summer"
"74",2011-10-09 12:00:00,6.877,2011,282,10,"Summer"
"75",2011-10-09 13:00:00,6.978,2011,282,10,"Summer"
"76",2011-10-09 14:00:00,7.079,2011,282,10,"Summer"
"77",2011-10-09 15:00:00,7.179,2011,282,10,"Summer"
"78",2011-10-09 16:00:00,7.25475,2011,282,10,"Summer"
"79",2011-10-09 17:00:00,7.3305,2011,282,10,"Summer"
