"","datetime_NM","temp_C","yr","day","mo","season"
"1",2008-12-08 17:00:00,2.7835,2008,343,12,"Winter"
"2",2008-12-08 18:00:00,2.383,2008,343,12,"Winter"
"3",2008-12-08 19:00:00,1.926,2008,343,12,"Winter"
"4",2008-12-08 20:00:00,1.5745,2008,343,12,"Winter"
"5",2008-12-08 21:00:00,1.112,2008,343,12,"Winter"
"6",2008-12-08 22:00:00,0.784,2008,343,12,"Winter"
"7",2008-12-08 23:00:00,0.70125,2008,343,12,"Winter"
"8",2008-12-09 00:00:00,0.4255,2008,344,12,"Winter"
"9",2008-12-09 01:00:00,0.343,2008,344,12,"Winter"
"10",2008-12-09 02:00:00,0.343,2008,344,12,"Winter"
"11",2008-12-09 03:00:00,0.3705,2008,344,12,"Winter"
"12",2008-12-09 04:00:00,0.453,2008,344,12,"Winter"
"13",2008-12-09 05:00:00,0.453,2008,344,12,"Winter"
"14",2008-12-09 06:00:00,0.453,2008,344,12,"Winter"
"15",2008-12-09 07:00:00,0.453,2008,344,12,"Winter"
"16",2008-12-09 08:00:00,0.4805,2008,344,12,"Winter"
"17",2008-12-09 09:00:00,0.59075,2008,344,12,"Winter"
"18",2008-12-09 10:00:00,0.78375,2008,344,12,"Winter"
"19",2008-12-09 11:00:00,1.05725,2008,344,12,"Winter"
"20",2008-12-09 12:00:00,1.54775,2008,344,12,"Winter"
"21",2008-12-09 13:00:00,1.656,2008,344,12,"Winter"
"22",2008-12-09 14:00:00,1.764,2008,344,12,"Winter"
"23",2008-12-09 15:00:00,1.791,2008,344,12,"Winter"
"24",2008-12-09 16:00:00,1.818,2008,344,12,"Winter"
"25",2008-12-09 17:00:00,1.43875,2008,344,12,"Winter"
"26",2008-12-09 18:00:00,0.78325,2008,344,12,"Winter"
"27",2008-12-09 19:00:00,0.315,2008,344,12,"Winter"
"28",2008-12-09 20:00:00,0.20425,2008,344,12,"Winter"
"29",2008-12-09 21:00:00,0.121,2008,344,12,"Winter"
"30",2008-12-09 22:00:00,0.14875,2008,344,12,"Winter"
"31",2008-12-09 23:00:00,0.232,2008,344,12,"Winter"
"32",2008-12-10 00:00:00,0.14875,2008,345,12,"Winter"
"33",2008-12-10 01:00:00,0.121,2008,345,12,"Winter"
"34",2008-12-10 02:00:00,0.121,2008,345,12,"Winter"
"35",2008-12-10 03:00:00,0.121,2008,345,12,"Winter"
"36",2008-12-10 04:00:00,0.121,2008,345,12,"Winter"
"37",2008-12-10 05:00:00,0.121,2008,345,12,"Winter"
"38",2008-12-10 06:00:00,0.121,2008,345,12,"Winter"
"39",2008-12-10 07:00:00,0.121,2008,345,12,"Winter"
"40",2008-12-10 08:00:00,0.121,2008,345,12,"Winter"
"41",2008-12-10 09:00:00,0.121,2008,345,12,"Winter"
"42",2008-12-10 10:00:00,0.121,2008,345,12,"Winter"
"43",2008-12-10 11:00:00,0.14875,2008,345,12,"Winter"
"44",2008-12-10 12:00:00,0.232,2008,345,12,"Winter"
"45",2008-12-10 13:00:00,0.14875,2008,345,12,"Winter"
"46",2008-12-10 14:00:00,0.20425,2008,345,12,"Winter"
"47",2008-12-10 15:00:00,0.20425,2008,345,12,"Winter"
"48",2008-12-10 16:00:00,0.99925,2008,345,12,"Winter"
"49",2008-12-10 17:00:00,2.034,2008,345,12,"Winter"
"50",2008-12-10 18:00:00,1.845,2008,345,12,"Winter"
"51",2008-12-10 19:00:00,1.602,2008,345,12,"Winter"
"52",2008-12-10 20:00:00,1.35725,2008,345,12,"Winter"
"53",2008-12-10 21:00:00,1.112,2008,345,12,"Winter"
"54",2008-12-10 22:00:00,0.866,2008,345,12,"Winter"
"55",2008-12-10 23:00:00,0.56325,2008,345,12,"Winter"
"56",2008-12-11 00:00:00,0.34275,2008,346,12,"Winter"
"57",2008-12-11 01:00:00,0.20425,2008,346,12,"Winter"
"58",2008-12-11 02:00:00,0.14875,2008,346,12,"Winter"
"59",2008-12-11 03:00:00,0.232,2008,346,12,"Winter"
"60",2008-12-11 04:00:00,0.232,2008,346,12,"Winter"
"61",2008-12-11 05:00:00,0.232,2008,346,12,"Winter"
"62",2008-12-11 06:00:00,0.20425,2008,346,12,"Winter"
"63",2008-12-11 07:00:00,0.20425,2008,346,12,"Winter"
"64",2008-12-11 08:00:00,0.121,2008,346,12,"Winter"
"65",2008-12-11 09:00:00,0.121,2008,346,12,"Winter"
"66",2008-12-11 10:00:00,0.121,2008,346,12,"Winter"
"67",2008-12-11 11:00:00,0.121,2008,346,12,"Winter"
"68",2008-12-11 12:00:00,0.20425,2008,346,12,"Winter"
"69",2008-12-11 13:00:00,0.3425,2008,346,12,"Winter"
"70",2008-12-11 14:00:00,2.67425,2008,346,12,"Winter"
"71",2008-12-11 15:00:00,3.76175,2008,346,12,"Winter"
"72",2008-12-11 16:00:00,3.7355,2008,346,12,"Winter"
"73",2008-12-11 17:00:00,3.04875,2008,346,12,"Winter"
"74",2008-12-11 18:00:00,2.3025,2008,346,12,"Winter"
"75",2008-12-11 19:00:00,1.818,2008,346,12,"Winter"
"76",2008-12-11 20:00:00,1.3845,2008,346,12,"Winter"
"77",2008-12-11 21:00:00,1.03,2008,346,12,"Winter"
"78",2008-12-11 22:00:00,0.75625,2008,346,12,"Winter"
"79",2008-12-11 23:00:00,0.4805,2008,346,12,"Winter"
"80",2008-12-12 00:00:00,0.2875,2008,347,12,"Winter"
"81",2008-12-12 01:00:00,0.232,2008,347,12,"Winter"
"82",2008-12-12 02:00:00,0.232,2008,347,12,"Winter"
"83",2008-12-12 03:00:00,0.232,2008,347,12,"Winter"
"84",2008-12-12 04:00:00,0.232,2008,347,12,"Winter"
"85",2008-12-12 05:00:00,0.232,2008,347,12,"Winter"
"86",2008-12-12 06:00:00,0.232,2008,347,12,"Winter"
"87",2008-12-12 07:00:00,0.232,2008,347,12,"Winter"
"88",2008-12-12 08:00:00,0.232,2008,347,12,"Winter"
"89",2008-12-12 09:00:00,0.232,2008,347,12,"Winter"
"90",2008-12-12 10:00:00,0.232,2008,347,12,"Winter"
"91",2008-12-12 11:00:00,0.232,2008,347,12,"Winter"
"92",2008-12-12 12:00:00,0.232,2008,347,12,"Winter"
"93",2008-12-12 13:00:00,0.99925,2008,347,12,"Winter"
"94",2008-12-12 14:00:00,2.56975,2008,347,12,"Winter"
"95",2008-12-12 15:00:00,3.0755,2008,347,12,"Winter"
"96",2008-12-12 16:00:00,3.1285,2008,347,12,"Winter"
"97",2008-12-12 17:00:00,2.996,2008,347,12,"Winter"
"98",2008-12-12 18:00:00,2.81025,2008,347,12,"Winter"
"99",2008-12-12 19:00:00,2.6505,2008,347,12,"Winter"
"100",2008-12-12 20:00:00,2.35625,2008,347,12,"Winter"
"101",2008-12-12 21:00:00,2.06075,2008,347,12,"Winter"
"102",2008-12-12 22:00:00,1.764,2008,347,12,"Winter"
"103",2008-12-12 23:00:00,1.439,2008,347,12,"Winter"
"104",2008-12-13 00:00:00,1.03,2008,348,12,"Winter"
"105",2008-12-13 01:00:00,0.53575,2008,348,12,"Winter"
"106",2008-12-13 02:00:00,0.343,2008,348,12,"Winter"
"107",2008-12-13 03:00:00,0.232,2008,348,12,"Winter"
"108",2008-12-13 04:00:00,0.232,2008,348,12,"Winter"
"109",2008-12-13 05:00:00,0.232,2008,348,12,"Winter"
"110",2008-12-13 06:00:00,0.453,2008,348,12,"Winter"
"111",2008-12-13 07:00:00,0.64625,2008,348,12,"Winter"
"112",2008-12-13 08:00:00,0.8385,2008,348,12,"Winter"
"113",2008-12-13 09:00:00,1.08475,2008,348,12,"Winter"
"114",2008-12-13 10:00:00,1.49325,2008,348,12,"Winter"
"115",2008-12-13 11:00:00,1.872,2008,348,12,"Winter"
"116",2008-12-13 12:00:00,2.249,2008,348,12,"Winter"
"117",2008-12-13 13:00:00,2.7035,2008,348,12,"Winter"
"118",2008-12-13 14:00:00,2.996,2008,348,12,"Winter"
"119",2008-12-13 15:00:00,3.049,2008,348,12,"Winter"
"120",2008-12-13 16:00:00,2.88975,2008,348,12,"Winter"
"121",2008-12-13 17:00:00,2.40975,2008,348,12,"Winter"
"122",2008-12-13 18:00:00,1.845,2008,348,12,"Winter"
"123",2008-12-13 19:00:00,1.41175,2008,348,12,"Winter"
"124",2008-12-13 20:00:00,1.221,2008,348,12,"Winter"
"125",2008-12-13 21:00:00,1.0575,2008,348,12,"Winter"
"126",2008-12-13 22:00:00,0.81125,2008,348,12,"Winter"
"127",2008-12-13 23:00:00,0.784,2008,348,12,"Winter"
