"","datetime_NM","temp_C","yr","day","mo","season"
"1",2008-11-02 16:00:00,3.998,2008,307,11,"Winter"
"2",2008-11-02 17:00:00,3.683,2008,307,11,"Winter"
"3",2008-11-02 18:00:00,3.683,2008,307,11,"Winter"
"4",2008-11-02 19:00:00,3.578,2008,307,11,"Winter"
"5",2008-11-02 20:00:00,3.525,2008,307,11,"Winter"
"6",2008-11-02 21:00:00,3.472,2008,307,11,"Winter"
"7",2008-11-02 22:00:00,3.472,2008,307,11,"Winter"
"8",2008-11-02 23:00:00,3.367,2008,307,11,"Winter"
"9",2008-11-03 00:00:00,3.367,2008,308,11,"Winter"
"10",2008-11-03 01:00:00,3.314,2008,308,11,"Winter"
"11",2008-11-03 02:00:00,3.261,2008,308,11,"Winter"
"12",2008-11-03 03:00:00,3.261,2008,308,11,"Winter"
"13",2008-11-03 04:00:00,3.261,2008,308,11,"Winter"
"14",2008-11-03 05:00:00,3.367,2008,308,11,"Winter"
"15",2008-11-03 06:00:00,3.367,2008,308,11,"Winter"
"16",2008-11-03 07:00:00,3.367,2008,308,11,"Winter"
"17",2008-11-03 08:00:00,3.367,2008,308,11,"Winter"
"18",2008-11-03 09:00:00,3.367,2008,308,11,"Winter"
"19",2008-11-03 10:00:00,3.4195,2008,308,11,"Winter"
"20",2008-11-03 11:00:00,3.472,2008,308,11,"Winter"
"21",2008-11-03 12:00:00,3.6305,2008,308,11,"Winter"
"22",2008-11-03 13:00:00,3.788,2008,308,11,"Winter"
"23",2008-11-03 14:00:00,3.893,2008,308,11,"Winter"
"24",2008-11-03 15:00:00,3.998,2008,308,11,"Winter"
"25",2008-11-03 16:00:00,4.05,2008,308,11,"Winter"
"26",2008-11-03 17:00:00,4.102,2008,308,11,"Winter"
"27",2008-11-03 18:00:00,4.102,2008,308,11,"Winter"
"28",2008-11-03 19:00:00,4.05,2008,308,11,"Winter"
"29",2008-11-03 20:00:00,3.998,2008,308,11,"Winter"
"30",2008-11-03 21:00:00,3.998,2008,308,11,"Winter"
"31",2008-11-03 22:00:00,3.893,2008,308,11,"Winter"
"32",2008-11-03 23:00:00,3.788,2008,308,11,"Winter"
"33",2008-11-04 00:00:00,3.7355,2008,309,11,"Winter"
"34",2008-11-04 01:00:00,3.683,2008,309,11,"Winter"
"35",2008-11-04 02:00:00,3.6305,2008,309,11,"Winter"
"36",2008-11-04 03:00:00,3.578,2008,309,11,"Winter"
"37",2008-11-04 04:00:00,3.525,2008,309,11,"Winter"
"38",2008-11-04 05:00:00,3.472,2008,309,11,"Winter"
"39",2008-11-04 06:00:00,3.367,2008,309,11,"Winter"
"40",2008-11-04 07:00:00,3.314,2008,309,11,"Winter"
"41",2008-11-04 08:00:00,3.261,2008,309,11,"Winter"
"42",2008-11-04 09:00:00,3.261,2008,309,11,"Winter"
"43",2008-11-04 10:00:00,3.261,2008,309,11,"Winter"
