"","datetime_NM","temp_C","yr","day","mo","season"
"1",2012-05-01 14:00:00,14.2705,2012,122,5,"Summer"
"2",2012-05-01 15:00:00,11.94025,2012,122,5,"Summer"
"3",2012-05-01 16:00:00,11.9645,2012,122,5,"Summer"
"4",2012-05-01 17:00:00,11.98875,2012,122,5,"Summer"
"5",2012-05-01 18:00:00,11.8675,2012,122,5,"Summer"
"6",2012-05-01 19:00:00,11.55225,2012,122,5,"Summer"
"7",2012-05-01 20:00:00,10.79725,2012,122,5,"Summer"
"8",2012-05-01 21:00:00,9.86625,2012,122,5,"Summer"
"9",2012-05-01 22:00:00,9.0765,2012,122,5,"Summer"
"10",2012-05-01 23:00:00,8.132,2012,122,5,"Summer"
"11",2012-05-02 00:00:00,7.17925,2012,123,5,"Summer"
"12",2012-05-02 01:00:00,6.54725,2012,123,5,"Summer"
"13",2012-05-02 02:00:00,6.0385,2012,123,5,"Summer"
"14",2012-05-02 03:00:00,5.8855,2012,123,5,"Summer"
"15",2012-05-02 04:00:00,5.706,2012,123,5,"Summer"
"16",2012-05-02 05:00:00,5.5265,2012,123,5,"Summer"
"17",2012-05-02 06:00:00,5.26975,2012,123,5,"Summer"
"18",2012-05-02 07:00:00,5.26975,2012,123,5,"Summer"
"19",2012-05-02 08:00:00,5.60375,2012,123,5,"Summer"
"20",2012-05-02 09:00:00,6.4455,2012,123,5,"Summer"
"21",2012-05-02 10:00:00,7.656,2012,123,5,"Summer"
"22",2012-05-02 11:00:00,9.1995,2012,123,5,"Summer"
"23",2012-05-02 12:00:00,10.9185,2012,123,5,"Summer"
"24",2012-05-02 13:00:00,12.3275,2012,123,5,"Summer"
"25",2012-05-02 14:00:00,13.1005,2012,123,5,"Summer"
"26",2012-05-02 15:00:00,13.173,2012,123,5,"Summer"
"27",2012-05-02 16:00:00,13.269,2012,123,5,"Summer"
"28",2012-05-02 17:00:00,13.221,2012,123,5,"Summer"
"29",2012-05-02 18:00:00,12.9555,2012,123,5,"Summer"
"30",2012-05-02 19:00:00,12.49725,2012,123,5,"Summer"
"31",2012-05-02 20:00:00,11.4545,2012,123,5,"Summer"
"32",2012-05-02 21:00:00,10.45475,2012,123,5,"Summer"
"33",2012-05-02 22:00:00,9.817,2012,123,5,"Summer"
"34",2012-05-02 23:00:00,9.05175,2012,123,5,"Summer"
"35",2012-05-03 00:00:00,8.05675,2012,124,5,"Summer"
"36",2012-05-03 01:00:00,6.9775,2012,124,5,"Summer"
"37",2012-05-03 02:00:00,5.9615,2012,124,5,"Summer"
"38",2012-05-03 03:00:00,5.06325,2012,124,5,"Summer"
"39",2012-05-03 04:00:00,4.519,2012,124,5,"Summer"
"40",2012-05-03 05:00:00,4.2065,2012,124,5,"Summer"
"41",2012-05-03 06:00:00,3.6565,2012,124,5,"Summer"
"42",2012-05-03 07:00:00,3.1285,2012,124,5,"Summer"
"43",2012-05-03 08:00:00,3.498,2012,124,5,"Summer"
"44",2012-05-03 09:00:00,4.829,2012,124,5,"Summer"
"45",2012-05-03 10:00:00,7.07625,2012,124,5,"Summer"
"46",2012-05-03 11:00:00,9.3475,2012,124,5,"Summer"
"47",2012-05-03 12:00:00,11.30825,2012,124,5,"Summer"
"48",2012-05-03 13:00:00,12.9555,2012,124,5,"Summer"
"49",2012-05-03 14:00:00,13.582,2012,124,5,"Summer"
"50",2012-05-03 15:00:00,13.558,2012,124,5,"Summer"
"51",2012-05-03 16:00:00,13.48525,2012,124,5,"Summer"
"52",2012-05-03 17:00:00,13.437,2012,124,5,"Summer"
"53",2012-05-03 18:00:00,13.22075,2012,124,5,"Summer"
"54",2012-05-03 19:00:00,12.7625,2012,124,5,"Summer"
"55",2012-05-03 20:00:00,11.64875,2012,124,5,"Summer"
"56",2012-05-03 21:00:00,9.96375,2012,124,5,"Summer"
"57",2012-05-03 22:00:00,8.5305,2012,124,5,"Summer"
"58",2012-05-03 23:00:00,7.22925,2012,124,5,"Summer"
"59",2012-05-04 00:00:00,6.16575,2012,125,5,"Summer"
"60",2012-05-04 01:00:00,5.3465,2012,125,5,"Summer"
"61",2012-05-04 02:00:00,4.675,2012,125,5,"Summer"
"62",2012-05-04 03:00:00,4.25875,2012,125,5,"Summer"
"63",2012-05-04 04:00:00,3.8405,2012,125,5,"Summer"
"64",2012-05-04 05:00:00,3.47225,2012,125,5,"Summer"
"65",2012-05-04 06:00:00,3.367,2012,125,5,"Summer"
"66",2012-05-04 07:00:00,3.446,2012,125,5,"Summer"
"67",2012-05-04 08:00:00,4.25825,2012,125,5,"Summer"
"68",2012-05-04 09:00:00,5.85775,2012,125,5,"Summer"
"69",2012-05-04 10:00:00,7.80625,2012,125,5,"Summer"
"70",2012-05-04 11:00:00,9.8645,2012,125,5,"Summer"
"71",2012-05-04 12:00:00,11.867,2012,125,5,"Summer"
"72",2012-05-04 13:00:00,13.26875,2012,125,5,"Summer"
