"","datetime_NM","temp_C","season","temp_C_c","siteID"
"1",2011-10-06 11:00:00,13.846,"Summer",NA,"EastForkJemezUpper"
"2",2011-10-06 12:00:00,8.08225,"Summer",8.08225,"EastForkJemezUpper"
"3",2011-10-06 13:00:00,8.282,"Summer",8.282,"EastForkJemezUpper"
"4",2011-10-06 14:00:00,8.531,"Summer",8.531,"EastForkJemezUpper"
"5",2011-10-06 15:00:00,8.7295,"Summer",8.7295,"EastForkJemezUpper"
"6",2011-10-06 16:00:00,8.854,"Summer",8.854,"EastForkJemezUpper"
"7",2011-10-06 17:00:00,9.00275,"Summer",9.00275,"EastForkJemezUpper"
"8",2011-10-06 18:00:00,9.077,"Summer",9.077,"EastForkJemezUpper"
"9",2011-10-06 19:00:00,9.077,"Summer",9.077,"EastForkJemezUpper"
"10",2011-10-06 20:00:00,9.077,"Summer",9.077,"EastForkJemezUpper"
"11",2011-10-06 21:00:00,9.00275,"Summer",9.00275,"EastForkJemezUpper"
"12",2011-10-06 22:00:00,8.9285,"Summer",8.9285,"EastForkJemezUpper"
"13",2011-10-06 23:00:00,8.879,"Summer",8.879,"EastForkJemezUpper"
"14",2011-10-07 00:00:00,8.75425,"Summer",8.75425,"EastForkJemezUpper"
"15",2011-10-07 01:00:00,8.68,"Summer",8.68,"EastForkJemezUpper"
"16",2011-10-07 02:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"17",2011-10-07 03:00:00,8.481,"Summer",8.481,"EastForkJemezUpper"
"18",2011-10-07 04:00:00,8.4315,"Summer",8.4315,"EastForkJemezUpper"
"19",2011-10-07 05:00:00,8.382,"Summer",8.382,"EastForkJemezUpper"
"20",2011-10-07 06:00:00,8.282,"Summer",8.282,"EastForkJemezUpper"
"21",2011-10-07 07:00:00,8.282,"Summer",8.282,"EastForkJemezUpper"
"22",2011-10-07 08:00:00,8.282,"Summer",8.282,"EastForkJemezUpper"
"23",2011-10-07 09:00:00,8.282,"Summer",8.282,"EastForkJemezUpper"
"24",2011-10-07 10:00:00,8.282,"Summer",8.282,"EastForkJemezUpper"
"25",2011-10-07 11:00:00,8.332,"Summer",8.332,"EastForkJemezUpper"
"26",2011-10-07 12:00:00,8.382,"Summer",8.382,"EastForkJemezUpper"
"27",2011-10-07 13:00:00,8.40675,"Summer",8.40675,"EastForkJemezUpper"
"28",2011-10-07 14:00:00,8.481,"Summer",8.481,"EastForkJemezUpper"
"29",2011-10-07 15:00:00,8.506,"Summer",8.506,"EastForkJemezUpper"
"30",2011-10-07 16:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"31",2011-10-07 17:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"32",2011-10-07 18:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"33",2011-10-07 19:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"34",2011-10-07 20:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"35",2011-10-07 21:00:00,8.581,"Summer",8.581,"EastForkJemezUpper"
"36",2011-10-07 22:00:00,8.531,"Summer",8.531,"EastForkJemezUpper"
"37",2011-10-07 23:00:00,8.481,"Summer",8.481,"EastForkJemezUpper"
"38",2011-10-08 00:00:00,8.382,"Summer",8.382,"EastForkJemezUpper"
"39",2011-10-08 01:00:00,8.307,"Summer",8.307,"EastForkJemezUpper"
"40",2011-10-08 02:00:00,8.232,"Summer",8.232,"EastForkJemezUpper"
"41",2011-10-08 03:00:00,8.132,"Summer",8.132,"EastForkJemezUpper"
"42",2011-10-08 04:00:00,8.0325,"Summer",8.0325,"EastForkJemezUpper"
"43",2011-10-08 05:00:00,7.9325,"Summer",7.9325,"EastForkJemezUpper"
