"","datetime_NM","temp_C","season","temp_C_c","siteID"
"1",2008-12-08 17:00:00,2.7835,"Winter",NA,"Indios"
"2",2008-12-08 18:00:00,2.383,"Winter",NA,"Indios"
"3",2008-12-08 19:00:00,1.926,"Winter",NA,"Indios"
"4",2008-12-08 20:00:00,1.5745,"Winter",1.5745,"Indios"
"5",2008-12-08 21:00:00,1.112,"Winter",1.112,"Indios"
"6",2008-12-08 22:00:00,0.784,"Winter",0.784,"Indios"
"7",2008-12-08 23:00:00,0.70125,"Winter",0.70125,"Indios"
"8",2008-12-09 00:00:00,0.4255,"Winter",0.4255,"Indios"
"9",2008-12-09 01:00:00,0.343,"Winter",0.343,"Indios"
"10",2008-12-09 02:00:00,0.343,"Winter",0.343,"Indios"
"11",2008-12-09 03:00:00,0.3705,"Winter",0.3705,"Indios"
"12",2008-12-09 04:00:00,0.453,"Winter",0.453,"Indios"
"13",2008-12-09 05:00:00,0.453,"Winter",0.453,"Indios"
"14",2008-12-09 06:00:00,0.453,"Winter",0.453,"Indios"
"15",2008-12-09 07:00:00,0.453,"Winter",0.453,"Indios"
"16",2008-12-09 08:00:00,0.4805,"Winter",0.4805,"Indios"
"17",2008-12-09 09:00:00,0.59075,"Winter",0.59075,"Indios"
"18",2008-12-09 10:00:00,0.78375,"Winter",0.78375,"Indios"
"19",2008-12-09 11:00:00,1.05725,"Winter",1.05725,"Indios"
"20",2008-12-09 12:00:00,1.54775,"Winter",1.54775,"Indios"
"21",2008-12-09 13:00:00,1.656,"Winter",1.656,"Indios"
"22",2008-12-09 14:00:00,1.764,"Winter",1.764,"Indios"
"23",2008-12-09 15:00:00,1.791,"Winter",1.791,"Indios"
"24",2008-12-09 16:00:00,1.818,"Winter",1.818,"Indios"
"25",2008-12-09 17:00:00,1.43875,"Winter",NA,"Indios"
"26",2008-12-09 18:00:00,0.78325,"Winter",NA,"Indios"
"27",2008-12-09 19:00:00,0.315,"Winter",NA,"Indios"
"28",2008-12-09 20:00:00,0.20425,"Winter",0.20425,"Indios"
"29",2008-12-09 21:00:00,0.121,"Winter",0.121,"Indios"
"30",2008-12-09 22:00:00,0.14875,"Winter",0.14875,"Indios"
"31",2008-12-09 23:00:00,0.232,"Winter",0.232,"Indios"
"32",2008-12-10 00:00:00,0.14875,"Winter",0.14875,"Indios"
"33",2008-12-10 01:00:00,0.121,"Winter",0.121,"Indios"
"34",2008-12-10 02:00:00,0.121,"Winter",0.121,"Indios"
"35",2008-12-10 03:00:00,0.121,"Winter",0.121,"Indios"
"36",2008-12-10 04:00:00,0.121,"Winter",0.121,"Indios"
"37",2008-12-10 05:00:00,0.121,"Winter",0.121,"Indios"
"38",2008-12-10 06:00:00,0.121,"Winter",0.121,"Indios"
"39",2008-12-10 07:00:00,0.121,"Winter",0.121,"Indios"
"40",2008-12-10 08:00:00,0.121,"Winter",0.121,"Indios"
"41",2008-12-10 09:00:00,0.121,"Winter",0.121,"Indios"
"42",2008-12-10 10:00:00,0.121,"Winter",0.121,"Indios"
"43",2008-12-10 11:00:00,0.14875,"Winter",0.14875,"Indios"
"44",2008-12-10 12:00:00,0.232,"Winter",0.232,"Indios"
"45",2008-12-10 13:00:00,0.14875,"Winter",0.14875,"Indios"
"46",2008-12-10 14:00:00,0.20425,"Winter",0.20425,"Indios"
"47",2008-12-10 15:00:00,0.20425,"Winter",0.20425,"Indios"
"48",2008-12-10 16:00:00,0.99925,"Winter",NA,"Indios"
"49",2008-12-10 17:00:00,2.034,"Winter",NA,"Indios"
"50",2008-12-10 18:00:00,1.845,"Winter",NA,"Indios"
"51",2008-12-10 19:00:00,1.602,"Winter",NA,"Indios"
"52",2008-12-10 20:00:00,1.35725,"Winter",1.35725,"Indios"
"53",2008-12-10 21:00:00,1.112,"Winter",1.112,"Indios"
"54",2008-12-10 22:00:00,0.866,"Winter",0.866,"Indios"
"55",2008-12-10 23:00:00,0.56325,"Winter",0.56325,"Indios"
"56",2008-12-11 00:00:00,0.34275,"Winter",0.34275,"Indios"
"57",2008-12-11 01:00:00,0.20425,"Winter",0.20425,"Indios"
"58",2008-12-11 02:00:00,0.14875,"Winter",0.14875,"Indios"
"59",2008-12-11 03:00:00,0.232,"Winter",0.232,"Indios"
"60",2008-12-11 04:00:00,0.232,"Winter",0.232,"Indios"
"61",2008-12-11 05:00:00,0.232,"Winter",0.232,"Indios"
"62",2008-12-11 06:00:00,0.20425,"Winter",0.20425,"Indios"
"63",2008-12-11 07:00:00,0.20425,"Winter",0.20425,"Indios"
"64",2008-12-11 08:00:00,0.121,"Winter",0.121,"Indios"
"65",2008-12-11 09:00:00,0.121,"Winter",0.121,"Indios"
"66",2008-12-11 10:00:00,0.121,"Winter",0.121,"Indios"
"67",2008-12-11 11:00:00,0.121,"Winter",0.121,"Indios"
"68",2008-12-11 12:00:00,0.20425,"Winter",0.20425,"Indios"
"69",2008-12-11 13:00:00,0.3425,"Winter",0.3425,"Indios"
"70",2008-12-11 14:00:00,2.67425,"Winter",NA,"Indios"
"71",2008-12-11 15:00:00,3.76175,"Winter",NA,"Indios"
"72",2008-12-11 16:00:00,3.7355,"Winter",NA,"Indios"
"73",2008-12-11 17:00:00,3.04875,"Winter",NA,"Indios"
"74",2008-12-11 18:00:00,2.3025,"Winter",NA,"Indios"
"75",2008-12-11 19:00:00,1.818,"Winter",1.818,"Indios"
"76",2008-12-11 20:00:00,1.3845,"Winter",1.3845,"Indios"
"77",2008-12-11 21:00:00,1.03,"Winter",1.03,"Indios"
"78",2008-12-11 22:00:00,0.75625,"Winter",0.75625,"Indios"
"79",2008-12-11 23:00:00,0.4805,"Winter",0.4805,"Indios"
"80",2008-12-12 00:00:00,0.2875,"Winter",0.2875,"Indios"
"81",2008-12-12 01:00:00,0.232,"Winter",NA,"Indios"
"82",2008-12-12 02:00:00,0.232,"Winter",NA,"Indios"
"83",2008-12-12 03:00:00,0.232,"Winter",NA,"Indios"
"84",2008-12-12 04:00:00,0.232,"Winter",NA,"Indios"
"85",2008-12-12 05:00:00,0.232,"Winter",NA,"Indios"
"86",2008-12-12 06:00:00,0.232,"Winter",NA,"Indios"
"87",2008-12-12 07:00:00,0.232,"Winter",NA,"Indios"
"88",2008-12-12 08:00:00,0.232,"Winter",NA,"Indios"
"89",2008-12-12 09:00:00,0.232,"Winter",NA,"Indios"
"90",2008-12-12 10:00:00,0.232,"Winter",NA,"Indios"
"91",2008-12-12 11:00:00,0.232,"Winter",NA,"Indios"
"92",2008-12-12 12:00:00,0.232,"Winter",NA,"Indios"
"93",2008-12-12 13:00:00,0.99925,"Winter",NA,"Indios"
"94",2008-12-12 14:00:00,2.56975,"Winter",NA,"Indios"
"95",2008-12-12 15:00:00,3.0755,"Winter",NA,"Indios"
"96",2008-12-12 16:00:00,3.1285,"Winter",NA,"Indios"
"97",2008-12-12 17:00:00,2.996,"Winter",NA,"Indios"
"98",2008-12-12 18:00:00,2.81025,"Winter",NA,"Indios"
"99",2008-12-12 19:00:00,2.6505,"Winter",NA,"Indios"
"100",2008-12-12 20:00:00,2.35625,"Winter",NA,"Indios"
"101",2008-12-12 21:00:00,2.06075,"Winter",NA,"Indios"
"102",2008-12-12 22:00:00,1.764,"Winter",NA,"Indios"
"103",2008-12-12 23:00:00,1.439,"Winter",NA,"Indios"
"104",2008-12-13 00:00:00,1.03,"Winter",NA,"Indios"
"105",2008-12-13 01:00:00,0.53575,"Winter",NA,"Indios"
