"","datetime_NM","temp_C","season","temp_C_c","siteID"
"1",2008-11-02 16:00:00,3.998,"Winter",3.998,"JaramilloLower"
"2",2008-11-02 17:00:00,3.683,"Winter",3.683,"JaramilloLower"
"3",2008-11-02 18:00:00,3.683,"Winter",3.683,"JaramilloLower"
"4",2008-11-02 19:00:00,3.578,"Winter",3.578,"JaramilloLower"
"5",2008-11-02 20:00:00,3.525,"Winter",3.525,"JaramilloLower"
"6",2008-11-02 21:00:00,3.472,"Winter",3.472,"JaramilloLower"
"7",2008-11-02 22:00:00,3.472,"Winter",3.472,"JaramilloLower"
"8",2008-11-02 23:00:00,3.367,"Winter",3.367,"JaramilloLower"
"9",2008-11-03 00:00:00,3.367,"Winter",3.367,"JaramilloLower"
"10",2008-11-03 01:00:00,3.314,"Winter",3.314,"JaramilloLower"
"11",2008-11-03 02:00:00,3.261,"Winter",3.261,"JaramilloLower"
"12",2008-11-03 03:00:00,3.261,"Winter",3.261,"JaramilloLower"
"13",2008-11-03 04:00:00,3.261,"Winter",3.261,"JaramilloLower"
"14",2008-11-03 05:00:00,3.367,"Winter",3.367,"JaramilloLower"
"15",2008-11-03 06:00:00,3.367,"Winter",3.367,"JaramilloLower"
"16",2008-11-03 07:00:00,3.367,"Winter",3.367,"JaramilloLower"
"17",2008-11-03 08:00:00,3.367,"Winter",3.367,"JaramilloLower"
"18",2008-11-03 09:00:00,3.367,"Winter",3.367,"JaramilloLower"
"19",2008-11-03 10:00:00,3.4195,"Winter",3.4195,"JaramilloLower"
"20",2008-11-03 11:00:00,3.472,"Winter",3.472,"JaramilloLower"
"21",2008-11-03 12:00:00,3.6305,"Winter",3.6305,"JaramilloLower"
"22",2008-11-03 13:00:00,3.788,"Winter",3.788,"JaramilloLower"
"23",2008-11-03 14:00:00,3.893,"Winter",3.893,"JaramilloLower"
"24",2008-11-03 15:00:00,3.998,"Winter",3.998,"JaramilloLower"
"25",2008-11-03 16:00:00,4.05,"Winter",4.05,"JaramilloLower"
"26",2008-11-03 17:00:00,4.102,"Winter",4.102,"JaramilloLower"
"27",2008-11-03 18:00:00,4.102,"Winter",4.102,"JaramilloLower"
"28",2008-11-03 19:00:00,4.05,"Winter",4.05,"JaramilloLower"
"29",2008-11-03 20:00:00,3.998,"Winter",3.998,"JaramilloLower"
"30",2008-11-03 21:00:00,3.998,"Winter",3.998,"JaramilloLower"
"31",2008-11-03 22:00:00,3.893,"Winter",3.893,"JaramilloLower"
"32",2008-11-03 23:00:00,3.788,"Winter",3.788,"JaramilloLower"
"33",2008-11-04 00:00:00,3.7355,"Winter",3.7355,"JaramilloLower"
"34",2008-11-04 01:00:00,3.683,"Winter",3.683,"JaramilloLower"
