"","yr","mo","Value.mn","Value.sd","Value.n","siteID","date"
"1",2011,10,5.79924550653595,1.25198135648283,612,"EastForkJemezUpper",2011-10-15
"2",2011,11,4.01263636363636,0.12787692586082,33,"EastForkJemezUpper",2011-11-15
"3",2012,4,6.59254787234043,0.15458604117387,47,"EastForkJemezUpper",2012-04-15
"4",2012,5,9.5235752688172,1.44454128903028,744,"EastForkJemezUpper",2012-05-15
"5",2012,6,14.0342267361111,1.39272848092852,720,"EastForkJemezUpper",2012-06-15
"6",2012,7,15.1975473790323,0.637794694262023,744,"EastForkJemezUpper",2012-07-15
"7",2012,8,15.0614296945193,0.785077709808929,742,"EastForkJemezUpper",2012-08-15
"8",2012,9,10.7697350694444,2.07511653820137,720,"EastForkJemezUpper",2012-09-15
"9",2012,10,5.94128368506493,1.25584187055662,616,"EastForkJemezUpper",2012-10-15
"10",2013,4,3.44085838150289,1.07104550132538,519,"EastForkJemezUpper",2013-04-15
"11",2013,5,7.72046001344086,1.75430195579808,744,"EastForkJemezUpper",2013-05-15
"12",2013,6,12.8322565972222,1.63829872048411,720,"EastForkJemezUpper",2013-06-15
"13",2013,7,15.8080104166667,0.859771041861523,744,"EastForkJemezUpper",2013-07-15
"14",2013,8,14.5255806074766,0.74522120300332,642,"EastForkJemezUpper",2013-08-15
