"","yr","mo","Value.mn","Value.sd","Value.n","siteID","date"
"1",2008,12,0.529903846153846,0.52230298635494,65,"Indios",2008-12-15
"2",2009,2,1.08539328063241,0.556158879173247,253,"Indios",2009-02-15
"3",2009,3,1.58018814878893,1.07786250037578,578,"Indios",2009-03-15
"4",2009,4,2.95638676731794,2.06663812223645,563,"Indios",2009-04-15
"5",2009,5,7.95330694227769,2.1083490701115,641,"Indios",2009-05-15
"6",2009,6,9.88587624280481,2.42188747971381,637,"Indios",2009-06-15
"7",2009,7,11.8120530637255,1.8392711277822,680,"Indios",2009-07-15
"8",2009,8,10.2262687776141,1.86931023584935,679,"Indios",2009-08-15
"9",2009,9,8.37853593508501,1.80959596909513,647,"Indios",2009-09-15
"10",2009,10,5.02088650793651,1.85130107361269,630,"Indios",2009-10-15
"11",2009,11,2.22575562283737,1.28270636634436,578,"Indios",2009-11-15
"12",2009,12,0.765922932330827,0.413482933165679,266,"Indios",2009-12-15
"13",2010,1,0.928348926380368,0.451783181194149,652,"Indios",2010-01-15
"14",2010,2,1.26417963576159,0.433902280076886,604,"Indios",2010-02-15
"15",2010,3,1.42124569640063,0.470969892224461,639,"Indios",2010-03-15
"16",2010,4,2.43826007005254,1.74266456200439,571,"Indios",2010-04-15
"17",2010,5,6.79967509363296,2.73154813113549,623,"Indios",2010-05-15
"18",2010,6,10.898942700157,2.28653480677983,637,"Indios",2010-06-15
"19",2010,7,11.830621602289,1.45563518874271,699,"Indios",2010-07-15
"20",2010,8,11.411956171108,1.50952945871138,713,"Indios",2010-08-15
"21",2010,9,9.28944969278034,1.60906192381674,651,"Indios",2010-09-15
"22",2010,10,6.06450806451613,2.02241671565525,651,"Indios",2010-10-15
"23",2010,11,2.40791654846336,1.36782635650082,423,"Indios",2010-11-15
"24",2011,2,1.08163408644401,0.64033324329808,509,"Indios",2011-02-15
"25",2011,3,2.0921717948718,1.43669769956641,585,"Indios",2011-03-15
"26",2011,4,4.64621912013536,1.79799609258165,591,"Indios",2011-04-15
"27",2011,5,6.74524087301587,2.5434044806835,630,"Indios",2011-05-15
"28",2011,6,10.5614976340694,2.43159291219443,634,"Indios",2011-06-15
"29",2011,7,12.6712366906475,2.85196929648064,695,"Indios",2011-07-15
"30",2011,8,13.9036464285714,3.5652052570543,630,"Indios",2011-08-15
"31",2011,9,8.95090897435897,3.58477378610471,585,"Indios",2011-09-15
"32",2011,10,3.73661884550085,2.99970151018063,589,"Indios",2011-10-15
"33",2011,11,0.198124032258065,0.774529995247895,310,"Indios",2011-11-15
"34",2012,3,1.58853785900783,1.65339854399679,383,"Indios",2012-03-15
"35",2012,4,2.84789446366782,2.38939067047434,289,"Indios",2012-04-15
