"","yr","mo","Value.mn","Value.sd","Value.n","siteID","date"
"1",2011,6,13.6376055194805,1.32876530844251,154,"SantaRosa",2011-06-15
"2",2011,7,14.7832099596232,1.02129269739305,743,"SantaRosa",2011-07-15
"3",2011,8,15.3903508064516,0.662179745280626,744,"SantaRosa",2011-08-15
"4",2011,9,15.0431458333333,0.452761042964736,12,"SantaRosa",2011-09-15
"5",2011,10,5.08479444444444,0.651224769590057,180,"SantaRosa",2011-10-15
"6",2011,11,2.03986877076412,0.827660816906145,602,"SantaRosa",2011-11-15
"7",2011,12,1.0193,0.0517795540944708,10,"SantaRosa",2011-12-15
"8",2012,3,3.50571202531646,1.3920120413381,158,"SantaRosa",2012-03-15
"9",2012,4,4.94212770562771,1.62451794248176,693,"SantaRosa",2012-04-15
"10",2012,5,8.85073063858696,1.70143535944294,736,"SantaRosa",2012-05-15
"11",2012,6,12.7082868055556,1.98766618444305,720,"SantaRosa",2012-06-15
"12",2012,7,14.304335916442,1.07359458193653,742,"SantaRosa",2012-07-15
"13",2012,8,14.6004294354839,1.06216273630369,744,"SantaRosa",2012-08-15
"14",2012,9,10.7014076388889,1.95258030469701,720,"SantaRosa",2012-09-15
"15",2012,10,5.80320530523256,1.91101219495382,688,"SantaRosa",2012-10-15
"16",2012,11,1.39128905109489,0.968728851011046,548,"SantaRosa",2012-11-15
"17",2013,3,1.88657762557078,1.57814218842359,219,"SantaRosa",2013-03-15
"18",2013,4,3.158671875,1.40243348174726,640,"SantaRosa",2013-04-15
"19",2013,5,6.75502180232558,2.13390280685799,688,"SantaRosa",2013-05-15
"20",2013,6,11.1844784482759,2.30148470817099,696,"SantaRosa",2013-06-15
"21",2013,7,14.0809834459459,1.07126292992591,740,"SantaRosa",2013-07-15
"22",2013,8,13.1935715725806,1.10436861776832,744,"SantaRosa",2013-08-15
"23",2013,9,11.279748951049,2.2063865299442,715,"SantaRosa",2013-09-15
"24",2013,10,4.49629814550642,1.30738629268617,701,"SantaRosa",2013-10-15
"25",2013,11,1.78696258907363,0.613823275081366,421,"SantaRosa",2013-11-15
"26",2014,3,1.6730302690583,1.29812721658166,446,"SantaRosa",2014-03-15
"27",2014,4,3.0763467614534,1.67011228547695,633,"SantaRosa",2014-04-15
"28",2014,5,6.05737518684604,2.78218431913369,669,"SantaRosa",2014-05-15
"29",2014,6,10.8215787373004,2.382069609693,689,"SantaRosa",2014-06-15
"30",2014,7,14.0400939620081,1.5486047418483,737,"SantaRosa",2014-07-15
"31",2014,8,12.5514298780488,1.51664509511964,738,"SantaRosa",2014-08-15
"32",2014,9,11.1497008608321,1.56543092385999,697,"SantaRosa",2014-09-15
"33",2014,10,5.60218835616438,1.66681680180139,657,"SantaRosa",2014-10-15
"34",2014,11,2.681016718107,1.2567355441541,324,"SantaRosa",2014-11-15
"35",2015,3,3.60104415584416,2.05955814862714,385,"SantaRosa",2015-03-15
"36",2015,4,4.58114329268293,1.27179282635689,492,"SantaRosa",2015-04-15
