"","yr","mo","Value.mn","Value.sd","Value.n","siteID","date"
"1",2011,6,21.3411069651741,0.702838569481815,201,"VallecitoCreekinPalizoCanyon",2011-06-15
"2",2011,7,21.7984845430108,0.527305334198398,744,"VallecitoCreekinPalizoCanyon",2011-07-15
"3",2011,8,21.7893454301075,0.408006520940325,744,"VallecitoCreekinPalizoCanyon",2011-08-15
"4",2011,9,20.7933493055556,0.666307806271027,720,"VallecitoCreekinPalizoCanyon",2011-09-15
"5",2011,10,19.3215759408602,0.726148684585759,744,"VallecitoCreekinPalizoCanyon",2011-10-15
"6",2011,11,17.6991377716135,0.590945631626248,721,"VallecitoCreekinPalizoCanyon",2011-11-15
"7",2011,12,16.0995201612903,0.607043129411567,744,"VallecitoCreekinPalizoCanyon",2011-12-15
"8",2012,1,16.2948077956989,0.464192623170781,744,"VallecitoCreekinPalizoCanyon",2012-01-15
"9",2012,2,16.4647255747126,0.477915430170813,696,"VallecitoCreekinPalizoCanyon",2012-02-15
"10",2012,3,17.2987065948856,0.989356624125186,743,"VallecitoCreekinPalizoCanyon",2012-03-15
"11",2012,4,18.7707501157407,0.993017256313082,720,"VallecitoCreekinPalizoCanyon",2012-04-15
"12",2012,5,19.9835715725806,0.767826248278501,744,"VallecitoCreekinPalizoCanyon",2012-05-15
"13",2012,6,20.8382520833333,0.628556702698711,720,"VallecitoCreekinPalizoCanyon",2012-06-15
"14",2012,7,21.4321447368421,0.458860595762739,114,"VallecitoCreekinPalizoCanyon",2012-07-15
"15",2012,8,22.5201860632184,0.264226296393419,348,"VallecitoCreekinPalizoCanyon",2012-08-15
"16",2012,9,21.6677631944444,0.575239878608135,720,"VallecitoCreekinPalizoCanyon",2012-09-15
"17",2012,10,20.2341347446237,0.567166231859506,744,"VallecitoCreekinPalizoCanyon",2012-10-15
"18",2012,11,18.8195461165049,0.583693538078519,721,"VallecitoCreekinPalizoCanyon",2012-11-15
"19",2012,12,17.5611478494624,0.738524674469455,744,"VallecitoCreekinPalizoCanyon",2012-12-15
"20",2013,1,16.5833259408602,0.533495800159484,744,"VallecitoCreekinPalizoCanyon",2013-01-15
"21",2013,2,16.9838578869048,0.336116403170357,672,"VallecitoCreekinPalizoCanyon",2013-02-15
"22",2013,3,17.9940895020188,0.628750436650152,743,"VallecitoCreekinPalizoCanyon",2013-03-15
"23",2013,4,19.3053847222222,0.550649661109019,720,"VallecitoCreekinPalizoCanyon",2013-04-15
"24",2013,5,20.524653561828,0.67034352460001,744,"VallecitoCreekinPalizoCanyon",2013-05-15
"25",2013,6,22.10715,0.425425551163483,720,"VallecitoCreekinPalizoCanyon",2013-06-15
"26",2013,7,22.4770557795699,0.292026948483946,744,"VallecitoCreekinPalizoCanyon",2013-07-15
"27",2013,8,22.5426730510753,0.199832158399285,744,"VallecitoCreekinPalizoCanyon",2013-08-15
"28",2013,9,21.9655402777778,0.516888533630617,720,"VallecitoCreekinPalizoCanyon",2013-09-15
"29",2013,10,20.0369825268817,0.554249625383744,744,"VallecitoCreekinPalizoCanyon",2013-10-15
"30",2013,11,18.9859004807692,0.392950039692546,520,"VallecitoCreekinPalizoCanyon",2013-11-15
"31",2014,3,18.2649292786421,0.406192861684885,707,"VallecitoCreekinPalizoCanyon",2014-03-15
"32",2014,4,19.1118666666667,0.572371548410439,720,"VallecitoCreekinPalizoCanyon",2014-04-15
"33",2014,5,20.2721478494624,0.709993042765905,744,"VallecitoCreekinPalizoCanyon",2014-05-15
"34",2014,6,21.7010631944444,0.3647387134682,720,"VallecitoCreekinPalizoCanyon",2014-06-15
"35",2014,7,22.1970030241935,0.290292053258995,744,"VallecitoCreekinPalizoCanyon",2014-07-15
"36",2014,8,22.0299922715054,0.61837927072882,744,"VallecitoCreekinPalizoCanyon",2014-08-15
"37",2014,9,22.36455625,0.131650780422745,720,"VallecitoCreekinPalizoCanyon",2014-09-15
"38",2014,10,22.2696666666667,0.0460817687569027,18,"VallecitoCreekinPalizoCanyon",2014-10-15
"39",2015,3,20.6559472727273,0.243682353409049,275,"VallecitoCreekinPalizoCanyon",2015-03-15
"40",2015,4,20.9788951388889,0.228784158117524,720,"VallecitoCreekinPalizoCanyon",2015-04-15
"41",2015,5,21.2016834677419,0.323275496614748,744,"VallecitoCreekinPalizoCanyon",2015-05-15
"42",2015,6,21.9069117647059,0.221961784432861,374,"VallecitoCreekinPalizoCanyon",2015-06-15
