"","yr","Value.mn","Value.sd","Value.n","siteID"
"1",2008,13.6145763593381,2.50010101775457,1410,"SulphurCreekLower"
"2",2009,9.62261306349206,3.46797953283266,5250,"SulphurCreekLower"
"3",2010,10.637239019567,3.24906295274341,4804,"SulphurCreekLower"
"4",2011,9.79389977194983,3.17001584975975,4385,"SulphurCreekLower"
"5",2012,9.67297816238063,3.67811215895679,4383,"SulphurCreekLower"
"6",2013,9.80392699409861,3.39489278806219,5253,"SulphurCreekLower"
"7",2014,9.60907057042391,4.44415101309596,5119,"SulphurCreekLower"
"8",2015,10.5366746453901,2.87149854638956,1692,"SulphurCreekLower"
"9",2016,2.46130327868852,0.404207747488414,122,"SulphurCreekLower"
"10",2017,10.4989977158963,3.82072628888744,4976,"SulphurCreekLower"
"11",2018,10.1740782484407,3.2834666102316,4810,"SulphurCreekLower"
"12",2019,10.4567323426573,4.49788445487596,3575,"SulphurCreekLower"
"13",2020,-0.1575,0,4,"SulphurCreekLower"
