"","yr","Value.mn","Value.sd","Value.n","siteID"
"1",2011,3.25293454281567,2.36130126580163,1378,"SulphurCreekUpper"
"2",2012,10.2205274218466,4.60396901856274,3668,"SulphurCreekUpper"
"3",2013,8.54208534738335,4.97461812871523,5172,"SulphurCreekUpper"
"4",2014,8.50482115880382,4.41473864852328,5172,"SulphurCreekUpper"
"5",2015,7.32336882309942,4.17449018685659,2280,"SulphurCreekUpper"
"6",2016,0.3566875,0.0488532331873454,8,"SulphurCreekUpper"
"7",2017,8.31758690288319,4.33253313125356,5703,"SulphurCreekUpper"
"8",2018,8.87572280471822,4.39828988207277,2289,"SulphurCreekUpper"
"9",2019,10.0219961500655,4.21290167220621,3052,"SulphurCreekUpper"
"10",2020,-0.53225,0.0546334375634556,5,"SulphurCreekUpper"
