,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter
mm/dd/yyyy HH:MM:SS,%,,,,mg/l,,,,mV,,,,pH,,,,mS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
05/02/2013 10:15:50,87.5,,,1,9.77,,,1,,,,1,7.75,,,1,0.764,,,1,6.1,,,1,10.36,,,1
05/02/2013 10:30:50,88,,,1,9.76,,,1,,,,1,7.81,,,1,0.764,,,1,6,,,1,10.67,,,1
05/02/2013 10:45:50,88.5,,,1,9.74,,,1,,,,1,7.82,,,1,0.763,,,1,5.6,,,1,11.01,,,1
05/02/2013 11:00:50,88.9,,,1,9.7,,,1,,,,1,7.84,,,1,0.763,,,1,6.1,,,1,11.38,,,1
05/02/2013 11:15:50,89.3,,,1,9.65,,,1,,,,1,7.86,,,1,0.764,,,1,5.9,,,1,11.78,,,1
05/02/2013 11:30:50,89.7,,,1,9.59,,,1,,,,1,7.88,,,1,0.766,,,1,5.1,,,1,12.21,,,1
05/02/2013 11:45:50,90,,,1,9.53,,,1,,,,1,7.89,,,1,0.766,,,1,6,,,1,12.68,,,1
05/02/2013 12:00:50,90.3,,,1,9.46,,,1,,,,1,7.91,,,1,0.765,,,1,5.7,,,1,13.15,,,1
05/02/2013 12:15:50,90.5,,,1,9.39,,,1,,,,1,7.92,,,1,0.764,,,1,6.2,,,1,13.57,,,1
05/02/2013 12:30:50,90.6,,,1,9.32,,,1,,,,1,7.92,,,1,0.763,,,1,5.7,,,1,14,,,1
05/02/2013 12:45:50,90.9,,,1,9.26,,,1,,,,1,7.93,,,1,0.761,,,1,6.5,,,1,14.42,,,1
