,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek
mm/dd/yyyy HH:MM:SS,mg/l,,,,%,,,,mV,,,,pH,,,,µS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
05/25/2011 13:30:40,8.64,,,1,84.6,,,1,,,,,7.52,,,1,35,,,1,5.7,,,1,14.43,,,1
05/25/2011 13:45:40,8.36,,,1,81.9,,,1,,,,,7.51,,,1,35,,,1,3.1,,,1,14.48,,,1
05/25/2011 14:00:40,8.24,,,1,80.7,,,1,,,,,7.48,,,1,35,,,1,3.6,,,1,14.43,,,1
05/25/2011 14:15:40,8.27,,,1,80.6,,,1,,,,,7.43,,,1,35,,,1,4.5,,,1,14.18,,,1
05/25/2011 14:30:40,8.18,,,1,80,,,1,,,,,7.48,,,1,35,,,1,3.6,,,1,14.36,,,1
05/25/2011 14:45:40,8.15,,,1,79.3,,,1,,,,,7.44,,,1,36,,,1,3.3,,,1,14.1,,,1
05/25/2011 15:00:40,8.27,,,1,79.8,,,1,,,,,7.36,,,1,36,,,1,3.7,,,1,13.77,,,1
05/25/2011 15:15:40,8.31,,,1,80.1,,,1,,,,,7.39,,,1,36,,,1,4.8,,,1,13.7,,,1
05/25/2011 15:30:40,8.25,,,1,79.7,,,1,,,,,7.45,,,1,36,,,1,3.8,,,1,13.81,,,1
05/25/2011 15:45:40,8.26,,,1,79.6,,,1,,,,,7.44,,,1,36,,,1,7.6,,,1,13.7,,,1
05/25/2011 16:00:40,8.27,,,1,79.5,,,1,,,,,7.41,,,1,37,,,1,3.9,,,1,13.58,,,1
05/25/2011 16:15:40,8.27,,,1,79.2,,,1,,,,,7.39,,,1,37,,,1,3.5,,,1,13.43,,,1
05/25/2011 16:30:40,8.29,,,1,79,,,1,,,,,7.37,,,1,37,,,1,4.1,,,1,13.15,,,1
05/25/2011 16:45:40,8.3,,,1,78.6,,,1,,,,,7.33,,,1,37,,,1,3.9,,,1,12.89,,,1
05/25/2011 17:00:40,8.35,,,1,78.6,,,1,,,,,7.31,,,1,38,,,1,4.3,,,1,12.62,,,1
05/25/2011 17:15:40,8.39,,,1,78.4,,,1,,,,,7.29,,,1,38,,,1,3.8,,,1,12.35,,,1
05/25/2011 17:30:40,8.44,,,1,78.5,,,1,,,,,7.28,,,1,38,,,1,4,,,1,12.11,,,1
05/25/2011 17:45:40,8.48,,,1,78.5,,,1,,,,,7.28,,,1,38,,,1,3.4,,,1,11.92,,,1
