,Dis Oxygen Sat.DOsat@VallecitosCreek_PalizaCG,Dis Oxygen Sat.DOsat@VallecitosCreek_PalizaCG,Dis Oxygen Sat.DOsat@VallecitosCreek_PalizaCG,Dis Oxygen Sat.DOsat@VallecitosCreek_PalizaCG,O2 (Dis).DO@VallecitosCreek_PalizaCG,O2 (Dis).DO@VallecitosCreek_PalizaCG,O2 (Dis).DO@VallecitosCreek_PalizaCG,O2 (Dis).DO@VallecitosCreek_PalizaCG,PH Voltage.pH_1@VallecitosCreek_PalizaCG,PH Voltage.pH_1@VallecitosCreek_PalizaCG,PH Voltage.pH_1@VallecitosCreek_PalizaCG,PH Voltage.pH_1@VallecitosCreek_PalizaCG,pH.pH@VallecitosCreek_PalizaCG,pH.pH@VallecitosCreek_PalizaCG,pH.pH@VallecitosCreek_PalizaCG,pH.pH@VallecitosCreek_PalizaCG,Sp Cond.SpCond@VallecitosCreek_PalizaCG,Sp Cond.SpCond@VallecitosCreek_PalizaCG,Sp Cond.SpCond@VallecitosCreek_PalizaCG,Sp Cond.SpCond@VallecitosCreek_PalizaCG,Turbidity.Turbidity@VallecitosCreek_PalizaCG,Turbidity.Turbidity@VallecitosCreek_PalizaCG,Turbidity.Turbidity@VallecitosCreek_PalizaCG,Turbidity.Turbidity@VallecitosCreek_PalizaCG,Water Temp.Temp@VallecitosCreek_PalizaCG,Water Temp.Temp@VallecitosCreek_PalizaCG,Water Temp.Temp@VallecitosCreek_PalizaCG,Water Temp.Temp@VallecitosCreek_PalizaCG
mm/dd/yyyy HH:MM:SS,%,,,,mg/l,,,,mV,,,,pH,,,,µS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
05/05/2011 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,1
05/05/2011 15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,20.92,,,1
05/05/2011 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,20.89,,,1
05/05/2011 15:45:00,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,1
05/05/2011 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,1
05/05/2011 16:15:00,,,,,,,,,,,,,,,,,,,,,,,,,20.57,,,1
05/05/2011 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,20.45,,,1
05/05/2011 16:45:00,,,,,,,,,,,,,,,,,,,,,,,,,20.33,,,1
05/05/2011 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,20.22,,,1
05/05/2011 17:15:00,,,,,,,,,,,,,,,,,,,,,,,,,20.17,,,1
05/05/2011 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,1
05/05/2011 17:45:00,,,,,,,,,,,,,,,,,,,,,,,,,20.09,,,1
05/05/2011 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,19.96,,,1
05/05/2011 18:15:00,,,,,,,,,,,,,,,,,,,,,,,,,19.85,,,1
05/05/2011 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,19.79,,,1
05/05/2011 18:45:00,,,,,,,,,,,,,,,,,,,,,,,,,19.76,,,1
05/05/2011 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,19.71,,,1
05/05/2011 19:15:00,,,,,,,,,,,,,,,,,,,,,,,,,19.68,,,1
05/05/2011 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,19.62,,,1
05/05/2011 19:45:00,,,,,,,,,,,,,,,,,,,,,,,,,19.54,,,1
