Plot Title: Headquarters20170426,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811665, SEN S/N: 9811665)","Temp, °C (LGR S/N: 9811665, SEN S/N: 9811665)",Coupler Detached (LGR S/N: 9811665),Coupler Attached (LGR S/N: 9811665),Stopped (LGR S/N: 9811665),End Of File (LGR S/N: 9811665)
1,8/15/2017,13:30:00,74204,21.855,Logged,,,
2,8/15/2017,13:45:00,74179,19.948,,,,
3,8/15/2017,14:00:00,74179,20.519,,,,
4,8/15/2017,14:15:00,74158,20.996,,,,
5,8/15/2017,14:30:00,74155,21.187,,,,
6,8/15/2017,14:45:00,74170,21.091,,,,
7,8/15/2017,15:00:00,74155,22.046,,,,
8,8/15/2017,15:15:00,74158,21.569,,,,
9,8/15/2017,15:30:00,74155,21.473,,,,
10,8/15/2017,15:45:00,74151,20.805,,,,
11,8/15/2017,16:00:00,74158,21.855,,,,
12,8/15/2017,16:15:00,74176,20.424,,,,
13,8/15/2017,16:30:00,74161,21.378,,,,
14,8/15/2017,16:45:00,74137,22.046,,,,
15,8/15/2017,17:00:00,74145,19.187,,,,
16,8/15/2017,17:15:00,74148,20.138,,,,
17,8/15/2017,17:30:00,74152,21.664,,,,
18,8/15/2017,17:45:00,74140,18.14,,,,
19,8/15/2017,18:00:00,74131,17.284,,,,
20,8/15/2017,18:15:00,74134,17.665,,,,
21,8/15/2017,18:30:00,74137,16.903,,,,
22,8/15/2017,18:45:00,74146,17.189,,,,
23,8/15/2017,19:00:00,74147,16.618,,,,
24,8/15/2017,19:15:00,74154,15.951,,,,
25,8/15/2017,19:30:00,74191,15.378,,,,
26,8/15/2017,19:45:00,74192,14.804,,,,
27,8/15/2017,20:00:00,74205,14.325,,,,
28,8/15/2017,20:15:00,74199,13.846,,,,
29,8/15/2017,20:30:00,74175,13.654,,,,
30,8/15/2017,20:45:00,74204,13.076,,,,
31,8/15/2017,21:00:00,74213,10.944,,,,
32,8/15/2017,21:15:00,74236,12.013,,,,
33,8/15/2017,21:30:00,74231,13.076,,,,
34,8/15/2017,21:45:00,74241,13.076,,,,
35,8/15/2017,22:00:00,74234,13.173,,,,
36,8/15/2017,22:15:00,74244,12.883,,,,
37,8/15/2017,22:30:00,74247,12.69,,,,
38,8/15/2017,22:45:00,74252,11.916,,,,
39,8/15/2017,23:00:00,74243,11.625,,,,
40,8/15/2017,23:15:00,74244,10.748,,,,
41,8/15/2017,23:30:00,74239,10.259,,,,
42,8/15/2017,23:45:00,74256,10.846,,,,
43,8/16/2017,0:00:00,74242,10.357,,,,
44,8/16/2017,0:15:00,74266,10.553,,,,
45,8/16/2017,0:30:00,74260,10.651,,,,
46,8/16/2017,0:45:00,74280,11.334,,,,
47,8/16/2017,1:00:00,74272,12.594,,,,
48,8/16/2017,1:15:00,74277,13.365,,,,
49,8/16/2017,1:30:00,74271,13.173,,,,
50,8/16/2017,1:45:00,74275,12.69,,,,
51,8/16/2017,2:00:00,74267,12.11,,,,
52,8/16/2017,2:15:00,74268,11.528,,,,
53,8/16/2017,2:30:00,74284,11.139,,,,
