"Plot Title: 1153410"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1153410, SEN S/N: 1153410)","Temp, °C (LGR S/N: 1153410, SEN S/N: 1153410)","Batt, V (LGR S/N: 1153410, SEN S/N: 1153410)","Coupler Detached (LGR S/N: 1153410)","Coupler Attached (LGR S/N: 1153410)","Stopped (LGR S/N: 1153410)","End Of File (LGR S/N: 1153410)"
1,10/06/09 12:00:00 PM,86839,7.280,3.46,Logged,,,
2,10/06/09 12:30:00 PM,86838,7.381,3.46,,,,
3,10/06/09 01:00:00 PM,86773,7.481,3.46,,,,
4,10/06/09 01:30:00 PM,86741,7.582,3.46,,,,
5,10/06/09 02:00:00 PM,86756,7.682,3.46,,,,
6,10/06/09 02:30:00 PM,86755,7.782,3.46,,,,
7,10/06/09 03:00:00 PM,86754,7.882,3.46,,,,
8,10/06/09 03:30:00 PM,86770,7.983,3.46,,,,
9,10/06/09 04:00:00 PM,86769,8.082,3.46,,,,
10,10/06/09 04:30:00 PM,86768,8.182,3.46,,,,
11,10/06/09 05:00:00 PM,86768,8.182,3.46,,,,
12,10/06/09 05:30:00 PM,86816,8.182,3.46,,,,
13,10/06/09 06:00:00 PM,86816,8.182,3.48,,,,
14,10/06/09 06:30:00 PM,86849,8.082,3.46,,,,
15,10/06/09 07:00:00 PM,86897,7.983,3.46,,,,
16,10/06/09 07:30:00 PM,86930,7.882,3.46,,,,
17,10/06/09 08:00:00 PM,86946,7.782,3.46,,,,
18,10/06/09 08:30:00 PM,86947,7.682,3.46,,,,
19,10/06/09 09:00:00 PM,86932,7.582,3.46,,,,
20,10/06/09 09:30:00 PM,86933,7.481,3.46,,,,
21,10/06/09 10:00:00 PM,86933,7.381,3.46,,,,
22,10/06/09 10:30:00 PM,86918,7.280,3.46,,,,
23,10/06/09 11:00:00 PM,86935,7.179,3.46,,,,
24,10/06/09 11:30:00 PM,86920,7.079,3.46,,,,
25,10/07/09 12:00:00 AM,86904,6.978,3.46,,,,
26,10/07/09 12:30:00 AM,86936,6.978,3.46,,,,
27,10/07/09 01:00:00 AM,86985,6.877,3.46,,,,
28,10/07/09 01:30:00 AM,86921,6.877,3.46,,,,
29,10/07/09 02:00:00 AM,86938,6.775,3.46,,,,
30,10/07/09 02:30:00 AM,86906,6.775,3.46,,,,
31,10/07/09 03:00:00 AM,86890,6.775,3.46,,,,
32,10/07/09 03:30:00 AM,86922,6.775,3.46,,,,
33,10/07/09 04:00:00 AM,86891,6.674,3.46,,,,
34,10/07/09 04:30:00 AM,86827,6.674,3.46,,,,
35,10/07/09 05:00:00 AM,86843,6.674,3.46,,,,
36,10/07/09 05:30:00 AM,86907,6.674,3.46,,,,
37,10/07/09 06:00:00 AM,86876,6.573,3.46,,,,
38,10/07/09 06:30:00 AM,86891,6.573,3.46,,,,
39,10/07/09 07:00:00 AM,86876,6.573,3.46,,,,
40,10/07/09 07:30:00 AM,86907,6.573,3.46,,,,
41,10/07/09 08:00:00 AM,86907,6.674,3.46,,,,
42,10/07/09 08:30:00 AM,86923,6.674,3.46,,,,
43,10/07/09 09:00:00 AM,86907,6.674,3.46,,,,
44,10/07/09 09:30:00 AM,86923,6.674,3.46,,,,
45,10/07/09 10:00:00 AM,86906,6.775,3.46,,,,
46,10/07/09 10:30:00 AM,86890,6.775,3.46,,,,
47,10/07/09 11:00:00 AM,86874,6.775,3.46,,,,
48,10/07/09 11:30:00 AM,86841,6.877,3.46,,,,
49,10/07/09 12:00:00 PM,86777,6.978,3.46,,,,
50,10/07/09 12:30:00 PM,86745,6.978,3.46,,,,
51,10/07/09 01:00:00 PM,86665,7.079,3.46,,,,
52,10/07/09 01:30:00 PM,86632,7.179,3.46,,,,
53,10/07/09 02:00:00 PM,86631,7.280,3.46,,,,
54,10/07/09 02:30:00 PM,86599,7.381,3.46,,,,
55,10/07/09 03:00:00 PM,86582,7.481,3.46,,,,
