"Plot Title: lwr_jara_gage"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811662, SEN S/N: 9811662)","Temp, °C (LGR S/N: 9811662, SEN S/N: 9811662)","Coupler Detached (LGR S/N: 9811662)","End Of File (LGR S/N: 9811662)"
1,10/06/11 12:00:00 PM,77426,10.161,Logged,
2,10/06/11 12:15:00 PM,77434,9.275,,
3,10/06/11 12:30:00 PM,77422,9.275,,
4,10/06/11 12:45:00 PM,77398,9.275,,
5,10/06/11 01:00:00 PM,77398,9.275,,
6,10/06/11 01:15:00 PM,77387,9.373,,
7,10/06/11 01:30:00 PM,77363,9.373,,
8,10/06/11 01:45:00 PM,77340,9.472,,
9,10/06/11 02:00:00 PM,77328,9.472,,
10,10/06/11 02:15:00 PM,77316,9.472,,
11,10/06/11 02:30:00 PM,77316,9.571,,
12,10/06/11 02:45:00 PM,77328,9.571,,
13,10/06/11 03:00:00 PM,77376,9.571,,
14,10/06/11 03:15:00 PM,77376,9.669,,
15,10/06/11 03:30:00 PM,77412,9.669,,
16,10/06/11 03:45:00 PM,77389,9.768,,
17,10/06/11 04:00:00 PM,77365,9.768,,
18,10/06/11 04:15:00 PM,77377,9.768,,
19,10/06/11 04:30:00 PM,77365,9.768,,
20,10/06/11 04:45:00 PM,77365,9.866,,
21,10/06/11 05:00:00 PM,77365,9.866,,
22,10/06/11 05:15:00 PM,77365,9.866,,
23,10/06/11 05:30:00 PM,77377,9.866,,
24,10/06/11 05:45:00 PM,77378,9.965,,
25,10/06/11 06:00:00 PM,77401,9.965,,
26,10/06/11 06:15:00 PM,77401,9.965,,
27,10/06/11 06:30:00 PM,77389,9.965,,
28,10/06/11 06:45:00 PM,77401,9.965,,
29,10/06/11 07:00:00 PM,77413,9.965,,
30,10/06/11 07:15:00 PM,77413,9.965,,
31,10/06/11 07:30:00 PM,77437,9.965,,
32,10/06/11 07:45:00 PM,77449,9.965,,
33,10/06/11 08:00:00 PM,77473,9.965,,
34,10/06/11 08:15:00 PM,77461,9.965,,
35,10/06/11 08:30:00 PM,77485,9.965,,
36,10/06/11 08:45:00 PM,77485,9.965,,
37,10/06/11 09:00:00 PM,77485,9.965,,
38,10/06/11 09:15:00 PM,77485,9.965,,
39,10/06/11 09:30:00 PM,77485,9.965,,
40,10/06/11 09:45:00 PM,77472,9.866,,
41,10/06/11 10:00:00 PM,77484,9.866,,
42,10/06/11 10:15:00 PM,77472,9.866,,
43,10/06/11 10:30:00 PM,77508,9.866,,
44,10/06/11 10:45:00 PM,77520,9.866,,
45,10/06/11 11:00:00 PM,77520,9.866,,
46,10/06/11 11:15:00 PM,77520,9.866,,
47,10/06/11 11:30:00 PM,77520,9.866,,
48,10/06/11 11:45:00 PM,77496,9.866,,
49,10/07/11 12:00:00 AM,77484,9.768,,
50,10/07/11 12:15:00 AM,77495,9.768,,
51,10/07/11 12:30:00 AM,77495,9.768,,
52,10/07/11 12:45:00 AM,77507,9.768,,
53,10/07/11 01:00:00 AM,77484,9.768,,
54,10/07/11 01:15:00 AM,77472,9.768,,
55,10/07/11 01:30:00 AM,77459,9.669,,
56,10/07/11 01:45:00 AM,77436,9.669,,
57,10/07/11 02:00:00 AM,77459,9.669,,
58,10/07/11 02:15:00 AM,77471,9.669,,
59,10/07/11 02:30:00 AM,77471,9.669,,
60,10/07/11 02:45:00 AM,77436,9.669,,
61,10/07/11 03:00:00 AM,77436,9.669,,
62,10/07/11 03:15:00 AM,77435,9.571,,
63,10/07/11 03:30:00 AM,77411,9.571,,
64,10/07/11 03:45:00 AM,77411,9.571,,
65,10/07/11 04:00:00 AM,77400,9.571,,
66,10/07/11 04:15:00 AM,77388,9.571,,
67,10/07/11 04:30:00 AM,77376,9.571,,
68,10/07/11 04:45:00 AM,77388,9.571,,
69,10/07/11 05:00:00 AM,77340,9.571,,
70,10/07/11 05:15:00 AM,77400,9.571,,
71,10/07/11 05:30:00 AM,77352,9.472,,
72,10/07/11 05:45:00 AM,77340,9.472,,
73,10/07/11 06:00:00 AM,77352,9.472,,
74,10/07/11 06:15:00 AM,77363,9.472,,
75,10/07/11 06:30:00 AM,77387,9.472,,
76,10/07/11 06:45:00 AM,77363,9.472,,
77,10/07/11 07:00:00 AM,77375,9.472,,
78,10/07/11 07:15:00 AM,77352,9.472,,
79,10/07/11 07:30:00 AM,77375,9.472,,
80,10/07/11 07:45:00 AM,77340,9.472,,
81,10/07/11 08:00:00 AM,77363,9.472,,
82,10/07/11 08:15:00 AM,77375,9.472,,
83,10/07/11 08:30:00 AM,77363,9.472,,
84,10/07/11 08:45:00 AM,77387,9.472,,
85,10/07/11 09:00:00 AM,77363,9.472,,
86,10/07/11 09:15:00 AM,77375,9.472,,
87,10/07/11 09:30:00 AM,77399,9.472,,
88,10/07/11 09:45:00 AM,77399,9.472,,
89,10/07/11 10:00:00 AM,77399,9.472,,
90,10/07/11 10:15:00 AM,77387,9.472,,
91,10/07/11 10:30:00 AM,77411,9.472,,
92,10/07/11 10:45:00 AM,77411,9.571,,
93,10/07/11 11:00:00 AM,77423,9.571,,
94,10/07/11 11:15:00 AM,77388,9.571,,
95,10/07/11 11:30:00 AM,77388,9.571,,
96,10/07/11 11:45:00 AM,77376,9.571,,
97,10/07/11 12:00:00 PM,77376,9.571,,
98,10/07/11 12:15:00 PM,77376,9.571,,
99,10/07/11 12:30:00 PM,77352,9.571,,
100,10/07/11 12:45:00 PM,77352,9.571,,
101,10/07/11 01:00:00 PM,77364,9.571,,
102,10/07/11 01:15:00 PM,77304,9.571,,
103,10/07/11 01:30:00 PM,77316,9.571,,
