"Plot Title: 9811666-Lwr Jaramillo gag"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811666, SEN S/N: 9811666)","Temp, °C (LGR S/N: 9811666, SEN S/N: 9811666)","Coupler Detached (LGR S/N: 9811666)","Coupler Attached (LGR S/N: 9811666)","Stopped (LGR S/N: 9811666)","End Of File (LGR S/N: 9811666)"
1,04/11/12 01:15:00 PM,74744,13.654,Logged,,,
2,04/11/12 01:30:00 PM,78441,6.370,,,,
3,04/11/12 01:45:00 PM,78392,5.962,,,,
4,04/11/12 02:00:00 PM,78380,5.962,,,,
5,04/11/12 02:15:00 PM,78367,5.860,,,,
6,04/11/12 02:30:00 PM,78343,5.860,,,,
7,04/11/12 02:45:00 PM,78355,5.757,,,,
8,04/11/12 03:00:00 PM,78283,5.757,,,,
9,04/11/12 03:15:00 PM,78271,5.757,,,,
10,04/11/12 03:30:00 PM,78259,5.655,,,,
11,04/11/12 03:45:00 PM,78247,5.655,,,,
12,04/11/12 04:00:00 PM,78247,5.655,,,,
13,04/11/12 04:15:00 PM,78223,5.655,,,,
14,04/11/12 04:30:00 PM,78187,5.655,,,,
15,04/11/12 04:45:00 PM,78199,5.655,,,,
16,04/11/12 05:00:00 PM,78175,5.655,,,,
17,04/11/12 05:15:00 PM,78199,5.655,,,,
18,04/11/12 05:30:00 PM,78163,5.655,,,,
19,04/11/12 05:45:00 PM,78163,5.655,,,,
20,04/11/12 06:00:00 PM,78175,5.655,,,,
21,04/11/12 06:15:00 PM,78151,5.552,,,,
22,04/11/12 06:30:00 PM,78139,5.552,,,,
23,04/11/12 06:45:00 PM,78163,5.655,,,,
24,04/11/12 07:00:00 PM,78187,5.655,,,,
25,04/11/12 07:15:00 PM,78187,5.655,,,,
26,04/11/12 07:30:00 PM,78211,5.655,,,,
27,04/11/12 07:45:00 PM,78235,5.655,,,,
28,04/11/12 08:00:00 PM,78235,5.655,,,,
29,04/11/12 08:15:00 PM,78235,5.655,,,,
30,04/11/12 08:30:00 PM,78223,5.655,,,,
31,04/11/12 08:45:00 PM,78235,5.655,,,,
32,04/11/12 09:00:00 PM,78235,5.655,,,,
33,04/11/12 09:15:00 PM,78223,5.655,,,,
34,04/11/12 09:30:00 PM,78259,5.655,,,,
35,04/11/12 09:45:00 PM,78259,5.655,,,,
36,04/11/12 10:00:00 PM,78271,5.757,,,,
37,04/11/12 10:15:00 PM,78259,5.757,,,,
38,04/11/12 10:30:00 PM,78271,5.757,,,,
39,04/11/12 10:45:00 PM,78271,5.757,,,,
40,04/11/12 11:00:00 PM,78283,5.757,,,,
41,04/11/12 11:15:00 PM,78283,5.757,,,,
42,04/11/12 11:30:00 PM,78283,5.757,,,,
43,04/11/12 11:45:00 PM,78259,5.757,,,,
44,04/12/12 12:00:00 AM,78247,5.757,,,,
45,04/12/12 12:15:00 AM,78235,5.757,,,,
46,04/12/12 12:30:00 AM,78235,5.757,,,,
47,04/12/12 12:45:00 AM,78223,5.757,,,,
48,04/12/12 01:00:00 AM,78235,5.757,,,,
49,04/12/12 01:15:00 AM,78235,5.757,,,,
50,04/12/12 01:30:00 AM,78259,5.757,,,,
51,04/12/12 01:45:00 AM,78224,5.860,,,,
52,04/12/12 02:00:00 AM,78236,5.860,,,,
53,04/12/12 02:15:00 AM,78212,5.860,,,,
54,04/12/12 02:30:00 AM,78200,5.860,,,,
55,04/12/12 02:45:00 AM,78212,5.860,,,,
56,04/12/12 03:00:00 AM,78200,5.860,,,,
57,04/12/12 03:15:00 AM,78200,5.860,,,,
58,04/12/12 03:30:00 AM,78236,5.860,,,,
59,04/12/12 03:45:00 AM,78212,5.860,,,,
60,04/12/12 04:00:00 AM,78212,5.860,,,,
61,04/12/12 04:15:00 AM,78188,5.860,,,,
62,04/12/12 04:30:00 AM,78200,5.860,,,,
63,04/12/12 04:45:00 AM,78188,5.860,,,,
64,04/12/12 05:00:00 AM,78224,5.860,,,,
65,04/12/12 05:15:00 AM,78212,5.860,,,,
66,04/12/12 05:30:00 AM,78200,5.860,,,,
67,04/12/12 05:45:00 AM,78200,5.860,,,,
68,04/12/12 06:00:00 AM,78176,5.860,,,,
69,04/12/12 06:15:00 AM,78200,5.860,,,,
70,04/12/12 06:30:00 AM,78164,5.860,,,,
71,04/12/12 06:45:00 AM,78200,5.860,,,,
72,04/12/12 07:00:00 AM,78188,5.860,,,,
73,04/12/12 07:15:00 AM,78176,5.860,,,,
74,04/12/12 07:30:00 AM,78200,5.860,,,,
75,04/12/12 07:45:00 AM,78188,5.860,,,,
76,04/12/12 08:00:00 AM,78188,5.860,,,,
77,04/12/12 08:15:00 AM,78176,5.860,,,,
78,04/12/12 08:30:00 AM,78188,5.860,,,,
79,04/12/12 08:45:00 AM,78164,5.860,,,,
80,04/12/12 09:00:00 AM,78176,5.860,,,,
81,04/12/12 09:15:00 AM,78200,5.860,,,,
82,04/12/12 09:30:00 AM,78188,5.860,,,,
83,04/12/12 09:45:00 AM,78200,5.860,,,,
84,04/12/12 10:00:00 AM,78176,5.860,,,,
85,04/12/12 10:15:00 AM,78188,5.757,,,,
86,04/12/12 10:30:00 AM,78152,5.860,,,,
87,04/12/12 10:45:00 AM,78164,5.757,,,,
88,04/12/12 11:00:00 AM,78164,5.757,,,,
89,04/12/12 11:15:00 AM,78164,5.757,,,,
90,04/12/12 11:30:00 AM,78152,5.757,,,,
91,04/12/12 11:45:00 AM,78140,5.757,,,,
92,04/12/12 12:00:00 PM,78140,5.757,,,,
93,04/12/12 12:15:00 PM,78116,5.757,,,,
94,04/12/12 12:30:00 PM,78128,5.757,,,,
95,04/12/12 12:45:00 PM,78092,5.757,,,,
96,04/12/12 01:00:00 PM,78092,5.757,,,,
97,04/12/12 01:15:00 PM,78104,5.757,,,,
98,04/12/12 01:30:00 PM,78092,5.757,,,,
99,04/12/12 01:45:00 PM,78080,5.757,,,,
100,04/12/12 02:00:00 PM,78080,5.757,,,,
101,04/12/12 02:15:00 PM,78104,5.757,,,,
102,04/12/12 02:30:00 PM,78080,5.757,,,,
103,04/12/12 02:45:00 PM,78092,5.757,,,,
104,04/12/12 03:00:00 PM,78044,5.757,,,,
105,04/12/12 03:15:00 PM,78044,5.757,,,,
106,04/12/12 03:30:00 PM,78080,5.757,,,,
107,04/12/12 03:45:00 PM,78044,5.757,,,,
108,04/12/12 04:00:00 PM,78044,5.757,,,,
109,04/12/12 04:15:00 PM,78068,5.860,,,,
110,04/12/12 04:30:00 PM,78092,5.860,,,,
111,04/12/12 04:45:00 PM,78080,5.860,,,,
112,04/12/12 05:00:00 PM,78068,5.860,,,,
113,04/12/12 05:15:00 PM,78068,5.860,,,,
114,04/12/12 05:30:00 PM,78092,5.860,,,,
115,04/12/12 05:45:00 PM,78068,5.860,,,,
116,04/12/12 06:00:00 PM,78080,5.860,,,,
117,04/12/12 06:15:00 PM,78116,5.860,,,,
118,04/12/12 06:30:00 PM,78128,5.860,,,,
119,04/12/12 06:45:00 PM,78104,5.860,,,,
120,04/12/12 07:00:00 PM,78104,5.860,,,,
121,04/12/12 07:15:00 PM,78080,5.860,,,,
122,04/12/12 07:30:00 PM,78092,5.860,,,,
123,04/12/12 07:45:00 PM,78092,5.860,,,,
