"Plot Title: 1153412"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1153412, SEN S/N: 1153412)","Temp, °C (LGR S/N: 1153412, SEN S/N: 1153412)","Batt, V (LGR S/N: 1153412, SEN S/N: 1153412)","Coupler Detached (LGR S/N: 1153412)","End Of File (LGR S/N: 1153412)"
1,08/27/12 11:46:25 AM,6588,14.421,3.54,Logged,
2,08/27/12 12:16:25 PM,6588,14.421,3.54,,
3,08/27/12 12:46:25 PM,6588,14.421,3.54,,
4,08/27/12 01:16:25 PM,6582,14.613,3.54,,
5,08/27/12 01:46:25 PM,6579,14.709,3.54,,
6,08/27/12 02:16:25 PM,6574,14.900,3.54,,
7,08/27/12 02:46:25 PM,6571,14.996,3.57,,
8,08/27/12 03:16:25 PM,6566,15.187,3.54,,
9,08/27/12 03:46:25 PM,6561,15.378,3.54,,
10,08/27/12 04:16:25 PM,6558,15.473,3.54,,
11,08/27/12 04:46:25 PM,6555,15.569,3.54,,
12,08/27/12 05:16:25 PM,6553,15.664,3.54,,
13,08/27/12 05:46:25 PM,6547,15.855,3.54,,
14,08/27/12 06:16:25 PM,6547,15.855,3.54,,
15,08/27/12 06:46:25 PM,6544,15.951,3.54,,
16,08/27/12 07:16:25 PM,6542,16.046,3.54,,
17,08/27/12 07:46:25 PM,6542,16.046,3.54,,
18,08/27/12 08:16:25 PM,6542,16.046,3.54,,
19,08/27/12 08:46:25 PM,6542,16.046,3.54,,
20,08/27/12 09:16:25 PM,6542,16.046,3.54,,Logged
