"Plot Title: 9811666-Lwr Jaramillo gag"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811666, SEN S/N: 9811666)","Temp, °C (LGR S/N: 9811666, SEN S/N: 9811666)","Coupler Detached (LGR S/N: 9811666)","Coupler Attached (LGR S/N: 9811666)","Stopped (LGR S/N: 9811666)","End Of File (LGR S/N: 9811666)"
1,05/06/13 01:00:00 PM,78097,8.978,Logged,,,
2,05/06/13 01:15:00 PM,78095,8.680,,,,
3,05/06/13 01:30:00 PM,78081,8.382,,,,
4,05/06/13 01:45:00 PM,78080,8.182,,,,
5,05/06/13 02:00:00 PM,78080,8.082,,,,
6,05/06/13 02:15:00 PM,78067,7.882,,,,
7,05/06/13 02:30:00 PM,78066,7.782,,,,
8,05/06/13 02:45:00 PM,78042,7.682,,,,
9,05/06/13 03:00:00 PM,78029,7.582,,,,
10,05/06/13 03:15:00 PM,78041,7.481,,,,
11,05/06/13 03:30:00 PM,78029,7.481,,,,
12,05/06/13 03:45:00 PM,78028,7.381,,,,
13,05/06/13 04:00:00 PM,78039,7.280,,,,
14,05/06/13 04:15:00 PM,78039,7.280,,,,
15,05/06/13 04:30:00 PM,78027,7.179,,,,
16,05/06/13 04:45:00 PM,78027,7.179,,,,
17,05/06/13 05:00:00 PM,78050,7.079,,,,
18,05/06/13 05:15:00 PM,78050,7.079,,,,
19,05/06/13 05:30:00 PM,78050,7.079,,,,
20,05/06/13 05:45:00 PM,78026,6.978,,,,
21,05/06/13 06:00:00 PM,78038,6.978,,,,
22,05/06/13 06:15:00 PM,78050,6.978,,,,
23,05/06/13 06:30:00 PM,78061,6.877,,,,
24,05/06/13 06:45:00 PM,78037,6.877,,,,
25,05/06/13 07:00:00 PM,78061,6.877,,,,
26,05/06/13 07:15:00 PM,78061,6.877,,,,
27,05/06/13 07:30:00 PM,78073,6.775,,,,
28,05/06/13 07:45:00 PM,78085,6.775,,,,
29,05/06/13 08:00:00 PM,78097,6.775,,,,
30,05/06/13 08:15:00 PM,78109,6.775,,,,
31,05/06/13 08:30:00 PM,78109,6.775,,,,
32,05/06/13 08:45:00 PM,78145,6.775,,,,
33,05/06/13 09:00:00 PM,78145,6.775,,,,
34,05/06/13 09:15:00 PM,78144,6.674,,,,
35,05/06/13 09:30:00 PM,78168,6.674,,,,
36,05/06/13 09:45:00 PM,78180,6.674,,,,
37,05/06/13 10:00:00 PM,78228,6.674,,,,
38,05/06/13 10:15:00 PM,78216,6.674,,,,
39,05/06/13 10:30:00 PM,78240,6.674,,,,
40,05/06/13 10:45:00 PM,78228,6.674,,,,
41,05/06/13 11:00:00 PM,78228,6.674,,,,
42,05/06/13 11:15:00 PM,78228,6.674,,,,
43,05/06/13 11:30:00 PM,78228,6.674,,,,
44,05/06/13 11:45:00 PM,78240,6.674,,,,
45,05/07/13 12:00:00 AM,78239,6.573,,,,
46,05/07/13 12:15:00 AM,78251,6.573,,,,
47,05/07/13 12:30:00 AM,78251,6.573,,,,
48,05/07/13 12:45:00 AM,78251,6.573,,,,
49,05/07/13 01:00:00 AM,78239,6.573,,,,
50,05/07/13 01:15:00 AM,78251,6.573,,,,
51,05/07/13 01:30:00 AM,78239,6.573,,,,
52,05/07/13 01:45:00 AM,78239,6.573,,,,
53,05/07/13 02:00:00 AM,78263,6.573,,,,
54,05/07/13 02:15:00 AM,78239,6.573,,,,
55,05/07/13 02:30:00 AM,78227,6.471,,,,
56,05/07/13 02:45:00 AM,78215,6.471,,,,
57,05/07/13 03:00:00 AM,78227,6.471,,,,
58,05/07/13 03:15:00 AM,78227,6.471,,,,
59,05/07/13 03:30:00 AM,78226,6.370,,,,
60,05/07/13 03:45:00 AM,78214,6.370,,,,
61,05/07/13 04:00:00 AM,78214,6.370,,,,
62,05/07/13 04:15:00 AM,78202,6.268,,,,
63,05/07/13 04:30:00 AM,78202,6.268,,,,
64,05/07/13 04:45:00 AM,78214,6.268,,,,
65,05/07/13 05:00:00 AM,78213,6.166,,,,
66,05/07/13 05:15:00 AM,78201,6.166,,,,
67,05/07/13 05:30:00 AM,78189,6.166,,,,
68,05/07/13 05:45:00 AM,78201,6.166,,,,
69,05/07/13 06:00:00 AM,78201,6.064,,,,
70,05/07/13 06:15:00 AM,78201,6.064,,,,
71,05/07/13 06:30:00 AM,78213,6.064,,,,
72,05/07/13 06:45:00 AM,78212,5.962,,,,
73,05/07/13 07:00:00 AM,78236,5.962,,,,
74,05/07/13 07:15:00 AM,78212,5.962,,,,
75,05/07/13 07:30:00 AM,78236,5.962,,,,
76,05/07/13 07:45:00 AM,78236,5.962,,,,
77,05/07/13 08:00:00 AM,78224,5.962,,,,
78,05/07/13 08:15:00 AM,78224,5.962,,,,
79,05/07/13 08:30:00 AM,78212,5.962,,,,
80,05/07/13 08:45:00 AM,78224,5.962,,,,
81,05/07/13 09:00:00 AM,78224,5.962,,,,
82,05/07/13 09:15:00 AM,78224,5.962,,,,
83,05/07/13 09:30:00 AM,78225,6.064,,,,
84,05/07/13 09:45:00 AM,78213,6.064,,,,
85,05/07/13 10:00:00 AM,78201,6.064,,,,
86,05/07/13 10:15:00 AM,78201,6.064,,,,
87,05/07/13 10:30:00 AM,78225,6.064,,,,
88,05/07/13 10:45:00 AM,78213,6.064,,,,
89,05/07/13 11:00:00 AM,78213,6.064,,,,
90,05/07/13 11:15:00 AM,78201,6.166,,,,
91,05/07/13 11:30:00 AM,78213,6.166,,,,
92,05/07/13 11:45:00 AM,78189,6.166,,,,
93,05/07/13 12:00:00 PM,78189,6.166,,,,
94,05/07/13 12:15:00 PM,78154,6.166,,,,
95,05/07/13 12:30:00 PM,78154,6.166,,,,
96,05/07/13 12:45:00 PM,78130,6.166,,,,
97,05/07/13 01:00:00 PM,78118,6.166,,,,
98,05/07/13 01:15:00 PM,78118,6.166,,,,
99,05/07/13 01:30:00 PM,78106,6.166,,,,
100,05/07/13 01:45:00 PM,78106,6.166,,,,
101,05/07/13 02:00:00 PM,78106,6.166,,,,
102,05/07/13 02:15:00 PM,78082,6.166,,,,
103,05/07/13 02:30:00 PM,78058,6.166,,,,
104,05/07/13 02:45:00 PM,78058,6.166,,,,
105,05/07/13 03:00:00 PM,78034,6.166,,,,
106,05/07/13 03:15:00 PM,78022,6.166,,,,
107,05/07/13 03:30:00 PM,77999,6.268,,,,
108,05/07/13 03:45:00 PM,78023,6.268,,,,
109,05/07/13 04:00:00 PM,78011,6.268,,,,
110,05/07/13 04:15:00 PM,77987,6.268,,,,
111,05/07/13 04:30:00 PM,77987,6.268,,,,
112,05/07/13 04:45:00 PM,78011,6.268,,,,
113,05/07/13 05:00:00 PM,77999,6.268,,,,
114,05/07/13 05:15:00 PM,78011,6.268,,,,
115,05/07/13 05:30:00 PM,77987,6.268,,,,
116,05/07/13 05:45:00 PM,77999,6.268,,,,
117,05/07/13 06:00:00 PM,78034,6.268,,,,
118,05/07/13 06:15:00 PM,78011,6.268,,,,
119,05/07/13 06:30:00 PM,77987,6.268,,,,
120,05/07/13 06:45:00 PM,77999,6.268,,,,
121,05/07/13 07:00:00 PM,77975,6.268,,,,
122,05/07/13 07:15:00 PM,78011,6.268,,,,
123,05/07/13 07:30:00 PM,77975,6.268,,,,
