"Plot Title: 9811666-Lwr Jaramillo gag"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811666, SEN S/N: 9811666)","Temp, °C (LGR S/N: 9811666, SEN S/N: 9811666)","Coupler Detached (LGR S/N: 9811666)","End Of File (LGR S/N: 9811666)"
1,08/28/13 11:30:00 AM,75061,15.760,Logged,
2,08/28/13 11:45:00 AM,79916,15.091,,
3,08/28/13 12:00:00 PM,79902,14.900,,
4,08/28/13 12:15:00 PM,79878,14.804,,
5,08/28/13 12:30:00 PM,79877,14.709,,
6,08/28/13 12:45:00 PM,79877,14.709,,
7,08/28/13 01:00:00 PM,79864,14.613,,
8,08/28/13 01:15:00 PM,79852,14.613,,
9,08/28/13 01:30:00 PM,79851,14.517,,
10,08/28/13 01:45:00 PM,79839,14.517,,
11,08/28/13 02:00:00 PM,79826,14.421,,
12,08/28/13 02:15:00 PM,79814,14.421,,
13,08/28/13 02:30:00 PM,79826,14.421,,
14,08/28/13 02:45:00 PM,79790,14.421,,
15,08/28/13 03:00:00 PM,79765,14.325,,
16,08/28/13 03:15:00 PM,79753,14.325,,
17,08/28/13 03:30:00 PM,79753,14.325,,
18,08/28/13 03:45:00 PM,79729,14.325,,
19,08/28/13 04:00:00 PM,79693,14.325,,
20,08/28/13 04:15:00 PM,79693,14.230,,
21,08/28/13 04:30:00 PM,79681,14.230,,
22,08/28/13 04:45:00 PM,79693,14.230,,
23,08/28/13 05:00:00 PM,79693,14.230,,
24,08/28/13 05:15:00 PM,79681,14.230,,
25,08/28/13 05:30:00 PM,79669,14.230,,
26,08/28/13 05:45:00 PM,79657,14.230,,
27,08/28/13 06:00:00 PM,79657,14.230,,
28,08/28/13 06:15:00 PM,79680,14.134,,
29,08/28/13 06:30:00 PM,79656,14.134,,
30,08/28/13 06:45:00 PM,79668,14.134,,
31,08/28/13 07:00:00 PM,79680,14.134,,
32,08/28/13 07:15:00 PM,79680,14.134,,
33,08/28/13 07:30:00 PM,79704,14.134,,
34,08/28/13 07:45:00 PM,79728,14.134,,
35,08/28/13 08:00:00 PM,79716,14.134,,
36,08/28/13 08:15:00 PM,79728,14.134,,
37,08/28/13 08:30:00 PM,79728,14.134,,
38,08/28/13 08:45:00 PM,79740,14.134,,
39,08/28/13 09:00:00 PM,79752,14.134,,
40,08/28/13 09:15:00 PM,79764,14.134,,
41,08/28/13 09:30:00 PM,79776,14.134,,
42,08/28/13 09:45:00 PM,79788,14.134,,
43,08/28/13 10:00:00 PM,79788,14.134,,
44,08/28/13 10:15:00 PM,79823,14.134,,
45,08/28/13 10:30:00 PM,79823,14.134,,
46,08/28/13 10:45:00 PM,79823,14.134,,
47,08/28/13 11:00:00 PM,79835,14.038,,
48,08/28/13 11:15:00 PM,79847,14.134,,
49,08/28/13 11:30:00 PM,79858,14.038,,
50,08/28/13 11:45:00 PM,79858,14.038,,
51,08/29/13 12:00:00 AM,79858,14.038,,
52,08/29/13 12:15:00 AM,79835,14.038,,
53,08/29/13 12:30:00 AM,79835,14.038,,
54,08/29/13 12:45:00 AM,79835,14.038,,
55,08/29/13 01:00:00 AM,79847,14.038,,
56,08/29/13 01:15:00 AM,79847,14.038,,
57,08/29/13 01:30:00 AM,79835,14.038,,
58,08/29/13 01:45:00 AM,79823,14.038,,
59,08/29/13 02:00:00 AM,79811,14.038,,
60,08/29/13 02:15:00 AM,79823,14.038,,
61,08/29/13 02:30:00 AM,79799,14.038,,
62,08/29/13 02:45:00 AM,79811,14.038,,
63,08/29/13 03:00:00 AM,79811,14.038,,
64,08/29/13 03:15:00 AM,79799,14.038,,
65,08/29/13 03:30:00 AM,79787,14.038,,
66,08/29/13 03:45:00 AM,79799,14.038,,
67,08/29/13 04:00:00 AM,79787,14.038,,
68,08/29/13 04:15:00 AM,79775,14.038,,
69,08/29/13 04:30:00 AM,79775,14.038,,
70,08/29/13 04:45:00 AM,79799,14.038,,
71,08/29/13 05:00:00 AM,79799,14.038,,
72,08/29/13 05:15:00 AM,79786,13.942,,
73,08/29/13 05:30:00 AM,79798,13.942,,
74,08/29/13 05:45:00 AM,79822,13.942,,
75,08/29/13 06:00:00 AM,79834,13.942,,
76,08/29/13 06:15:00 AM,79822,13.942,,
77,08/29/13 06:30:00 AM,79846,13.942,,
78,08/29/13 06:45:00 AM,79833,13.846,,
79,08/29/13 07:00:00 AM,79857,13.846,,
80,08/29/13 07:15:00 AM,79869,13.846,,
81,08/29/13 07:30:00 AM,79893,13.846,,
82,08/29/13 07:45:00 AM,79905,13.846,,
