"Plot Title: 9811663-west jaramillo"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Batt, V (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","Coupler Attached (LGR S/N: 9811663)","Stopped (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,08/24/11 02:15:00 PM,74486,16.237,3.51,Logged,,,
2,08/24/11 02:30:00 PM,74485,16.046,3.51,,,,
3,08/24/11 02:45:00 PM,74461,16.046,3.51,,,,
4,08/24/11 03:00:00 PM,74461,16.046,3.51,,,,
5,08/24/11 03:15:00 PM,74425,16.046,3.51,,,,
6,08/24/11 03:30:00 PM,74461,16.046,3.51,,,,
7,08/24/11 03:45:00 PM,74437,16.046,3.51,,,,
8,08/24/11 04:00:00 PM,74425,16.046,3.51,,,,
9,08/24/11 04:15:00 PM,74473,16.046,3.51,,,,
10,08/24/11 04:30:00 PM,74461,16.046,3.51,,,,
11,08/24/11 04:45:00 PM,74449,16.046,3.51,,,,
12,08/24/11 05:00:00 PM,74449,15.951,3.51,,,,
13,08/24/11 05:15:00 PM,74485,15.951,3.51,,,,
14,08/24/11 05:30:00 PM,74473,15.951,3.51,,,,
15,08/24/11 05:45:00 PM,74509,15.855,3.51,,,,
16,08/24/11 06:00:00 PM,74484,15.855,3.51,,,,
17,08/24/11 06:15:00 PM,74472,15.760,3.51,,,,
18,08/24/11 06:30:00 PM,74484,15.760,3.51,,,,
19,08/24/11 06:45:00 PM,74460,15.664,3.51,,,,
20,08/24/11 07:00:00 PM,74472,15.664,3.51,,,,
21,08/24/11 07:15:00 PM,74459,15.569,3.51,,,,
22,08/24/11 07:30:00 PM,74483,15.569,3.51,,,,
23,08/24/11 07:45:00 PM,74495,15.473,3.51,,,,
24,08/24/11 08:00:00 PM,74507,15.473,3.51,,,,
25,08/24/11 08:15:00 PM,74531,15.378,3.51,,,,
26,08/24/11 08:30:00 PM,74555,15.378,3.51,,,,
27,08/24/11 08:45:00 PM,74579,15.282,3.51,,,,
28,08/24/11 09:00:00 PM,74590,15.187,3.51,,,,
29,08/24/11 09:15:00 PM,74615,15.187,3.51,,,,
30,08/24/11 09:30:00 PM,74638,15.091,3.51,,,,
31,08/24/11 09:45:00 PM,74602,15.091,3.51,,,,
32,08/24/11 10:00:00 PM,74614,14.996,3.54,,,,
33,08/24/11 10:15:00 PM,74601,14.900,3.54,,,,
34,08/24/11 10:30:00 PM,74589,14.900,3.54,,,,
35,08/24/11 10:45:00 PM,74589,14.804,3.54,,,,
36,08/24/11 11:00:00 PM,74589,14.709,3.54,,,,
37,08/24/11 11:15:00 PM,74600,14.613,3.54,,,,
38,08/24/11 11:30:00 PM,74588,14.517,3.54,,,,
39,08/24/11 11:45:00 PM,74563,14.421,3.54,,,,
40,08/25/11 12:00:00 AM,74551,14.325,3.54,,,,
41,08/25/11 12:15:00 AM,74575,14.325,3.54,,,,
42,08/25/11 12:30:00 AM,74599,14.230,3.54,,,,
43,08/25/11 12:45:00 AM,74598,14.134,3.54,,,,
44,08/25/11 01:00:00 AM,74598,14.038,3.54,,,,
45,08/25/11 01:15:00 AM,74610,14.038,3.54,,,,
46,08/25/11 01:30:00 AM,74586,13.942,3.54,,,,
47,08/25/11 01:45:00 AM,74574,13.942,3.54,,,,
48,08/25/11 02:00:00 AM,74574,13.942,3.51,,,,
49,08/25/11 02:15:00 AM,74585,13.846,3.51,,,,
50,08/25/11 02:30:00 AM,74597,13.846,3.51,,,,
51,08/25/11 02:45:00 AM,74622,13.846,3.51,,,,
52,08/25/11 03:00:00 AM,74585,13.846,3.51,,,,
53,08/25/11 03:15:00 AM,74609,13.846,3.51,,,,
54,08/25/11 03:30:00 AM,74597,13.750,3.51,,,,
55,08/25/11 03:45:00 AM,74621,13.750,3.51,,,,
56,08/25/11 04:00:00 AM,74621,13.750,3.51,,,,
57,08/25/11 04:15:00 AM,74645,13.654,3.51,,,,
58,08/25/11 04:30:00 AM,74645,13.654,3.51,,,,
59,08/25/11 04:45:00 AM,74645,13.654,3.51,,,,
60,08/25/11 05:00:00 AM,74645,13.654,3.51,,,,
61,08/25/11 05:15:00 AM,74657,13.558,3.51,,,,
62,08/25/11 05:30:00 AM,74657,13.558,3.51,,,,
63,08/25/11 05:45:00 AM,74657,13.558,3.51,,,,
64,08/25/11 06:00:00 AM,74657,13.558,3.51,,,,
65,08/25/11 06:15:00 AM,74644,13.461,3.51,,,,
66,08/25/11 06:30:00 AM,74608,13.461,3.51,,,,
67,08/25/11 06:45:00 AM,74632,13.461,3.51,,,,
68,08/25/11 07:00:00 AM,74632,13.461,3.51,,,,
69,08/25/11 07:15:00 AM,74656,13.365,3.51,,,,
70,08/25/11 07:30:00 AM,74728,13.365,3.51,,,,
71,08/25/11 07:45:00 AM,74728,13.365,3.51,,,,
72,08/25/11 08:00:00 AM,74753,13.365,3.51,,,,
73,08/25/11 08:15:00 AM,74765,13.365,3.51,,,,
74,08/25/11 08:30:00 AM,74765,13.365,3.51,,,,
75,08/25/11 08:45:00 AM,74753,13.365,3.51,,,,
76,08/25/11 09:00:00 AM,74753,13.365,3.51,,,,
77,08/25/11 09:15:00 AM,74765,13.365,3.51,,,,
78,08/25/11 09:30:00 AM,74777,13.461,3.51,,,,
79,08/25/11 09:45:00 AM,74777,13.461,3.51,,,,
80,08/25/11 10:00:00 AM,74789,13.461,3.51,,,,
81,08/25/11 10:15:00 AM,74790,13.558,3.51,,,,
