"Plot Title: UpJaramillo1"
"#","Date Time, GMT+00:00","Abs Pres, Pa (LGR S/N: 1059642, SEN S/N: 1059642)","Temp, °C (LGR S/N: 1059642, SEN S/N: 1059642)","Coupler Detached (LGR S/N: 1059642)","Coupler Attached (LGR S/N: 1059642)","Stopped (LGR S/N: 1059642)","End Of File (LGR S/N: 1059642)"
1,05/09/12 09:30:00 PM,80893,23.388,Logged,,,
2,05/09/12 10:00:00 PM,80800,21.855,,,,
3,05/09/12 10:30:00 PM,80718,21.473,,,,
4,05/09/12 11:00:00 PM,80691,21.473,,,,
5,05/09/12 11:30:00 PM,80677,21.473,,,,
6,05/10/12 12:00:00 AM,80677,21.569,,,,
7,05/10/12 12:30:00 AM,80690,21.569,,,,
8,05/10/12 01:00:00 AM,80676,21.664,,,,
9,05/10/12 01:30:00 AM,80663,21.664,,,,
10,05/10/12 02:00:00 AM,80691,21.473,,,,
11,05/10/12 02:30:00 AM,80732,21.282,,,,
12,05/10/12 03:00:00 AM,80760,21.091,,,,
13,05/10/12 03:30:00 AM,80843,20.996,,,,
14,05/10/12 04:00:00 AM,80885,20.805,,,,
15,05/10/12 04:30:00 AM,80899,20.710,,,,
16,05/10/12 05:00:00 AM,80927,20.424,,,,
17,05/10/12 05:30:00 AM,80914,20.234,,,,
18,05/10/12 06:00:00 AM,80942,19.948,,,,
19,05/10/12 06:30:00 AM,80902,19.662,,,,
20,05/10/12 07:00:00 AM,80875,19.377,,,,
21,05/10/12 07:30:00 AM,80862,19.092,,,,
22,05/10/12 08:00:00 AM,80835,18.711,,,,
23,05/10/12 08:30:00 AM,80822,18.426,,,,
24,05/10/12 09:00:00 AM,80795,18.140,,,,
25,05/10/12 09:30:00 AM,80755,17.855,,,,
26,05/10/12 10:00:00 AM,80755,17.570,,,,
27,05/10/12 10:30:00 AM,80742,17.284,,,,
28,05/10/12 11:00:00 AM,80729,17.094,,,,
29,05/10/12 11:30:00 AM,80702,16.808,,,,
30,05/10/12 12:00:00 PM,80703,16.523,,,,
31,05/10/12 12:30:00 PM,80703,16.237,,,,
32,05/10/12 01:00:00 PM,80704,16.046,,,,
33,05/10/12 01:30:00 PM,80745,15.951,,,,
34,05/10/12 02:00:00 PM,80746,15.855,,,,
35,05/10/12 02:30:00 PM,80718,15.855,,,,
36,05/10/12 03:00:00 PM,80649,16.046,,,,
37,05/10/12 03:30:00 PM,80607,16.332,,,,
38,05/10/12 04:00:00 PM,80524,16.523,,,,
39,05/10/12 04:30:00 PM,80537,16.808,,,,
40,05/10/12 05:00:00 PM,80591,17.189,,,,
41,05/10/12 05:30:00 PM,80576,17.570,,,,
42,05/10/12 06:00:00 PM,80548,18.045,,,,
43,05/10/12 06:30:00 PM,80519,18.426,,,,
44,05/10/12 07:00:00 PM,80436,18.806,,,,
45,05/10/12 07:30:00 PM,80366,19.187,,,,
46,05/10/12 08:00:00 PM,80351,19.662,,,,
47,05/10/12 08:30:00 PM,80281,20.043,,,,
48,05/10/12 09:00:00 PM,80239,20.424,,,,
49,05/10/12 09:30:00 PM,80224,20.805,,,,
50,05/10/12 10:00:00 PM,80168,21.187,,,,
51,05/10/12 10:30:00 PM,80167,21.569,,,,
52,05/10/12 11:00:00 PM,80166,22.046,,,,
53,05/10/12 11:30:00 PM,80165,22.429,,,,
54,05/11/12 12:00:00 AM,80137,22.717,,,,
55,05/11/12 12:30:00 AM,80150,22.908,,,,
56,05/11/12 01:00:00 AM,80177,23.100,,,,
57,05/11/12 01:30:00 AM,80204,23.196,,,,
58,05/11/12 02:00:00 AM,80218,23.196,,,,
59,05/11/12 02:30:00 AM,80273,23.196,,,,
60,05/11/12 03:00:00 AM,80370,23.004,,,,
61,05/11/12 03:30:00 AM,80453,22.908,,,,
62,05/11/12 04:00:00 AM,80522,22.717,,,,
63,05/11/12 04:30:00 AM,80564,22.621,,,,
64,05/11/12 05:00:00 AM,80551,22.333,,,,
65,05/11/12 05:30:00 AM,80510,22.142,,,,
66,05/11/12 06:00:00 AM,80552,21.855,,,,
67,05/11/12 06:30:00 AM,80552,21.664,,,,
68,05/11/12 07:00:00 AM,80526,21.378,,,,
69,05/11/12 07:30:00 AM,80526,21.091,,,,
