"Plot Title: 9811663-west jaramillo"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","Coupler Attached (LGR S/N: 9811663)","Stopped (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,06/19/12 10:00:00 AM,73788,13.654,Logged,,,
2,06/19/12 10:30:00 AM,73788,13.750,,,,
3,06/19/12 11:00:00 AM,73777,14.038,,,,
4,06/19/12 11:30:00 AM,73766,14.325,,,,
5,06/19/12 12:00:00 PM,73743,14.709,,,,
6,06/19/12 12:30:00 PM,73720,14.996,,,,
7,06/19/12 01:00:00 PM,73709,15.282,,,,
8,06/19/12 01:30:00 PM,73698,15.473,,,,
9,06/19/12 02:00:00 PM,73699,15.760,,,,
10,06/19/12 02:30:00 PM,73663,15.951,,,,
11,06/19/12 03:00:00 PM,73640,16.046,,,,
12,06/19/12 03:30:00 PM,73616,16.237,,,,
13,06/19/12 04:00:00 PM,73617,16.332,,,,
14,06/19/12 04:30:00 PM,73593,16.427,,,,
15,06/19/12 05:00:00 PM,73593,16.523,,,,
16,06/19/12 05:30:00 PM,73605,16.523,,,,
17,06/19/12 06:00:00 PM,73617,16.427,,,,
18,06/19/12 06:30:00 PM,73605,16.427,,,,
19,06/19/12 07:00:00 PM,73616,16.237,,,,
20,06/19/12 07:30:00 PM,73652,16.046,,,,
21,06/19/12 08:00:00 PM,73675,15.760,,,,
22,06/19/12 08:30:00 PM,73685,15.378,,,,
23,06/19/12 09:00:00 PM,73732,15.091,,,,
24,06/19/12 09:30:00 PM,73743,14.804,,,,
25,06/19/12 10:00:00 PM,73730,14.517,,,,
26,06/19/12 10:30:00 PM,73765,14.230,,,,
27,06/19/12 11:00:00 PM,73777,14.038,,,,
28,06/19/12 11:30:00 PM,73788,13.846,,,,
29,06/20/12 12:00:00 AM,73775,13.558,,,,
30,06/20/12 12:30:00 AM,73774,13.365,,,,
31,06/20/12 01:00:00 AM,73750,13.173,,,,
32,06/20/12 01:30:00 AM,73774,13.076,,,,
33,06/20/12 02:00:00 AM,73785,12.883,,,,
34,06/20/12 02:30:00 AM,73785,12.787,,,,
35,06/20/12 03:00:00 AM,73784,12.594,,,,
36,06/20/12 03:30:00 AM,73771,12.401,,,,
37,06/20/12 04:00:00 AM,73819,12.304,,,,
38,06/20/12 04:30:00 AM,73831,12.304,,,,
39,06/20/12 05:00:00 AM,73868,12.304,,,,
40,06/20/12 05:30:00 AM,73892,12.207,,,,
41,06/20/12 06:00:00 AM,73915,12.013,,,,
42,06/20/12 06:30:00 AM,73952,12.110,,,,
43,06/20/12 07:00:00 AM,74000,12.304,,,,
44,06/20/12 07:30:00 AM,74001,12.594,,,,
45,06/20/12 08:00:00 AM,74002,12.787,,,,
46,06/20/12 08:30:00 AM,74027,13.076,,,,
47,06/20/12 09:00:00 AM,74016,13.365,,,,
48,06/20/12 09:30:00 AM,74029,13.558,,,,
49,06/20/12 10:00:00 AM,74042,13.846,,,,
50,06/20/12 10:30:00 AM,74055,14.038,,,,
51,06/20/12 11:00:00 AM,74044,14.325,,,,
52,06/20/12 11:30:00 AM,74045,14.709,,,,
53,06/20/12 12:00:00 PM,74058,14.996,,,,
54,06/20/12 12:30:00 PM,74036,15.378,,,,
55,06/20/12 01:00:00 PM,74012,15.664,,,,
56,06/20/12 01:30:00 PM,73990,15.951,,,,
57,06/20/12 02:00:00 PM,73991,16.237,,,,
58,06/20/12 02:30:00 PM,73967,16.427,,,,
59,06/20/12 03:00:00 PM,73969,16.713,,,,
60,06/20/12 03:30:00 PM,73957,16.903,,,,
61,06/20/12 04:00:00 PM,73970,16.999,,,,
62,06/20/12 04:30:00 PM,73970,17.094,,,,
63,06/20/12 05:00:00 PM,73959,17.189,,,,
64,06/20/12 05:30:00 PM,73971,17.189,,,,
65,06/20/12 06:00:00 PM,73994,17.094,,,,
66,06/20/12 06:30:00 PM,74042,16.999,,,,
67,06/20/12 07:00:00 PM,74054,16.903,,,,
68,06/20/12 07:30:00 PM,74089,16.713,,,,
69,06/20/12 08:00:00 PM,74137,16.427,,,,
70,06/20/12 08:30:00 PM,74147,16.046,,,,
71,06/20/12 09:00:00 PM,74182,15.664,,,,
72,06/20/12 09:30:00 PM,74241,15.378,,,,
73,06/20/12 10:00:00 PM,74276,15.091,,,,
74,06/20/12 10:30:00 PM,74311,14.804,,,,
75,06/20/12 11:00:00 PM,74322,14.613,,,,
76,06/20/12 11:30:00 PM,74310,14.421,,,,
77,06/21/12 12:00:00 AM,74296,14.134,,,,
78,06/21/12 12:30:00 AM,74308,13.942,,,,
79,06/21/12 01:00:00 AM,74295,13.750,,,,
80,06/21/12 01:30:00 AM,74331,13.558,,,,
81,06/21/12 02:00:00 AM,74318,13.461,,,,
82,06/21/12 02:30:00 AM,74318,13.269,,,,
83,06/21/12 03:00:00 AM,74329,13.076,,,,
84,06/21/12 03:30:00 AM,74352,12.883,,,,
85,06/21/12 04:00:00 AM,74376,12.690,,,,
86,06/21/12 04:30:00 AM,74387,12.497,,,,
87,06/21/12 05:00:00 AM,74423,12.401,,,,
88,06/21/12 05:30:00 AM,74447,12.207,,,,
89,06/21/12 06:00:00 AM,74459,12.207,,,,
90,06/21/12 06:30:00 AM,74483,12.304,,,,
91,06/21/12 07:00:00 AM,74496,12.497,,,,
92,06/21/12 07:30:00 AM,74521,12.594,,,,
93,06/21/12 08:00:00 AM,74546,12.883,,,,
94,06/21/12 08:30:00 AM,74546,13.076,,,,
95,06/21/12 09:00:00 AM,74535,13.269,,,,
96,06/21/12 09:30:00 AM,74536,13.558,,,,
97,06/21/12 10:00:00 AM,74561,13.750,,,,
98,06/21/12 10:30:00 AM,74538,14.038,,,,
99,06/21/12 11:00:00 AM,74538,14.230,,,,
100,06/21/12 11:30:00 AM,74552,14.517,,,,
101,06/21/12 12:00:00 PM,74529,14.804,,,,
102,06/21/12 12:30:00 PM,74494,15.187,,,,
103,06/21/12 01:00:00 PM,74471,15.473,,,,
104,06/21/12 01:30:00 PM,74496,15.664,,,,
105,06/21/12 02:00:00 PM,74472,15.664,,,,
106,06/21/12 02:30:00 PM,74436,15.855,,,,
107,06/21/12 03:00:00 PM,74413,16.046,,,,
108,06/21/12 03:30:00 PM,74390,16.332,,,,
109,06/21/12 04:00:00 PM,74391,16.523,,,,
110,06/21/12 04:30:00 PM,74379,16.618,,,,
111,06/21/12 05:00:00 PM,74392,16.713,,,,
112,06/21/12 05:30:00 PM,74331,16.713,,,,
113,06/21/12 06:00:00 PM,74367,16.618,,,,
114,06/21/12 06:30:00 PM,74367,16.618,,,,
