"Plot Title: 9811663-west jaramillo"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,04/26/13 11:00:00 AM,74193,6.471,Logged,
2,04/26/13 11:15:00 AM,74192,6.166,,
3,04/26/13 11:30:00 AM,74216,6.166,,
4,04/26/13 11:45:00 AM,74228,6.166,,
5,04/26/13 12:00:00 PM,74204,6.268,,
6,04/26/13 12:15:00 PM,74192,6.370,,
7,04/26/13 12:30:00 PM,74204,6.370,,
8,04/26/13 12:45:00 PM,74229,6.471,,
9,04/26/13 01:00:00 PM,74217,6.471,,
10,04/26/13 01:15:00 PM,74229,6.471,,
11,04/26/13 01:30:00 PM,74241,6.471,,
12,04/26/13 01:45:00 PM,74241,6.370,,
13,04/26/13 02:00:00 PM,74241,6.370,,
14,04/26/13 02:15:00 PM,74217,6.370,,
15,04/26/13 02:30:00 PM,74204,6.370,,
16,04/26/13 02:45:00 PM,74204,6.370,,
17,04/26/13 03:00:00 PM,74217,6.370,,
18,04/26/13 03:15:00 PM,74205,6.471,,
19,04/26/13 03:30:00 PM,74205,6.573,,
20,04/26/13 03:45:00 PM,74193,6.674,,
21,04/26/13 04:00:00 PM,74181,6.775,,
22,04/26/13 04:15:00 PM,74193,6.877,,
23,04/26/13 04:30:00 PM,74193,6.978,,
24,04/26/13 04:45:00 PM,74193,6.978,,
25,04/26/13 05:00:00 PM,74206,7.079,,
26,04/26/13 05:15:00 PM,74194,7.179,,
27,04/26/13 05:30:00 PM,74218,7.280,,
28,04/26/13 05:45:00 PM,74242,7.280,,
29,04/26/13 06:00:00 PM,74254,7.381,,
30,04/26/13 06:15:00 PM,74242,7.381,,
31,04/26/13 06:30:00 PM,74242,7.381,,
32,04/26/13 06:45:00 PM,74278,7.381,,
33,04/26/13 07:00:00 PM,74266,7.381,,
34,04/26/13 07:15:00 PM,74290,7.381,,
35,04/26/13 07:30:00 PM,74302,7.280,,
36,04/26/13 07:45:00 PM,74314,7.179,,
37,04/26/13 08:00:00 PM,74326,7.079,,
38,04/26/13 08:15:00 PM,74350,6.978,,
39,04/26/13 08:30:00 PM,74374,6.775,,
40,04/26/13 08:45:00 PM,74398,6.573,,
41,04/26/13 09:00:00 PM,74422,6.370,,
42,04/26/13 09:15:00 PM,74421,6.268,,
43,04/26/13 09:30:00 PM,74445,6.064,,
44,04/26/13 09:45:00 PM,74469,5.962,,
45,04/26/13 10:00:00 PM,74457,5.757,,
46,04/26/13 10:15:00 PM,74469,5.655,,
47,04/26/13 10:30:00 PM,74493,5.450,,
48,04/26/13 10:45:00 PM,74481,5.347,,
49,04/26/13 11:00:00 PM,74480,5.244,,
50,04/26/13 11:15:00 PM,74468,5.141,,
51,04/26/13 11:30:00 PM,74492,5.037,,
52,04/26/13 11:45:00 PM,74492,4.934,,
53,04/27/13 12:00:00 AM,74480,4.831,,
54,04/27/13 12:15:00 AM,74504,4.727,,
55,04/27/13 12:30:00 AM,74492,4.623,,
56,04/27/13 12:45:00 AM,74468,4.519,,
57,04/27/13 01:00:00 AM,74455,4.415,,
58,04/27/13 01:15:00 AM,74455,4.415,,
59,04/27/13 01:30:00 AM,74443,4.311,,
60,04/27/13 01:45:00 AM,74419,4.207,,
61,04/27/13 02:00:00 AM,74443,4.207,,
62,04/27/13 02:15:00 AM,74419,4.102,,
63,04/27/13 02:30:00 AM,74431,4.102,,
64,04/27/13 02:45:00 AM,74419,3.998,,
65,04/27/13 03:00:00 AM,74407,3.893,,
66,04/27/13 03:15:00 AM,74407,3.788,,
67,04/27/13 03:30:00 AM,74395,3.683,,
68,04/27/13 03:45:00 AM,74407,3.578,,
69,04/27/13 04:00:00 AM,74395,3.578,,
70,04/27/13 04:15:00 AM,74407,3.472,,
71,04/27/13 04:30:00 AM,74407,3.367,,
72,04/27/13 04:45:00 AM,74395,3.367,,
73,04/27/13 05:00:00 AM,74394,3.261,,
74,04/27/13 05:15:00 AM,74406,3.155,,
75,04/27/13 05:30:00 AM,74382,3.155,,
76,04/27/13 05:45:00 AM,74394,3.049,,
77,04/27/13 06:00:00 AM,74394,2.943,,
78,04/27/13 06:15:00 AM,74406,2.943,,
79,04/27/13 06:30:00 AM,74418,2.837,,
80,04/27/13 06:45:00 AM,74442,2.837,,
81,04/27/13 07:00:00 AM,74442,2.730,,
82,04/27/13 07:15:00 AM,74430,2.730,,
83,04/27/13 07:30:00 AM,74418,2.730,,
84,04/27/13 07:45:00 AM,74430,2.837,,
85,04/27/13 08:00:00 AM,74430,2.943,,
86,04/27/13 08:15:00 AM,74431,3.049,,
87,04/27/13 08:30:00 AM,74419,3.261,,
88,04/27/13 08:45:00 AM,74419,3.367,,
89,04/27/13 09:00:00 AM,74419,3.578,,
90,04/27/13 09:15:00 AM,74419,3.683,,
91,04/27/13 09:30:00 AM,74407,3.893,,
92,04/27/13 09:45:00 AM,74395,3.998,,
93,04/27/13 10:00:00 AM,74407,4.102,,
94,04/27/13 10:15:00 AM,74407,4.207,,
95,04/27/13 10:30:00 AM,74419,4.415,,
96,04/27/13 10:45:00 AM,74407,4.623,,
97,04/27/13 11:00:00 AM,74408,4.831,,
98,04/27/13 11:15:00 AM,74408,5.037,,
99,04/27/13 11:30:00 AM,74420,5.141,,
100,04/27/13 11:45:00 AM,74384,5.244,,
101,04/27/13 12:00:00 PM,74408,5.347,,
102,04/27/13 12:15:00 PM,74396,5.450,,
103,04/27/13 12:30:00 PM,74396,5.552,,
104,04/27/13 12:45:00 PM,74372,5.655,,
105,04/27/13 01:00:00 PM,74348,5.655,,
106,04/27/13 01:15:00 PM,74336,5.757,,
107,04/27/13 01:30:00 PM,74336,5.860,,
108,04/27/13 01:45:00 PM,74324,5.860,,
109,04/27/13 02:00:00 PM,74300,5.962,,
110,04/27/13 02:15:00 PM,74301,6.064,,
111,04/27/13 02:30:00 PM,74301,6.166,,
112,04/27/13 02:45:00 PM,74277,6.268,,
113,04/27/13 03:00:00 PM,74253,6.370,,
114,04/27/13 03:15:00 PM,74241,6.370,,
115,04/27/13 03:30:00 PM,74229,6.370,,
116,04/27/13 03:45:00 PM,74253,6.471,,
117,04/27/13 04:00:00 PM,74217,6.471,,
118,04/27/13 04:15:00 PM,74193,6.573,,
119,04/27/13 04:30:00 PM,74181,6.573,,
120,04/27/13 04:45:00 PM,74169,6.573,,
121,04/27/13 05:00:00 PM,74169,6.674,,
122,04/27/13 05:15:00 PM,74181,6.674,,
123,04/27/13 05:30:00 PM,74181,6.775,,
124,04/27/13 05:45:00 PM,74169,6.775,,
125,04/27/13 06:00:00 PM,74205,6.877,,
126,04/27/13 06:15:00 PM,74193,6.877,,
127,04/27/13 06:30:00 PM,74193,6.978,,
128,04/27/13 06:45:00 PM,74193,6.978,,
129,04/27/13 07:00:00 PM,74193,6.978,,
130,04/27/13 07:15:00 PM,74193,6.978,,
131,04/27/13 07:30:00 PM,74193,6.978,,
132,04/27/13 07:45:00 PM,74193,6.877,,
133,04/27/13 08:00:00 PM,74193,6.775,,
134,04/27/13 08:15:00 PM,74205,6.674,,
135,04/27/13 08:30:00 PM,74217,6.573,,
136,04/27/13 08:45:00 PM,74229,6.370,,
137,04/27/13 09:00:00 PM,74216,6.268,,
138,04/27/13 09:15:00 PM,74240,6.064,,
139,04/27/13 09:30:00 PM,74264,5.962,,
140,04/27/13 09:45:00 PM,74264,5.860,,
141,04/27/13 10:00:00 PM,74264,5.655,,
142,04/27/13 10:15:00 PM,74264,5.552,,
143,04/27/13 10:30:00 PM,74276,5.450,,
144,04/27/13 10:45:00 PM,74263,5.244,,
145,04/27/13 11:00:00 PM,74251,5.141,,
146,04/27/13 11:15:00 PM,74275,5.037,,
147,04/27/13 11:30:00 PM,74263,4.934,,
148,04/27/13 11:45:00 PM,74275,4.831,,
149,04/28/13 12:00:00 AM,74251,4.727,,
150,04/28/13 12:15:00 AM,74239,4.623,,
151,04/28/13 12:30:00 AM,74239,4.519,,
152,04/28/13 12:45:00 AM,74239,4.415,,
153,04/28/13 01:00:00 AM,74226,4.415,,
154,04/28/13 01:15:00 AM,74214,4.311,,
155,04/28/13 01:30:00 AM,74226,4.311,,
156,04/28/13 01:45:00 AM,74226,4.207,,
157,04/28/13 02:00:00 AM,74166,4.207,,
158,04/28/13 02:15:00 AM,74166,4.102,,
159,04/28/13 02:30:00 AM,74166,4.102,,
160,04/28/13 02:45:00 AM,74154,3.998,,
161,04/28/13 03:00:00 AM,74142,3.893,,
162,04/28/13 03:15:00 AM,74130,3.893,,
163,04/28/13 03:30:00 AM,74142,3.788,,
164,04/28/13 03:45:00 AM,74130,3.683,,
165,04/28/13 04:00:00 AM,74118,3.683,,
166,04/28/13 04:15:00 AM,74117,3.578,,
167,04/28/13 04:30:00 AM,74093,3.472,,
168,04/28/13 04:45:00 AM,74105,3.472,,
169,04/28/13 05:00:00 AM,74093,3.367,,
170,04/28/13 05:15:00 AM,74081,3.367,,
171,04/28/13 05:30:00 AM,74093,3.261,,
172,04/28/13 05:45:00 AM,74081,3.261,,
173,04/28/13 06:00:00 AM,74081,3.155,,
174,04/28/13 06:15:00 AM,74093,3.049,,
