"Plot Title: 9811663 W Jaram 20140623-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Batt, V (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","Coupler Attached (LGR S/N: 9811663)","Stopped (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,06/23/14 01:00:00 PM,74126,16.713,3.54,Logged,,,
2,06/23/14 01:15:00 PM,74125,16.523,3.54,,,,
3,06/23/14 01:30:00 PM,74112,16.427,3.57,,,,
4,06/23/14 01:45:00 PM,74076,16.427,3.57,,,,
5,06/23/14 02:00:00 PM,74064,16.427,3.57,,,,
6,06/23/14 02:15:00 PM,74076,16.427,3.57,,,,
7,06/23/14 02:30:00 PM,74052,16.523,3.57,,,,
8,06/23/14 02:45:00 PM,74052,16.523,3.57,,,,
9,06/23/14 03:00:00 PM,74052,16.427,3.57,,,,
10,06/23/14 03:15:00 PM,74027,16.332,3.57,,,,
11,06/23/14 03:30:00 PM,74027,16.332,3.57,,,,
12,06/23/14 03:45:00 PM,74003,16.237,3.57,,,,
13,06/23/14 04:00:00 PM,74003,16.237,3.57,,,,
14,06/23/14 04:15:00 PM,73979,16.332,3.57,,,,
15,06/23/14 04:30:00 PM,73967,16.332,3.57,,,,
16,06/23/14 04:45:00 PM,73943,16.332,3.57,,,,
17,06/23/14 05:00:00 PM,73919,16.332,3.57,,,,
18,06/23/14 05:15:00 PM,73931,16.332,3.57,,,,
19,06/23/14 05:30:00 PM,73919,16.332,3.57,,,,
20,06/23/14 05:45:00 PM,73907,16.332,3.57,,,,
21,06/23/14 06:00:00 PM,73870,16.332,3.57,,,,
22,06/23/14 06:15:00 PM,73882,16.332,3.57,,,,
23,06/23/14 06:30:00 PM,73882,16.332,3.57,,,,
24,06/23/14 06:45:00 PM,73894,16.237,3.57,,,,
25,06/23/14 07:00:00 PM,73906,16.141,3.57,,,,
26,06/23/14 07:15:00 PM,73918,16.141,3.57,,,,
27,06/23/14 07:30:00 PM,73917,16.046,3.57,,,,
28,06/23/14 07:45:00 PM,73941,15.951,3.57,,,,
29,06/23/14 08:00:00 PM,73940,15.760,3.57,,,,
30,06/23/14 08:15:00 PM,73952,15.664,3.57,,,,
31,06/23/14 08:30:00 PM,73963,15.473,3.57,,,,
32,06/23/14 08:45:00 PM,73974,15.187,3.57,,,,
33,06/23/14 09:00:00 PM,73986,14.996,3.60,,,,
34,06/23/14 09:15:00 PM,74022,14.900,3.60,,,,
35,06/23/14 09:30:00 PM,74033,14.709,3.57,,,,
36,06/23/14 09:45:00 PM,74057,14.613,3.57,,,,
37,06/23/14 10:00:00 PM,74080,14.517,3.57,,,,
38,06/23/14 10:15:00 PM,74080,14.421,3.57,,,,
39,06/23/14 10:30:00 PM,74128,14.325,3.57,,,,
40,06/23/14 10:45:00 PM,74128,14.230,3.57,,,,
41,06/23/14 11:00:00 PM,74115,14.134,3.57,,,,
42,06/23/14 11:15:00 PM,74115,14.038,3.57,,,,
43,06/23/14 11:30:00 PM,74103,13.942,3.57,,,,
44,06/23/14 11:45:00 PM,74126,13.846,3.57,,,,
45,06/24/14 12:00:00 AM,74102,13.654,3.57,,,,
46,06/24/14 12:15:00 AM,74137,13.558,3.57,,,,
47,06/24/14 12:30:00 AM,74137,13.461,3.57,,,,
48,06/24/14 12:45:00 AM,74113,13.365,3.57,,,,
49,06/24/14 01:00:00 AM,74124,13.269,3.57,,,,
50,06/24/14 01:15:00 AM,74124,13.173,3.57,,,,
51,06/24/14 01:30:00 AM,74124,13.173,3.57,,,,
52,06/24/14 01:45:00 AM,74148,13.173,3.57,,,,
53,06/24/14 02:00:00 AM,74148,13.076,3.57,,,,
54,06/24/14 02:15:00 AM,74160,12.980,3.57,,,,
55,06/24/14 02:30:00 AM,74148,12.980,3.57,,,,
56,06/24/14 02:45:00 AM,74147,12.883,3.57,,,,
57,06/24/14 03:00:00 AM,74135,12.787,3.57,,,,
58,06/24/14 03:15:00 AM,74135,12.787,3.57,,,,
59,06/24/14 03:30:00 AM,74135,12.690,3.57,,,,
60,06/24/14 03:45:00 AM,74134,12.594,3.57,,,,
61,06/24/14 04:00:00 AM,74146,12.497,3.57,,,,
62,06/24/14 04:15:00 AM,74157,12.304,3.57,,,,
63,06/24/14 04:30:00 AM,74145,12.110,3.57,,,,
64,06/24/14 04:45:00 AM,74168,11.916,3.57,,,,
65,06/24/14 05:00:00 AM,74168,11.819,3.57,,,,
66,06/24/14 05:15:00 AM,74180,11.625,3.57,,,,
67,06/24/14 05:30:00 AM,74179,11.431,3.57,,,,
68,06/24/14 05:45:00 AM,74191,11.334,3.57,,,,
69,06/24/14 06:00:00 AM,74191,11.236,3.57,,,,
70,06/24/14 06:15:00 AM,74178,11.139,3.57,,,,
71,06/24/14 06:30:00 AM,74226,11.041,3.57,,,,
72,06/24/14 06:45:00 AM,74226,10.944,3.57,,,,
73,06/24/14 07:00:00 AM,74238,10.944,3.57,,,,
74,06/24/14 07:15:00 AM,74226,11.041,3.57,,,,
75,06/24/14 07:30:00 AM,74251,11.139,3.57,,,,
76,06/24/14 07:45:00 AM,74263,11.334,3.57,,,,
77,06/24/14 08:00:00 AM,74252,11.528,3.57,,,,
78,06/24/14 08:15:00 AM,74240,11.722,3.57,,,,
79,06/24/14 08:30:00 AM,74265,12.013,3.57,,,,
80,06/24/14 08:45:00 AM,74278,12.207,3.57,,,,
81,06/24/14 09:00:00 AM,74278,12.401,3.57,,,,
82,06/24/14 09:15:00 AM,74279,12.594,3.57,,,,
83,06/24/14 09:30:00 AM,74292,12.787,3.57,,,,
84,06/24/14 09:45:00 AM,74280,12.980,3.57,,,,
85,06/24/14 10:00:00 AM,74281,13.076,3.57,,,,
86,06/24/14 10:15:00 AM,74269,13.269,3.57,,,,
87,06/24/14 10:30:00 AM,74282,13.461,3.57,,,,
88,06/24/14 10:45:00 AM,74282,13.558,3.57,,,,
89,06/24/14 11:00:00 AM,74283,13.750,3.57,,,,
90,06/24/14 11:15:00 AM,74272,13.942,3.57,,,,
91,06/24/14 11:30:00 AM,74272,14.134,3.57,,,,
92,06/24/14 11:45:00 AM,74285,14.325,3.57,,,,
93,06/24/14 12:00:00 PM,74262,14.517,3.57,,,,
94,06/24/14 12:15:00 PM,74262,14.709,3.57,,,,
95,06/24/14 12:30:00 PM,74288,14.996,3.57,,,,
96,06/24/14 12:45:00 PM,74240,15.187,3.57,,,,
97,06/24/14 01:00:00 PM,74229,15.473,3.57,,,,
98,06/24/14 01:15:00 PM,74230,15.664,3.57,,,,
99,06/24/14 01:30:00 PM,74219,15.855,3.57,,,,
100,06/24/14 01:45:00 PM,74207,16.046,3.57,,,,
101,06/24/14 02:00:00 PM,74208,16.237,3.57,,,,
102,06/24/14 02:15:00 PM,74185,16.427,3.57,,,,
103,06/24/14 02:30:00 PM,74149,16.618,3.57,,,,
104,06/24/14 02:45:00 PM,74114,16.808,3.57,,,,
105,06/24/14 03:00:00 PM,74102,16.903,3.57,,,,
106,06/24/14 03:15:00 PM,74103,17.094,3.57,,,,
107,06/24/14 03:30:00 PM,74067,17.189,3.57,,,,
108,06/24/14 03:45:00 PM,74080,17.379,3.57,,,,
109,06/24/14 04:00:00 PM,74045,17.475,3.57,,,,
110,06/24/14 04:15:00 PM,74045,17.570,3.57,,,,
111,06/24/14 04:30:00 PM,74033,17.665,3.57,,,,
112,06/24/14 04:45:00 PM,74021,17.665,3.57,,,,
113,06/24/14 05:00:00 PM,74009,17.665,3.57,,,,
114,06/24/14 05:15:00 PM,74010,17.760,3.57,,,,
115,06/24/14 05:30:00 PM,73961,17.760,3.57,,,,
116,06/24/14 05:45:00 PM,73950,17.855,3.57,,,,
117,06/24/14 06:00:00 PM,73950,17.855,3.57,,,,
118,06/24/14 06:15:00 PM,73937,17.760,3.57,,,,
119,06/24/14 06:30:00 PM,73912,17.665,3.57,,,,
120,06/24/14 06:45:00 PM,73937,17.665,3.57,,,,
121,06/24/14 07:00:00 PM,73925,17.665,3.57,,,,
122,06/24/14 07:15:00 PM,73912,17.570,3.57,,,,
123,06/24/14 07:30:00 PM,73936,17.475,3.57,,,,
124,06/24/14 07:45:00 PM,73923,17.284,3.57,,,,
125,06/24/14 08:00:00 PM,73922,17.094,3.57,,,,
126,06/24/14 08:15:00 PM,73945,16.808,3.57,,,,
127,06/24/14 08:30:00 PM,73931,16.427,3.57,,,,
128,06/24/14 08:45:00 PM,73906,16.141,3.57,,,,
129,06/24/14 09:00:00 PM,73928,15.760,3.57,,,,
130,06/24/14 09:15:00 PM,73927,15.473,3.57,,,,
131,06/24/14 09:30:00 PM,73938,15.187,3.57,,,,
132,06/24/14 09:45:00 PM,73973,14.900,3.60,,,,
133,06/24/14 10:00:00 PM,73984,14.613,3.60,,,,
134,06/24/14 10:15:00 PM,73995,14.325,3.57,,,,
135,06/24/14 10:30:00 PM,74019,14.134,3.57,,,,
136,06/24/14 10:45:00 PM,74030,13.846,3.57,,,,
137,06/24/14 11:00:00 PM,74017,13.654,3.57,,,,
138,06/24/14 11:15:00 PM,74004,13.461,3.57,,,,
139,06/24/14 11:30:00 PM,74028,13.269,3.57,,,,
140,06/24/14 11:45:00 PM,74015,13.076,3.57,,,,
141,06/25/14 12:00:00 AM,74039,12.883,3.57,,,,
142,06/25/14 12:15:00 AM,74014,12.787,3.57,,,,
143,06/25/14 12:30:00 AM,74001,12.594,3.57,,,,
144,06/25/14 12:45:00 AM,74025,12.497,3.57,,,,
145,06/25/14 01:00:00 AM,74025,12.304,3.57,,,,
146,06/25/14 01:15:00 AM,74012,12.110,3.57,,,,
147,06/25/14 01:30:00 AM,74024,12.013,3.57,,,,
