"Plot Title: 9811663 W Jaram 20140916-2014"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Batt, V (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","Coupler Attached (LGR S/N: 9811663)","Stopped (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,09/16/14 02:00:00 PM,74687,11.819,3.54,Logged,,,
2,09/16/14 02:15:00 PM,74650,11.625,3.54,,,,
3,09/16/14 02:30:00 PM,74651,11.722,3.54,,,,
4,09/16/14 02:45:00 PM,74663,11.722,3.54,,,,
5,09/16/14 03:00:00 PM,74639,11.819,3.54,,,,
6,09/16/14 03:15:00 PM,74735,11.819,3.54,,,,
7,09/16/14 03:30:00 PM,74856,11.819,3.54,,,,
8,09/16/14 03:45:00 PM,74856,11.819,3.57,,,,
9,09/16/14 04:00:00 PM,74832,11.916,3.57,,,,
10,09/16/14 04:15:00 PM,74808,11.916,3.57,,,,
11,09/16/14 04:30:00 PM,74748,12.013,3.57,,,,
12,09/16/14 04:45:00 PM,74712,12.013,3.57,,,,
13,09/16/14 05:00:00 PM,74688,12.110,3.57,,,,
14,09/16/14 05:15:00 PM,74664,12.207,3.57,,,,
15,09/16/14 05:30:00 PM,74640,12.207,3.57,,,,
16,09/16/14 05:45:00 PM,74628,12.304,3.57,,,,
17,09/16/14 06:00:00 PM,74640,12.304,3.57,,,,
18,09/16/14 06:15:00 PM,74617,12.401,3.57,,,,
19,09/16/14 06:30:00 PM,74629,12.401,3.57,,,,
20,09/16/14 06:45:00 PM,74604,12.401,3.57,,,,
21,09/16/14 07:00:00 PM,74604,12.401,3.57,,,,
22,09/16/14 07:15:00 PM,74604,12.401,3.57,,,,
23,09/16/14 07:30:00 PM,74604,12.401,3.57,,,,
24,09/16/14 07:45:00 PM,74604,12.401,3.57,,,,
