"Plot Title: W Jaram 9811663 20150401-2015"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","Coupler Attached (LGR S/N: 9811663)","Stopped (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,04/01/15 09:30:00 AM,75756,2.195,Logged,,,
2,04/01/15 09:45:00 AM,75756,2.195,,,,
3,04/01/15 10:00:00 AM,75768,2.303,,,,
4,04/01/15 10:15:00 AM,75780,2.410,,,,
5,04/01/15 10:30:00 AM,75780,2.517,,,,
6,04/01/15 10:45:00 AM,75756,2.730,,,,
7,04/01/15 11:00:00 AM,75732,2.837,,,,
8,04/01/15 11:15:00 AM,75756,3.155,,,,
9,04/01/15 11:30:00 AM,75744,3.261,,,,
10,04/01/15 11:45:00 AM,75696,3.578,,,,
11,04/01/15 12:00:00 PM,75696,3.788,,,,
12,04/01/15 12:15:00 PM,75685,3.998,,,,
13,04/01/15 12:30:00 PM,75685,4.207,,,,
14,04/01/15 12:45:00 PM,75661,4.519,,,,
15,04/01/15 01:00:00 PM,75649,4.727,,,,
16,04/01/15 01:15:00 PM,75637,4.934,,,,
17,04/01/15 01:30:00 PM,75602,5.244,,,,
18,04/01/15 01:45:00 PM,75614,5.552,,,,
19,04/01/15 02:00:00 PM,75614,5.757,,,,
20,04/01/15 02:15:00 PM,75627,5.962,,,,
21,04/01/15 02:30:00 PM,75639,6.268,,,,
22,04/01/15 02:45:00 PM,75591,6.471,,,,
23,04/01/15 03:00:00 PM,75652,6.674,,,,
24,04/01/15 03:15:00 PM,75628,6.775,,,,
25,04/01/15 03:30:00 PM,75628,6.877,,,,
26,04/01/15 03:45:00 PM,75653,6.978,,,,
27,04/01/15 04:00:00 PM,75677,7.079,,,,
28,04/01/15 04:15:00 PM,75653,7.179,,,,
29,04/01/15 04:30:00 PM,75665,7.280,,,,
30,04/01/15 04:45:00 PM,75653,7.179,,,,
31,04/01/15 05:00:00 PM,75689,7.179,,,,
32,04/01/15 05:15:00 PM,75725,7.179,,,,
33,04/01/15 05:30:00 PM,75701,7.079,,,,
34,04/01/15 05:45:00 PM,75701,7.079,,,,
35,04/01/15 06:00:00 PM,75689,7.079,,,,
36,04/01/15 06:15:00 PM,75701,6.978,,,,
37,04/01/15 06:30:00 PM,75665,6.978,,,,
38,04/01/15 06:45:00 PM,75689,6.877,,,,
39,04/01/15 07:00:00 PM,75761,6.877,,,,
40,04/01/15 07:15:00 PM,75688,6.674,,,,
41,04/01/15 07:30:00 PM,75676,6.573,,,,
42,04/01/15 07:45:00 PM,75821,6.471,,,,
43,04/01/15 08:00:00 PM,75688,6.370,,,,
44,04/01/15 08:15:00 PM,75700,6.268,,,,
45,04/01/15 08:30:00 PM,75724,6.166,,,,
46,04/01/15 08:45:00 PM,75723,6.064,,,,
47,04/01/15 09:00:00 PM,75711,5.860,,,,
