"Plot Title: W Jaram 9811663 20170509"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)","Coupler Detached (LGR S/N: 9811663)","Coupler Attached (LGR S/N: 9811663)","Stopped (LGR S/N: 9811663)","End Of File (LGR S/N: 9811663)"
1,08/28/17 04:30:00 PM,73925,22.333,Logged,,,
2,08/28/17 04:45:00 PM,74906,15.569,,,,
3,08/28/17 05:00:00 PM,74930,15.378,,,,
4,08/28/17 05:15:00 PM,74917,15.282,,,,
5,08/28/17 05:30:00 PM,74905,15.187,,,,
6,08/28/17 05:45:00 PM,74917,15.187,,,,
7,08/28/17 06:00:00 PM,74917,15.187,,,,
8,08/28/17 06:15:00 PM,74916,15.091,,,,
9,08/28/17 06:30:00 PM,74940,15.091,,,,
10,08/28/17 06:45:00 PM,74940,15.091,,,,
11,08/28/17 07:00:00 PM,75001,15.091,,,,
12,08/28/17 07:15:00 PM,75073,14.996,,,,
13,08/28/17 07:30:00 PM,75085,14.900,,,,
14,08/28/17 07:45:00 PM,75036,14.900,,,,
15,08/28/17 08:00:00 PM,74988,14.804,,,,
16,08/28/17 08:15:00 PM,75011,14.709,,,,
17,08/28/17 08:30:00 PM,75023,14.613,,,,
18,08/28/17 08:45:00 PM,75071,14.517,,,,
19,08/28/17 09:00:00 PM,75131,14.421,,,,
20,08/28/17 09:15:00 PM,75155,14.325,,,,
21,08/28/17 09:30:00 PM,75167,14.325,,,,
22,08/28/17 09:45:00 PM,75142,14.230,,,,
23,08/28/17 10:00:00 PM,75142,14.134,,,,
24,08/28/17 10:15:00 PM,75142,14.038,,,,
25,08/28/17 10:30:00 PM,75153,13.942,,,,
26,08/28/17 10:45:00 PM,75189,13.846,,,,
27,08/28/17 11:00:00 PM,75177,13.750,,,,
28,08/28/17 11:15:00 PM,75176,13.654,,,,
29,08/28/17 11:30:00 PM,75152,13.654,,,,
30,08/28/17 11:45:00 PM,75188,13.558,,,,
31,08/29/17 12:00:00 AM,75200,13.461,,,,
32,08/29/17 12:15:00 AM,75175,13.365,,,,
33,08/29/17 12:30:00 AM,75151,13.269,,,,
34,08/29/17 12:45:00 AM,75175,13.173,,,,
35,08/29/17 01:00:00 AM,75186,13.076,,,,
36,08/29/17 01:15:00 AM,75186,12.980,,,,
37,08/29/17 01:30:00 AM,75174,12.980,,,,
38,08/29/17 01:45:00 AM,75185,12.787,,,,
39,08/29/17 02:00:00 AM,75161,12.787,,,,
40,08/29/17 02:15:00 AM,75149,12.690,,,,
41,08/29/17 02:30:00 AM,75136,12.594,,,,
42,08/29/17 02:45:00 AM,75160,12.497,,,,
43,08/29/17 03:00:00 AM,75136,12.401,,,,
44,08/29/17 03:15:00 AM,75135,12.304,,,,
45,08/29/17 03:30:00 AM,75123,12.207,,,,
46,08/29/17 03:45:00 AM,75123,12.110,,,,
47,08/29/17 04:00:00 AM,75134,12.013,,,,
48,08/29/17 04:15:00 AM,75110,12.013,,,,
49,08/29/17 04:30:00 AM,75122,11.916,,,,
50,08/29/17 04:45:00 AM,75122,11.819,,,,
51,08/29/17 05:00:00 AM,75134,11.722,,,,
52,08/29/17 05:15:00 AM,75133,11.625,,,,
53,08/29/17 05:30:00 AM,75169,11.625,,,,
54,08/29/17 05:45:00 AM,75157,11.431,,,,
55,08/29/17 06:00:00 AM,75144,11.334,,,,
56,08/29/17 06:15:00 AM,75156,11.334,,,,
57,08/29/17 06:30:00 AM,75156,11.236,,,,
58,08/29/17 06:45:00 AM,75168,11.139,,,,
59,08/29/17 07:00:00 AM,75156,11.041,,,,
60,08/29/17 07:15:00 AM,75131,11.041,,,,
61,08/29/17 07:30:00 AM,75143,10.944,,,,
62,08/29/17 07:45:00 AM,75155,10.944,,,,
63,08/29/17 08:00:00 AM,75179,10.944,,,,
64,08/29/17 08:15:00 AM,75179,10.944,,,,
65,08/29/17 08:30:00 AM,75180,11.041,,,,
66,08/29/17 08:45:00 AM,75168,11.041,,,,
67,08/29/17 09:00:00 AM,75156,11.139,,,,
68,08/29/17 09:15:00 AM,75156,11.139,,,,
69,08/29/17 09:30:00 AM,75180,11.236,,,,
70,08/29/17 09:45:00 AM,75181,11.334,,,,
71,08/29/17 10:00:00 AM,75181,11.334,,,,
72,08/29/17 10:15:00 AM,75193,11.431,,,,
73,08/29/17 10:30:00 AM,75181,11.528,,,,
74,08/29/17 10:45:00 AM,75194,11.625,,,,
75,08/29/17 11:00:00 AM,75182,11.722,,,,
76,08/29/17 11:15:00 AM,75170,11.819,,,,
77,08/29/17 11:30:00 AM,75171,12.013,,,,
78,08/29/17 11:45:00 AM,75147,12.110,,,,
79,08/29/17 12:00:00 PM,75135,12.207,,,,
80,08/29/17 12:15:00 PM,75123,12.304,,,,
81,08/29/17 12:30:00 PM,75088,12.497,,,,
82,08/29/17 12:45:00 PM,75100,12.594,,,,
83,08/29/17 01:00:00 PM,75089,12.787,,,,
84,08/29/17 01:15:00 PM,75065,12.883,,,,
85,08/29/17 01:30:00 PM,75029,13.076,,,,
86,08/29/17 01:45:00 PM,75006,13.173,,,,
87,08/29/17 02:00:00 PM,75018,13.365,,,,
88,08/29/17 02:15:00 PM,74995,13.461,,,,
89,08/29/17 02:30:00 PM,74947,13.654,,,,
90,08/29/17 02:45:00 PM,74959,13.750,,,,
91,08/29/17 03:00:00 PM,74972,13.846,,,,
92,08/29/17 03:15:00 PM,74924,13.942,,,,
