Plot Title: 1153412,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1153412, SEN S/N: 1153412)","Temp, °C (LGR S/N: 1153412, SEN S/N: 1153412)","Batt, V (LGR S/N: 1153412, SEN S/N: 1153412)",Coupler Detached (LGR S/N: 1153412),Coupler Attached (LGR S/N: 1153412),Stopped (LGR S/N: 1153412),End Of File (LGR S/N: 1153412)
1,10/6/2009,10:00:00,74684,6.978,3.46,Logged,,,
2,10/6/2009,10:30:00,74683,7.079,3.46,,,,
3,10/6/2009,11:00:00,74699,7.079,3.48,,,,
4,10/6/2009,11:30:00,74652,7.079,3.48,,,,
5,10/6/2009,12:00:00,74636,7.079,3.48,,,,
6,10/6/2009,12:30:00,74650,7.179,3.48,,,,
7,10/6/2009,13:00:00,74603,7.179,3.48,,,,
8,10/6/2009,13:30:00,74602,7.28,3.48,,,,
9,10/6/2009,14:00:00,74586,7.28,3.48,,,,
10,10/6/2009,14:30:00,74585,7.381,3.48,,,,
11,10/6/2009,15:00:00,74601,7.381,3.48,,,,
12,10/6/2009,15:30:00,74615,7.481,3.48,,,,
13,10/6/2009,16:00:00,74631,7.481,3.48,,,,
14,10/6/2009,16:30:00,74646,7.481,3.48,,,,
15,10/6/2009,17:00:00,74646,7.481,3.48,,,,
16,10/6/2009,17:30:00,74662,7.481,3.48,,,,
17,10/6/2009,18:00:00,74663,7.381,3.48,,,,
18,10/6/2009,18:30:00,74695,7.381,3.48,,,,
19,10/6/2009,19:00:00,74710,7.381,3.48,,,,
20,10/6/2009,19:30:00,74727,7.28,3.48,,,,
21,10/6/2009,20:00:00,74743,7.28,3.48,,,,
22,10/6/2009,20:30:00,74743,7.28,3.48,,,,
23,10/6/2009,21:00:00,74744,7.179,3.48,,,,
24,10/6/2009,21:30:00,74729,7.179,3.48,,,,
25,10/6/2009,22:00:00,74729,7.179,3.48,,,,
26,10/6/2009,22:30:00,74729,7.179,3.48,,,,
27,10/6/2009,23:00:00,74729,7.179,3.48,,,,
28,10/6/2009,23:30:00,74699,7.079,3.48,,,,
29,10/7/2009,0:00:00,74667,7.079,3.48,,,,
30,10/7/2009,0:30:00,74683,7.079,3.48,,,,
31,10/7/2009,1:00:00,74730,7.079,3.48,,,,
32,10/7/2009,1:30:00,74699,7.079,3.48,,,,
33,10/7/2009,2:00:00,74730,7.079,3.48,,,,
34,10/7/2009,2:30:00,74700,6.978,3.48,,,,
35,10/7/2009,3:00:00,74653,6.978,3.48,,,,
36,10/7/2009,3:30:00,74669,6.978,3.48,,,,
37,10/7/2009,4:00:00,74653,6.978,3.48,,,,
38,10/7/2009,4:30:00,74622,6.978,3.48,,,,
39,10/7/2009,5:00:00,74623,6.877,3.48,,,,
40,10/7/2009,5:30:00,74701,6.877,3.48,,,,
41,10/7/2009,6:00:00,74623,6.877,3.48,,,,
42,10/7/2009,6:30:00,74654,6.877,3.48,,,,
43,10/7/2009,7:00:00,74654,6.877,3.48,,,,
44,10/7/2009,7:30:00,74686,6.877,3.48,,,,
45,10/7/2009,8:00:00,74686,6.877,3.48,,,,
46,10/7/2009,8:30:00,74654,6.877,3.48,,,,
47,10/7/2009,9:00:00,74686,6.877,3.48,,,,
48,10/7/2009,9:30:00,74670,6.877,3.48,,,,
49,10/7/2009,10:00:00,74701,6.877,3.48,,,,
50,10/7/2009,10:30:00,74653,6.978,3.48,,,,
51,10/7/2009,11:00:00,74622,6.978,3.48,,,,
52,10/7/2009,11:30:00,74606,6.978,3.48,,,,
53,10/7/2009,12:00:00,74575,6.978,3.48,,,,
54,10/7/2009,12:30:00,74526,7.079,3.48,,,,
55,10/7/2009,13:00:00,74480,7.079,3.48,,,,
56,10/7/2009,13:30:00,74463,7.179,3.48,,,,
57,10/7/2009,14:00:00,74431,7.179,3.48,,,,
58,10/7/2009,14:30:00,74399,7.28,3.48,,,,
59,10/7/2009,15:00:00,74399,7.28,3.48,,,,
60,10/7/2009,15:30:00,74382,7.381,3.48,,,,
61,10/7/2009,16:00:00,74335,7.381,3.48,,,,
62,10/7/2009,16:30:00,74319,7.381,3.48,,,,
