Plot Title: LaJara2,,,,,,,,
#,"Date Time, GMT+00:00","Date Time, GMT+00:00","Abs Pres, Pa (LGR S/N: 9991863, SEN S/N: 9991863)","Temp, °C (LGR S/N: 9991863, SEN S/N: 9991863)",Coupler Detached (LGR S/N: 9991863),Coupler Attached (LGR S/N: 9991863),Stopped (LGR S/N: 9991863),End Of File (LGR S/N: 9991863)
1,4/24/2012,14:00:00,81075,20.424,Logged,,,
2,4/24/2012,14:30:00,81073,19.472,,,,
3,4/24/2012,15:00:00,81059,19.282,,,,
4,4/24/2012,15:30:00,81036,19.377,,,,
5,4/24/2012,16:00:00,81015,19.567,,,,
6,4/24/2012,16:30:00,80996,19.853,,,,
7,4/24/2012,17:00:00,80976,20.138,,,,
8,4/24/2012,17:30:00,80968,20.424,,,,
9,4/24/2012,18:00:00,80974,20.805,,,,
10,4/24/2012,18:30:00,80908,21.187,,,,
11,4/24/2012,19:00:00,80914,21.569,,,,
12,4/24/2012,19:30:00,80884,21.951,,,,
13,4/24/2012,20:00:00,80830,22.333,,,,
14,4/24/2012,20:30:00,80812,22.717,,,,
15,4/24/2012,21:00:00,80770,23.1,,,,
16,4/24/2012,21:30:00,80739,23.388,,,,
17,4/24/2012,22:00:00,80696,23.677,,,,
18,4/24/2012,22:30:00,80681,24.255,,,,
19,4/24/2012,23:00:00,80651,24.641,,,,
20,4/24/2012,23:30:00,80656,24.931,,,,
21,4/25/2012,0:00:00,80611,25.125,,,,
22,4/25/2012,0:30:00,80613,25.222,,,,
23,4/25/2012,1:00:00,80625,25.222,,,,
24,4/25/2012,1:30:00,80614,25.319,,,,
25,4/25/2012,2:00:00,80649,25.222,,,,
26,4/25/2012,2:30:00,80668,24.931,,,,
27,4/25/2012,3:00:00,80708,24.448,,,,
28,4/25/2012,3:30:00,80721,23.773,,,,
29,4/25/2012,4:00:00,80743,22.908,,,,
30,4/25/2012,4:30:00,80757,22.238,,,,
31,4/25/2012,5:00:00,80772,21.664,,,,
32,4/25/2012,5:30:00,80818,21.569,,,,
33,4/25/2012,6:00:00,80851,21.378,,,,
34,4/25/2012,6:30:00,80862,21.282,,,,
35,4/25/2012,7:00:00,80847,21.091,,,,
36,4/25/2012,7:30:00,80867,20.805,,,,
37,4/25/2012,8:00:00,80815,20.519,,,,
38,4/25/2012,8:30:00,80812,20.329,,,,
39,4/25/2012,9:00:00,80784,20.043,,,,
40,4/25/2012,9:30:00,80817,19.853,,,,
41,4/25/2012,10:00:00,80849,19.567,,,,
42,4/25/2012,10:30:00,80858,19.377,,,,
43,4/25/2012,11:00:00,80842,19.092,,,,
44,4/25/2012,11:30:00,80838,18.806,,,,
45,4/25/2012,12:00:00,80847,18.616,,,,
46,4/25/2012,12:30:00,80810,18.521,,,,
47,4/25/2012,13:00:00,80858,18.521,,,,
48,4/25/2012,13:30:00,80953,18.521,,,,
49,4/25/2012,14:00:00,80944,18.711,,,,
50,4/25/2012,14:30:00,80912,18.996,,,,
51,4/25/2012,15:00:00,80943,19.472,,,,
52,4/25/2012,15:30:00,80926,19.948,,,,
53,4/25/2012,16:00:00,80932,20.424,,,,
