Plot Title: 1208164,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Temp, °C (LGR S/N: 1208164, SEN S/N: 1208164)","Intensity, Lux (LGR S/N: 1208164, SEN S/N: 1208164)","Batt, V (LGR S/N: 1208164, SEN S/N: 1208164)",End Of File (LGR S/N: 1208164)
1,7/6/2010,14:00:00,14.23,209423.6,3.27,
2,7/6/2010,17:00:00,9.669,15155.7,3.22,
3,7/6/2010,20:00:00,8.182,107.6,3.22,
4,7/6/2010,23:00:00,7.582,0,3.19,
5,7/7/2010,2:00:00,6.978,0,3.17,
6,7/7/2010,5:00:00,6.471,0,3.14,
7,7/7/2010,8:00:00,6.674,1119.5,3.14,
8,7/7/2010,11:00:00,9.866,16533.4,3.12,
9,7/7/2010,14:00:00,7.481,1248.6,3.12,
10,7/7/2010,17:00:00,7.682,538.2,3.12,
11,7/7/2010,20:00:00,7.28,549,3.1,
12,7/7/2010,23:00:00,6.573,0,3.1,
13,7/8/2010,2:00:00,6.37,0,3.08,
14,7/8/2010,5:00:00,5.962,0,3.08,
15,7/8/2010,8:00:00,6.166,1377.8,3.08,
16,7/8/2010,11:00:00,8.481,52355.9,3.08,
17,7/8/2010,14:00:00,11.139,10677.8,3.08,
18,7/8/2010,17:00:00,8.879,4477.8,3.08,
19,7/8/2010,20:00:00,8.182,118.4,3.08,
20,7/8/2010,23:00:00,7.782,0,3.05,
21,7/9/2010,2:00:00,7.381,0,3.05,
22,7/9/2010,5:00:00,7.079,0,3.05,
23,7/9/2010,8:00:00,6.978,1280.9,3.03,
24,7/9/2010,11:00:00,9.176,85422.8,3.05,
25,7/9/2010,14:00:00,8.879,2927.8,3.05,
26,7/9/2010,17:00:00,8.978,3788.9,3.03,
27,7/9/2010,20:00:00,8.282,75.3,3.03,
28,7/9/2010,23:00:00,7.782,0,3.03,
29,7/10/2010,2:00:00,7.582,0,3.03,
30,7/10/2010,5:00:00,7.28,0,3.01,
31,7/10/2010,8:00:00,7.28,1334.7,3.01,
32,7/10/2010,11:00:00,8.282,7577.8,3.01,
33,7/10/2010,14:00:00,13.846,88178.4,3.01,
34,7/10/2010,17:00:00,9.866,3961.1,3.01,
35,7/10/2010,20:00:00,8.978,215.3,3.01,
36,7/10/2010,23:00:00,8.581,0,3.01,
37,7/11/2010,2:00:00,8.182,0,3.01,
38,7/11/2010,5:00:00,7.882,0,3.01,
39,7/11/2010,8:00:00,7.983,3444.5,2.99,
40,7/11/2010,11:00:00,9.571,13777.9,3.01,
41,7/11/2010,14:00:00,9.571,23422.4,3.01,
42,7/11/2010,17:00:00,9.275,4477.8,3.01,
43,7/11/2010,20:00:00,8.779,355.2,2.99,
44,7/11/2010,23:00:00,8.282,0,2.99,
45,7/12/2010,2:00:00,7.782,0,2.99,
46,7/12/2010,5:00:00,7.381,0,2.99,
47,7/12/2010,8:00:00,7.28,667.4,2.99,
48,7/12/2010,11:00:00,10.357,16533.4,2.97,
49,7/12/2010,14:00:00,14.709,77156.1,2.99,
50,7/12/2010,17:00:00,10.553,1377.8,2.97,
51,7/12/2010,20:00:00,9.373,86.1,2.99,
52,7/12/2010,23:00:00,8.581,0,2.99,
53,7/13/2010,2:00:00,8.082,0,2.97,
54,7/13/2010,5:00:00,7.582,0,2.97,
55,7/13/2010,8:00:00,7.582,624.3,2.97,
56,7/13/2010,11:00:00,11.334,15155.7,2.97,
57,7/13/2010,14:00:00,13.558,52355.9,2.97,
58,7/13/2010,17:00:00,9.866,2152.8,2.97,
59,7/13/2010,20:00:00,9.373,86.1,2.99,
60,7/13/2010,23:00:00,8.978,0,2.97,
61,7/14/2010,2:00:00,8.581,0,2.97,
62,7/14/2010,5:00:00,8.182,0,2.97,
63,7/14/2010,8:00:00,8.182,1248.6,2.97,
64,7/14/2010,11:00:00,9.768,8611.2,2.95,
65,7/14/2010,14:00:00,9.373,1463.9,2.97,
66,7/14/2010,17:00:00,9.571,2583.4,2.97,
67,7/14/2010,20:00:00,9.472,32.3,2.97,
68,7/14/2010,23:00:00,9.176,0,2.97,
69,7/15/2010,2:00:00,8.779,0,2.97,
70,7/15/2010,5:00:00,8.481,0,2.97,
71,7/15/2010,8:00:00,8.481,1280.9,2.97,
72,7/15/2010,11:00:00,12.11,30311.3,2.97,
73,7/15/2010,14:00:00,10.846,5338.9,2.95,
74,7/15/2010,17:00:00,10.651,3444.5,2.95,
75,7/15/2010,20:00:00,9.965,172.2,2.95,
76,7/15/2010,23:00:00,9.472,0,2.97,
77,7/16/2010,2:00:00,8.978,0,2.97,
78,7/16/2010,5:00:00,8.382,0,2.97,
79,7/16/2010,8:00:00,8.282,624.3,2.95,
80,7/16/2010,11:00:00,12.401,49600.3,2.95,
81,7/16/2010,14:00:00,9.866,495.1,2.95,
82,7/16/2010,17:00:00,10.161,5166.7,2.95,
83,7/16/2010,20:00:00,9.571,376.7,2.97,
84,7/16/2010,23:00:00,8.779,0,2.97,
85,7/17/2010,2:00:00,8.481,0,2.95,
86,7/17/2010,5:00:00,8.082,0,2.95,
87,7/17/2010,8:00:00,7.983,656.6,2.95,
88,7/17/2010,11:00:00,11.528,77156.1,2.95,
89,7/17/2010,14:00:00,12.013,6200,2.97,
90,7/17/2010,17:00:00,10.944,882.6,2.95,
91,7/17/2010,20:00:00,10.063,129.2,2.95,
92,7/17/2010,23:00:00,9.373,0,2.97,
93,7/18/2010,2:00:00,8.581,0,2.97,
94,7/18/2010,5:00:00,8.282,0,2.95,
95,7/18/2010,8:00:00,8.082,645.8,2.95,
96,7/18/2010,11:00:00,11.431,79911.6,2.95,
97,7/18/2010,14:00:00,10.259,3788.9,2.95,
98,7/18/2010,17:00:00,10.161,1345.5,2.95,
99,7/18/2010,20:00:00,9.669,279.9,2.95,
100,7/18/2010,23:00:00,9.077,0,2.97,
101,7/19/2010,2:00:00,8.581,0,2.95,
102,7/19/2010,5:00:00,8.182,0,2.95,
103,7/19/2010,8:00:00,8.082,592,2.95,
104,7/19/2010,11:00:00,11.236,63378.2,2.95,
105,7/19/2010,14:00:00,10.748,839.6,2.95,
106,7/19/2010,17:00:00,10.455,1119.5,2.95,
107,7/19/2010,20:00:00,10.063,183,2.95,
108,7/19/2010,23:00:00,9.571,0,2.97,
109,7/20/2010,2:00:00,9.275,0,2.97,
110,7/20/2010,5:00:00,8.779,0,2.95,
111,7/20/2010,8:00:00,8.581,678.1,2.95,
112,7/20/2010,11:00:00,11.431,55111.5,2.95,
113,7/20/2010,14:00:00,10.553,688.9,2.95,
114,7/20/2010,17:00:00,10.259,2497.2,2.95,
115,7/20/2010,20:00:00,9.472,161.5,2.97,
116,7/20/2010,23:00:00,9.077,0,2.95,
117,7/21/2010,2:00:00,8.978,0,2.95,
118,7/21/2010,5:00:00,8.581,0,2.95,
119,7/21/2010,8:00:00,8.282,602.8,2.95,
120,7/21/2010,11:00:00,10.553,16533.4,2.95,
121,7/21/2010,14:00:00,11.819,5511.1,2.95,
122,7/21/2010,17:00:00,10.944,2927.8,2.95,
123,7/21/2010,20:00:00,10.063,301.4,2.95,
124,7/21/2010,23:00:00,9.373,0,2.97,
125,7/22/2010,2:00:00,8.879,0,2.95,
126,7/22/2010,5:00:00,8.082,0,2.95,
127,7/22/2010,8:00:00,8.282,3272.2,2.95,
128,7/22/2010,11:00:00,9.373,6200,2.95,
129,7/22/2010,14:00:00,9.472,2152.8,2.95,
130,7/22/2010,17:00:00,9.571,1808.3,2.95,
131,7/22/2010,20:00:00,8.978,312.2,2.95,
132,7/22/2010,23:00:00,8.581,0,2.95,
133,7/23/2010,2:00:00,8.382,0,2.95,
134,7/23/2010,5:00:00,7.782,0,2.95,
135,7/23/2010,8:00:00,7.782,1076.4,2.95,
136,7/23/2010,11:00:00,9.669,19977.9,2.93,
