Plot Title: west-lajara,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)",Coupler Detached (LGR S/N: 1280511),Coupler Attached (LGR S/N: 1280511),Stopped (LGR S/N: 1280511),End Of File (LGR S/N: 1280511)
1,1/11/1937,15:30:00,75442,15.76,Logged,,,
2,1/11/1937,15:45:00,75439,15.664,,,,
3,1/11/1937,16:00:00,75451,15.664,,,,
4,1/11/1937,16:15:00,75418,15.76,,,,
5,1/11/1937,16:30:00,75402,16.141,,,,
6,1/11/1937,16:45:00,75377,16.618,,,,
7,1/11/1937,17:00:00,75380,17.284,,,,
8,1/11/1937,17:15:00,75379,17.76,,,,
9,1/11/1937,17:30:00,75376,18.14,,,,
10,1/11/1937,17:45:00,75369,18.331,,,,
11,1/11/1937,18:00:00,75361,18.521,,,,
12,1/11/1937,18:15:00,75380,18.806,,,,
13,1/11/1937,18:30:00,75380,18.806,,,,
14,1/11/1937,18:45:00,75356,18.806,,,,
15,1/11/1937,19:00:00,75341,18.711,,,,
16,1/11/1937,19:15:00,75349,18.521,,,,
17,1/11/1937,19:30:00,75313,18.521,,,,
18,1/11/1937,19:45:00,75303,18.616,,,,
19,1/11/1937,20:00:00,75332,18.806,,,,
20,1/11/1937,20:15:00,75320,18.806,,,,
21,1/11/1937,20:30:00,75341,18.711,,,,
22,1/11/1937,20:45:00,75375,18.616,,,,
23,1/11/1937,21:00:00,75371,18.426,,,,
24,1/11/1937,21:15:00,75390,18.236,,,,
25,1/11/1937,21:30:00,75420,17.95,,,,
26,1/11/1937,21:45:00,75413,17.665,,,,
27,1/11/1937,22:00:00,75421,17.475,,,,
28,1/11/1937,22:15:00,75440,17.284,,,,
29,1/11/1937,22:30:00,75446,16.999,,,,
30,1/11/1937,22:45:00,75429,16.808,,,,
31,1/11/1937,23:00:00,75423,16.523,,,,
32,1/11/1937,23:15:00,75442,16.332,,,,
33,1/11/1937,23:30:00,75450,16.141,,,,
34,1/11/1937,23:45:00,75434,15.951,,,,
35,1/12/1937,0:00:00,75442,15.76,,,,
36,1/12/1937,0:15:00,75435,15.473,,,,
37,1/12/1937,0:30:00,75431,15.282,,,,
38,1/12/1937,0:45:00,75427,15.091,,,,
39,1/12/1937,1:00:00,75446,14.9,,,,
40,1/12/1937,1:15:00,75466,14.709,,,,
41,1/12/1937,1:30:00,75460,14.421,,,,
42,1/12/1937,1:45:00,75479,14.23,,,,
43,1/12/1937,2:00:00,75475,14.038,,,,
44,1/12/1937,2:15:00,75473,13.942,,,,
45,1/12/1937,2:30:00,75481,13.75,,,,
46,1/12/1937,2:45:00,75501,13.558,,,,
47,1/12/1937,3:00:00,75510,13.461,,,,
48,1/12/1937,3:15:00,75508,13.365,,,,
49,1/12/1937,3:30:00,75530,13.269,,,,
50,1/12/1937,3:45:00,75530,13.269,,,,
51,1/12/1937,4:00:00,75516,13.173,,,,
52,1/12/1937,4:15:00,75514,13.076,,,,
53,1/12/1937,4:30:00,75486,12.883,,,,
54,1/12/1937,4:45:00,75494,12.69,,,,
55,1/12/1937,5:00:00,75492,12.594,,,,
56,1/12/1937,5:15:00,75476,12.401,,,,
57,1/12/1937,5:30:00,75460,12.207,,,,
58,1/12/1937,5:45:00,75482,12.11,,,,
59,1/12/1937,6:00:00,75468,12.013,,,,
60,1/12/1937,6:15:00,75489,11.916,,,,
61,1/12/1937,6:30:00,75499,11.819,,,,
62,1/12/1937,6:45:00,75485,11.722,,,,
63,1/12/1937,7:00:00,75495,11.625,,,,
64,1/12/1937,7:15:00,75505,11.528,,,,
65,1/12/1937,7:30:00,75491,11.431,,,,
66,1/12/1937,7:45:00,75513,11.334,,,,
67,1/12/1937,8:00:00,75523,11.236,,,,
68,1/12/1937,8:15:00,75521,11.139,,,,
69,1/12/1937,8:30:00,75529,10.944,,,,
70,1/12/1937,8:45:00,75538,10.846,,,,
71,1/12/1937,9:00:00,75548,10.748,,,,
72,1/12/1937,9:15:00,75558,10.651,,,,
73,1/12/1937,9:30:00,75584,10.748,,,,
74,1/12/1937,9:45:00,75588,10.944,,,,
75,1/12/1937,10:00:00,75592,11.139,,,,
76,1/12/1937,10:15:00,75601,11.528,,,,
77,1/12/1937,10:30:00,75609,11.916,,,,
78,1/12/1937,10:45:00,75631,12.401,,,,
79,1/12/1937,11:00:00,75631,12.98,,,,
80,1/12/1937,11:15:00,75644,13.558,,,,
81,1/12/1937,11:30:00,75647,14.23,,,,
82,1/12/1937,11:45:00,75647,14.804,,,,
83,1/12/1937,12:00:00,75670,15.282,,,,
84,1/12/1937,12:15:00,75655,15.664,,,,
85,1/12/1937,12:30:00,75663,16.046,,,,
86,1/12/1937,12:45:00,75643,16.237,,,,
87,1/12/1937,13:00:00,75670,16.332,,,,
88,1/12/1937,13:15:00,75672,16.427,,,,
89,1/12/1937,13:30:00,75666,16.713,,,,
90,1/12/1937,13:45:00,75641,17.189,,,,
91,1/12/1937,14:00:00,75648,17.475,,,,
92,1/12/1937,14:15:00,75654,17.76,,,,
93,1/12/1937,14:30:00,75642,17.76,,,,
94,1/12/1937,14:45:00,75609,17.855,,,,
95,1/12/1937,15:00:00,75608,18.331,,,,
96,1/12/1937,15:15:00,75585,18.901,,,,
97,1/12/1937,15:30:00,75584,19.377,,,,
98,1/12/1937,15:45:00,75557,19.758,,,,
99,1/12/1937,16:00:00,75564,20.043,,,,
100,1/12/1937,16:15:00,75550,19.948,,,,
101,1/12/1937,16:30:00,75541,19.567,,,,
102,1/12/1937,16:45:00,75527,19.472,,,,
103,1/12/1937,17:00:00,75517,19.567,,,,
104,1/12/1937,17:15:00,75519,19.662,,,,
105,1/12/1937,17:30:00,75497,19.758,,,,
106,1/12/1937,17:45:00,75483,19.662,,,,
107,1/12/1937,18:00:00,75471,19.662,,,,
108,1/12/1937,18:15:00,75452,19.853,,,,
109,1/12/1937,18:30:00,75442,19.948,,,,
110,1/12/1937,18:45:00,75442,19.948,,,,
111,1/12/1937,19:00:00,75432,20.043,,,,
112,1/12/1937,19:15:00,75447,20.138,,,,
113,1/12/1937,19:30:00,75432,20.043,,,,
114,1/12/1937,19:45:00,75418,19.948,,,,
115,1/12/1937,20:00:00,75435,19.662,,,,
116,1/12/1937,20:15:00,75443,19.472,,,,
117,1/12/1937,20:30:00,75424,19.187,,,,
118,1/12/1937,20:45:00,75444,18.996,,,,
119,1/12/1937,21:00:00,75442,18.901,,,,
120,1/12/1937,21:15:00,75461,18.711,,,,
121,1/12/1937,21:30:00,75454,18.426,,,,
122,1/12/1937,21:45:00,75448,18.14,,,,
123,1/12/1937,22:00:00,75479,17.95,,,,
124,1/12/1937,22:15:00,75463,17.76,,,,
125,1/12/1937,22:30:00,75483,17.57,,,,
126,1/12/1937,22:45:00,75478,17.379,,,,
127,1/12/1937,23:00:00,75498,17.189,,,,
128,1/12/1937,23:15:00,75517,16.999,,,,
129,1/12/1937,23:30:00,75523,16.713,,,,
130,1/12/1937,23:45:00,75552,16.427,,,,
131,1/13/1937,0:00:00,75546,16.141,,,,
132,1/13/1937,0:15:00,75577,15.951,,,,
133,1/13/1937,0:30:00,75599,15.855,,,,
134,1/13/1937,0:45:00,75597,15.76,,,,
135,1/13/1937,1:00:00,75607,15.664,,,,
136,1/13/1937,1:15:00,75605,15.569,,,,
137,1/13/1937,1:30:00,75610,15.282,,,,
138,1/13/1937,1:45:00,75628,14.996,,,,
139,1/13/1937,2:00:00,75635,14.804,,,,
140,1/13/1937,2:15:00,75643,14.613,,,,
141,1/13/1937,2:30:00,75651,14.421,,,,
142,1/13/1937,2:45:00,75661,14.325,,,,
143,1/13/1937,3:00:00,75671,14.23,,,,
144,1/13/1937,3:15:00,75657,14.134,,,,
145,1/13/1937,3:30:00,75666,14.038,,,,
146,1/13/1937,3:45:00,75676,13.942,,,,
147,1/13/1937,4:00:00,75686,13.846,,,,
148,1/13/1937,4:15:00,75686,13.846,,,,
149,1/13/1937,4:30:00,75660,13.75,,,,
150,1/13/1937,4:45:00,75658,13.654,,,,
151,1/13/1937,5:00:00,75656,13.558,,,,
152,1/13/1937,5:15:00,75654,13.461,,,,
153,1/13/1937,5:30:00,75638,13.269,,,,
154,1/13/1937,5:45:00,75645,13.076,,,,
155,1/13/1937,6:00:00,75643,12.98,,,,
156,1/13/1937,6:15:00,75641,12.883,,,,
157,1/13/1937,6:30:00,75649,12.69,,,,
158,1/13/1937,6:45:00,75657,12.497,,,,
159,1/13/1937,7:00:00,75667,12.401,,,,
160,1/13/1937,7:15:00,75675,12.207,,,,
161,1/13/1937,7:30:00,75673,12.11,,,,
162,1/13/1937,7:45:00,75668,11.916,,,,
163,1/13/1937,8:00:00,75676,11.722,,,,
164,1/13/1937,8:15:00,75660,11.528,,,,
165,1/13/1937,8:30:00,75680,11.334,,,,
166,1/13/1937,8:45:00,75688,11.139,,,,
167,1/13/1937,9:00:00,75698,11.041,,,,
168,1/13/1937,9:15:00,75684,10.944,,,,
169,1/13/1937,9:30:00,75710,11.041,,,,
170,1/13/1937,9:45:00,75714,11.236,,,,
171,1/13/1937,10:00:00,75730,11.431,,,,
172,1/13/1937,10:15:00,75714,11.819,,,,
173,1/13/1937,10:30:00,75724,12.304,,,,
174,1/13/1937,10:45:00,75735,12.787,,,,
175,1/13/1937,11:00:00,75721,13.269,,,,
176,1/13/1937,11:15:00,75710,13.846,,,,
177,1/13/1937,11:30:00,75709,14.325,,,,
178,1/13/1937,11:45:00,75719,14.804,,,,
179,1/13/1937,12:00:00,75706,15.282,,,,
180,1/13/1937,12:15:00,75716,15.76,,,,
181,1/13/1937,12:30:00,75713,16.141,,,,
182,1/13/1937,12:45:00,75724,16.618,,,,
183,1/13/1937,13:00:00,75732,16.999,,,,
184,1/13/1937,13:15:00,75731,17.475,,,,
185,1/13/1937,13:30:00,75718,17.95,,,,
186,1/13/1937,13:45:00,75732,18.521,,,,
187,1/13/1937,14:00:00,75707,18.996,,,,
188,1/13/1937,14:15:00,75694,19.472,,,,
189,1/13/1937,14:30:00,75703,19.853,,,,
190,1/13/1937,14:45:00,75690,20.329,,,,
191,1/13/1937,15:00:00,75690,20.805,,,,
192,1/13/1937,15:15:00,75675,21.187,,,,
