Plot Title: west-lajara 11 2013,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)",Coupler Detached (LGR S/N: 1280511),Coupler Attached (LGR S/N: 1280511),Stopped (LGR S/N: 1280511),End Of File (LGR S/N: 1280511)
1,11/13/2013,15:00:00,76058,1.439,Logged,,,
2,11/13/2013,15:30:00,76047,1.439,,,,
3,11/13/2013,16:00:00,76035,1.439,,,,
4,11/13/2013,16:30:00,76023,1.439,,,,
5,11/13/2013,17:00:00,75963,1.439,,,,
6,11/13/2013,17:30:00,75951,1.439,,,,
7,11/13/2013,18:00:00,75961,1.33,,,,
8,11/13/2013,18:30:00,75961,1.33,,,,
9,11/13/2013,19:00:00,75959,1.221,,,,
10,11/13/2013,19:30:00,75886,1.112,,,,
11,11/13/2013,20:00:00,75898,1.112,,,,
12,11/13/2013,20:30:00,75872,1.003,,,,
13,11/13/2013,21:00:00,75848,1.003,,,,
14,11/13/2013,21:30:00,75834,0.893,,,,
15,11/13/2013,22:00:00,75810,0.893,,,,
16,11/13/2013,22:30:00,75787,0.893,,,,
17,11/13/2013,23:00:00,75749,0.784,,,,
18,11/13/2013,23:30:00,75749,0.784,,,,
19,11/14/2013,0:00:00,75749,0.784,,,,
20,11/14/2013,0:30:00,75713,0.784,,,,
21,11/14/2013,1:00:00,75676,0.674,,,,
22,11/14/2013,1:30:00,75687,0.674,,,,
23,11/14/2013,2:00:00,75628,0.674,,,,
24,11/14/2013,2:30:00,75604,0.674,,,,
25,11/14/2013,3:00:00,75602,0.563,,,,
26,11/14/2013,3:30:00,75578,0.563,,,,
27,11/14/2013,4:00:00,75578,0.563,,,,
28,11/14/2013,4:30:00,75578,0.563,,,,
29,11/14/2013,5:00:00,75566,0.563,,,,
30,11/14/2013,5:30:00,75578,0.563,,,,
31,11/14/2013,6:00:00,75564,0.453,,,,
32,11/14/2013,6:30:00,75576,0.453,,,,
33,11/14/2013,7:00:00,75588,0.453,,,,
34,11/14/2013,7:30:00,75588,0.453,,,,
35,11/14/2013,8:00:00,75588,0.453,,,,
36,11/14/2013,8:30:00,75588,0.453,,,,
37,11/14/2013,9:00:00,75576,0.453,,,,
38,11/14/2013,9:30:00,75541,0.453,,,,
39,11/14/2013,10:00:00,75541,0.453,,,,
40,11/14/2013,10:30:00,75507,0.563,,,,
41,11/14/2013,11:00:00,75459,0.563,,,,
42,11/14/2013,11:30:00,75485,0.674,,,,
43,11/14/2013,12:00:00,75475,0.784,,,,
44,11/14/2013,12:30:00,75439,0.784,,,,
45,11/14/2013,13:00:00,75427,0.784,,,,
46,11/14/2013,13:30:00,75416,0.784,,,,
47,11/14/2013,14:00:00,75429,0.893,,,,
48,11/14/2013,14:30:00,75479,1.003,,,,
49,11/14/2013,15:00:00,75491,1.003,,,,
50,11/14/2013,15:30:00,75491,1.003,,,,
51,11/14/2013,16:00:00,75467,1.003,,,,
52,11/14/2013,16:30:00,75479,1.003,,,,
53,11/14/2013,17:00:00,75455,1.003,,,,
54,11/14/2013,17:30:00,75491,1.003,,,,
55,11/14/2013,18:00:00,75513,0.893,,,,
56,11/14/2013,18:30:00,75525,0.893,,,,
57,11/14/2013,19:00:00,75513,0.893,,,,
58,11/14/2013,19:30:00,75501,0.893,,,,
59,11/14/2013,20:00:00,75475,0.784,,,,
60,11/14/2013,20:30:00,75463,0.784,,,,
61,11/14/2013,21:00:00,75439,0.784,,,,
62,11/14/2013,21:30:00,75426,0.674,,,,
63,11/14/2013,22:00:00,75390,0.674,,,,
64,11/14/2013,22:30:00,75342,0.674,,,,
65,11/14/2013,23:00:00,75318,0.674,,,,
66,11/14/2013,23:30:00,75318,0.674,,,,
67,11/15/2013,0:00:00,75293,0.563,,,,
68,11/15/2013,0:30:00,75209,0.563,,,,
69,11/15/2013,1:00:00,75209,0.563,,,,
70,11/15/2013,1:30:00,75209,0.563,,,,
71,11/15/2013,2:00:00,75245,0.563,,,,
72,11/15/2013,2:30:00,75269,0.563,,,,
73,11/15/2013,3:00:00,75221,0.563,,,,
74,11/15/2013,3:30:00,75172,0.453,,,,
75,11/15/2013,4:00:00,75124,0.453,,,,
76,11/15/2013,4:30:00,75124,0.453,,,,
77,11/15/2013,5:00:00,75124,0.453,,,,
78,11/15/2013,5:30:00,75088,0.453,,,,
79,11/15/2013,6:00:00,75053,0.453,,,,
80,11/15/2013,6:30:00,75076,0.453,,,,
81,11/15/2013,7:00:00,75088,0.453,,,,
82,11/15/2013,7:30:00,75148,0.453,,,,
83,11/15/2013,8:00:00,75160,0.453,,,,
84,11/15/2013,8:30:00,75076,0.453,,,,
85,11/15/2013,9:00:00,75065,0.453,,,,
86,11/15/2013,9:30:00,75065,0.453,,,,
87,11/15/2013,10:00:00,75053,0.453,,,,
88,11/15/2013,10:30:00,75017,0.453,,,,
89,11/15/2013,11:00:00,75029,0.453,,,,
90,11/15/2013,11:30:00,75019,0.563,,,,
91,11/15/2013,12:00:00,74983,0.563,,,,
92,11/15/2013,12:30:00,74947,0.563,,,,
93,11/15/2013,13:00:00,74902,0.674,,,,
94,11/15/2013,13:30:00,74900,0.563,,,,
