Plot Title: 1280511 W La Jara 20140606-2014,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Batt, V (LGR S/N: 1280511, SEN S/N: 1280511)",Coupler Detached (LGR S/N: 1280511),Coupler Attached (LGR S/N: 1280511),Stopped (LGR S/N: 1280511),End Of File (LGR S/N: 1280511)
1,6/6/2014,16:00:00,74877,17.76,3.54,Logged,,,
2,6/6/2014,16:15:00,74865,17.76,3.54,,,,
3,6/6/2014,16:30:00,74817,17.76,3.54,,,,
4,6/6/2014,16:45:00,74817,17.76,3.54,,,,
5,6/6/2014,17:00:00,74806,17.76,3.54,,,,
6,6/6/2014,17:15:00,74794,17.76,3.54,,,,
7,6/6/2014,17:30:00,74779,17.665,3.54,,,,
8,6/6/2014,17:45:00,74767,17.665,3.54,,,,
9,6/6/2014,18:00:00,74753,17.57,3.54,,,,
10,6/6/2014,18:15:00,74775,17.475,3.54,,,,
11,6/6/2014,18:30:00,74749,17.379,3.54,,,,
12,6/6/2014,18:45:00,74759,17.284,3.54,,,,
13,6/6/2014,19:00:00,74769,17.189,3.54,,,,
14,6/6/2014,19:15:00,74764,16.999,3.54,,,,
15,6/6/2014,19:30:00,74772,16.808,3.54,,,,
16,6/6/2014,19:45:00,74766,16.523,3.54,,,,
17,6/6/2014,20:00:00,74767,16.046,3.54,,,,
18,6/6/2014,20:15:00,74754,15.473,3.54,,,,
19,6/6/2014,20:30:00,74768,14.996,3.54,,,,
20,6/6/2014,20:45:00,74779,14.421,3.54,,,,
21,6/6/2014,21:00:00,74792,13.942,3.54,,,,
22,6/6/2014,21:15:00,74794,13.461,3.54,,,,
23,6/6/2014,21:30:00,74808,12.98,3.54,,,,
24,6/6/2014,21:45:00,74845,12.497,3.54,,,,
25,6/6/2014,22:00:00,74859,12.013,3.51,,,,
26,6/6/2014,22:15:00,74874,11.625,3.51,,,,
27,6/6/2014,22:30:00,74890,11.236,3.51,,,,
28,6/6/2014,22:45:00,74894,10.846,3.51,,,,
29,6/6/2014,23:00:00,74910,10.455,3.51,,,,
30,6/6/2014,23:15:00,74904,10.161,3.51,,,,
31,6/6/2014,23:30:00,74908,9.768,3.51,,,,
32,6/6/2014,23:45:00,74892,9.571,3.54,,,,
33,6/7/2014,0:00:00,74943,9.176,3.51,,,,
34,6/7/2014,0:15:00,74949,8.879,3.51,,,,
35,6/7/2014,0:30:00,74981,8.68,3.51,,,,
36,6/7/2014,0:45:00,74953,8.481,3.51,,,,
37,6/7/2014,1:00:00,75021,8.282,3.51,,,,
38,6/7/2014,1:15:00,74995,8.182,3.51,,,,
39,6/7/2014,1:30:00,75005,8.082,3.51,,,,
40,6/7/2014,1:45:00,75015,7.983,3.51,,,,
41,6/7/2014,2:00:00,75025,7.882,3.51,,,,
42,6/7/2014,2:15:00,75033,7.682,3.51,,,,
43,6/7/2014,2:30:00,75019,7.582,3.51,,,,
44,6/7/2014,2:45:00,75041,7.481,3.51,,,,
45,6/7/2014,3:00:00,75073,7.28,3.51,,,,
46,6/7/2014,3:15:00,75059,7.179,3.51,,,,
47,6/7/2014,3:30:00,75055,6.978,3.48,,,,
48,6/7/2014,3:45:00,75065,6.877,3.48,,,,
49,6/7/2014,4:00:00,75075,6.775,3.48,,,,
50,6/7/2014,4:15:00,75094,6.573,3.48,,,,
51,6/7/2014,4:30:00,75081,6.471,3.48,,,,
52,6/7/2014,4:45:00,75091,6.37,3.48,,,,
53,6/7/2014,5:00:00,75098,6.166,3.48,,,,
54,6/7/2014,5:15:00,75108,6.064,3.48,,,,
55,6/7/2014,5:30:00,75108,6.064,3.48,,,,
56,6/7/2014,5:45:00,75130,5.962,3.48,,,,
57,6/7/2014,6:00:00,75140,5.86,3.48,,,,
58,6/7/2014,6:15:00,75150,5.757,3.48,,,,
59,6/7/2014,6:30:00,75174,5.757,3.48,,,,
60,6/7/2014,6:45:00,75198,5.757,3.48,,,,
61,6/7/2014,7:00:00,75200,5.86,3.48,,,,
62,6/7/2014,7:15:00,75238,5.962,3.48,,,,
63,6/7/2014,7:30:00,75242,6.166,3.48,,,,
64,6/7/2014,7:45:00,75236,6.471,3.48,,,,
65,6/7/2014,8:00:00,75232,6.877,3.48,,,,
66,6/7/2014,8:15:00,75253,7.381,3.48,,,,
67,6/7/2014,8:30:00,75251,7.882,3.51,,,,
68,6/7/2014,8:45:00,75275,8.481,3.51,,,,
69,6/7/2014,9:00:00,75273,8.978,3.51,,,,
70,6/7/2014,9:15:00,75283,9.472,3.51,,,,
71,6/7/2014,9:30:00,75293,9.965,3.48,,,,
72,6/7/2014,9:45:00,75304,10.455,3.48,,,,
73,6/7/2014,10:00:00,75288,10.846,3.51,,,,
74,6/7/2014,10:15:00,75274,11.334,3.51,,,,
75,6/7/2014,10:30:00,75296,11.819,3.51,,,,
76,6/7/2014,10:45:00,75304,12.207,3.51,,,,
77,6/7/2014,11:00:00,75301,12.594,3.51,,,,
78,6/7/2014,11:15:00,75297,12.98,3.51,,,,
79,6/7/2014,11:30:00,75293,13.365,3.51,,,,
80,6/7/2014,11:45:00,75268,13.846,3.54,,,,
81,6/7/2014,12:00:00,75286,14.134,3.54,,,,
82,6/7/2014,12:15:00,75271,14.517,3.54,,,,
83,6/7/2014,12:30:00,75267,14.9,3.54,,,,
84,6/7/2014,12:45:00,75240,15.282,3.51,,,,
85,6/7/2014,13:00:00,75236,15.664,3.51,,,,
86,6/7/2014,13:15:00,75243,15.951,3.51,,,,
87,6/7/2014,13:30:00,75189,16.237,3.51,,,,
88,6/7/2014,13:45:00,75170,16.427,3.54,,,,
89,6/7/2014,14:00:00,75148,16.523,3.54,,,,
90,6/7/2014,14:15:00,75124,16.523,3.54,,,,
91,6/7/2014,14:30:00,75114,16.618,3.54,,,,
92,6/7/2014,14:45:00,75102,16.618,3.54,,,,
93,6/7/2014,15:00:00,75114,16.618,3.54,,,,
94,6/7/2014,15:15:00,75093,16.713,3.54,,,,
95,6/7/2014,15:30:00,75093,16.713,3.54,,,,
96,6/7/2014,15:45:00,75055,16.618,3.54,,,,
97,6/7/2014,16:00:00,75031,16.618,3.54,,,,
98,6/7/2014,16:15:00,75007,16.618,3.54,,,,
99,6/7/2014,16:30:00,75007,16.618,3.54,,,,
100,6/7/2014,16:45:00,74981,16.523,3.54,,,,
101,6/7/2014,17:00:00,74933,16.523,3.54,,,,
102,6/7/2014,17:15:00,74943,16.427,3.54,,,,
103,6/7/2014,17:30:00,74974,16.237,3.54,,,,
104,6/7/2014,17:45:00,74994,16.046,3.54,,,,
105,6/7/2014,18:00:00,75011,15.76,3.54,,,,
106,6/7/2014,18:15:00,74921,15.473,3.51,,,,
107,6/7/2014,18:30:00,74985,15.091,3.51,,,,
108,6/7/2014,18:45:00,75010,14.613,3.54,,,,
109,6/7/2014,19:00:00,75035,14.134,3.54,,,,
110,6/7/2014,19:15:00,74987,13.558,3.54,,,,
111,6/7/2014,19:30:00,74955,13.173,3.54,,,,
112,6/7/2014,19:45:00,74953,13.076,3.54,,,,
113,6/7/2014,20:00:00,74963,12.98,3.54,,,,
114,6/7/2014,20:15:00,74961,12.883,3.54,,,,
115,6/7/2014,20:30:00,74969,12.69,3.54,,,,
116,6/7/2014,20:45:00,74988,12.497,3.51,,,,
117,6/7/2014,21:00:00,75006,12.207,3.51,,,,
118,6/7/2014,21:15:00,75074,12.013,3.51,,,,
119,6/7/2014,21:30:00,75022,11.819,3.51,,,,
120,6/7/2014,21:45:00,74994,11.625,3.51,,,,
121,6/7/2014,22:00:00,75075,11.528,3.51,,,,
122,6/7/2014,22:15:00,75061,11.431,3.51,,,,
123,6/7/2014,22:30:00,75131,11.334,3.51,,,,
124,6/7/2014,22:45:00,75117,11.236,3.51,,,,
125,6/7/2014,23:00:00,75105,11.236,3.51,,,,
126,6/7/2014,23:15:00,75117,11.236,3.51,,,,
127,6/7/2014,23:30:00,75115,11.139,3.51,,,,
128,6/7/2014,23:45:00,75115,11.139,3.51,,,,
129,6/8/2014,0:00:00,75151,11.139,3.51,,,,
130,6/8/2014,0:15:00,75163,11.139,3.51,,,,
131,6/8/2014,0:30:00,75151,11.139,3.51,,,,
132,6/8/2014,0:45:00,75163,11.139,3.51,,,,
133,6/8/2014,1:00:00,75151,11.139,3.51,,,,
134,6/8/2014,1:15:00,75149,11.041,3.51,,,,
135,6/8/2014,1:30:00,75180,10.846,3.51,,,,
136,6/8/2014,1:45:00,75176,10.651,3.51,,,,
137,6/8/2014,2:00:00,75196,10.455,3.51,,,,
138,6/8/2014,2:15:00,75214,10.161,3.51,,,,
139,6/8/2014,2:30:00,75222,9.965,3.48,,,,
140,6/8/2014,2:45:00,75232,9.866,3.48,,,,
141,6/8/2014,3:00:00,75216,9.669,3.48,,,,
142,6/8/2014,3:15:00,75226,9.571,3.51,,,,
143,6/8/2014,3:30:00,75222,9.373,3.51,,,,
144,6/8/2014,3:45:00,75220,9.275,3.51,,,,
145,6/8/2014,4:00:00,75232,9.275,3.51,,,,
146,6/8/2014,4:15:00,75220,9.275,3.51,,,,
147,6/8/2014,4:30:00,75208,9.275,3.51,,,,
148,6/8/2014,4:45:00,75206,9.176,3.51,,,,
149,6/8/2014,5:00:00,75204,9.077,3.51,,,,
150,6/8/2014,5:15:00,75202,8.978,3.51,,,,
151,6/8/2014,5:30:00,75200,8.879,3.51,,,,
152,6/8/2014,5:45:00,75224,8.879,3.51,,,,
153,6/8/2014,6:00:00,75234,8.779,3.51,,,,
154,6/8/2014,6:15:00,75243,8.68,3.51,,,,
155,6/8/2014,6:30:00,75243,8.68,3.51,,,,
156,6/8/2014,6:45:00,75255,8.68,3.51,,,,
157,6/8/2014,7:00:00,75269,8.779,3.51,,,,
158,6/8/2014,7:15:00,75259,8.879,3.51,,,,
159,6/8/2014,7:30:00,75251,9.077,3.51,,,,
160,6/8/2014,7:45:00,75269,9.373,3.51,,,,
161,6/8/2014,8:00:00,75275,9.669,3.48,,,,
162,6/8/2014,8:15:00,75284,10.063,3.48,,,,
163,6/8/2014,8:30:00,75304,10.455,3.48,,,,
164,6/8/2014,8:45:00,75300,10.846,3.51,,,,
165,6/8/2014,9:00:00,75296,11.236,3.51,,,,
166,6/8/2014,9:15:00,75278,11.528,3.51,,,,
167,6/8/2014,9:30:00,75272,11.819,3.51,,,,
168,6/8/2014,9:45:00,75255,12.11,3.51,,,,
169,6/8/2014,10:00:00,75237,12.401,3.51,,,,
170,6/8/2014,10:15:00,75241,12.594,3.51,,,,
171,6/8/2014,10:30:00,75223,12.883,3.51,,,,
172,6/8/2014,10:45:00,75218,13.173,3.51,,,,
173,6/8/2014,11:00:00,75200,13.461,3.54,,,,
174,6/8/2014,11:15:00,75194,13.75,3.54,,,,
175,6/8/2014,11:30:00,75201,14.038,3.54,,,,
176,6/8/2014,11:45:00,75171,14.325,3.54,,,,
177,6/8/2014,12:00:00,75153,14.613,3.54,,,,
178,6/8/2014,12:15:00,75136,14.9,3.54,,,,
179,6/8/2014,12:30:00,75142,15.187,3.51,,,,
180,6/8/2014,12:45:00,75115,15.569,3.51,,,,
181,6/8/2014,13:00:00,75111,15.951,3.51,,,,
182,6/8/2014,13:15:00,75084,16.332,3.54,,,,
183,6/8/2014,13:30:00,75078,16.618,3.54,,,,
184,6/8/2014,13:45:00,75047,16.808,3.54,,,,
185,6/8/2014,14:00:00,75027,16.999,3.54,,,,
186,6/8/2014,14:15:00,74979,16.999,3.54,,,,
187,6/8/2014,14:30:00,74944,16.999,3.54,,,,
188,6/8/2014,14:45:00,74906,16.903,3.54,,,,
189,6/8/2014,15:00:00,74903,16.808,3.54,,,,
190,6/8/2014,15:15:00,74971,16.618,3.54,,,,
191,6/8/2014,15:30:00,74941,16.332,3.54,,,,
192,6/8/2014,15:45:00,74948,16.141,3.54,,,,
193,6/8/2014,16:00:00,74896,15.951,3.54,,,,
194,6/8/2014,16:15:00,74860,15.951,3.54,,,,
195,6/8/2014,16:30:00,74836,15.951,3.54,,,,
196,6/8/2014,16:45:00,74813,15.951,3.54,,,,
197,6/8/2014,17:00:00,74825,15.951,3.54,,,,
198,6/8/2014,17:15:00,74789,15.951,3.54,,,,
199,6/8/2014,17:30:00,74777,15.951,3.54,,,,
200,6/8/2014,17:45:00,74749,15.76,3.54,,,,
201,6/8/2014,18:00:00,74758,15.664,3.51,,,,
202,6/8/2014,18:15:00,74746,15.664,3.51,,,,
203,6/8/2014,18:30:00,74744,15.569,3.51,,,,
204,6/8/2014,18:45:00,74778,15.473,3.51,,,,
205,6/8/2014,19:00:00,74752,15.378,3.51,,,,
206,6/8/2014,19:15:00,74774,15.282,3.51,,,,
207,6/8/2014,19:30:00,74782,15.091,3.51,,,,
208,6/8/2014,19:45:00,74801,14.9,3.54,,,,
209,6/8/2014,20:00:00,74821,14.709,3.54,,,,
210,6/8/2014,20:15:00,74815,14.421,3.54,,,,
211,6/8/2014,20:30:00,74834,14.23,3.54,,,,
212,6/8/2014,20:45:00,74842,14.038,3.54,,,,
213,6/8/2014,21:00:00,74884,13.75,3.54,,,,
214,6/8/2014,21:15:00,74906,13.654,3.54,,,,
215,6/8/2014,21:30:00,74913,13.461,3.54,,,,
216,6/8/2014,21:45:00,74969,13.269,3.54,,,,
217,6/8/2014,22:00:00,74989,13.076,3.54,,,,
218,6/8/2014,22:15:00,74997,12.883,3.54,,,,
219,6/8/2014,22:30:00,75028,12.69,3.54,,,,
220,6/8/2014,22:45:00,75036,12.497,3.51,,,,
221,6/8/2014,23:00:00,75042,12.207,3.51,,,,
222,6/8/2014,23:15:00,75036,11.916,3.51,,,,
223,6/8/2014,23:30:00,75044,11.722,3.51,,,,
224,6/8/2014,23:45:00,75051,11.528,3.51,,,,
225,6/9/2014,0:00:00,75059,11.334,3.51,,,,
226,6/9/2014,0:15:00,75043,11.139,3.51,,,,
227,6/9/2014,0:30:00,75077,11.041,3.51,,,,
228,6/9/2014,0:45:00,75049,10.846,3.51,,,,
229,6/9/2014,1:00:00,75045,10.651,3.51,,,,
230,6/9/2014,1:15:00,75043,10.553,3.51,,,,
231,6/9/2014,1:30:00,75039,10.357,3.51,,,,
232,6/9/2014,1:45:00,75049,10.259,3.51,,,,
233,6/9/2014,2:00:00,75045,10.063,3.51,,,,
234,6/9/2014,2:15:00,75079,9.965,3.48,,,,
235,6/9/2014,2:30:00,75089,9.866,3.48,,,,
236,6/9/2014,2:45:00,75099,9.768,3.48,,,,
237,6/9/2014,3:00:00,75120,9.669,3.48,,,,
238,6/9/2014,3:15:00,75106,9.571,3.51,,,,
239,6/9/2014,3:30:00,75116,9.472,3.51,,,,
240,6/9/2014,3:45:00,75114,9.373,3.51,,,,
241,6/9/2014,4:00:00,75136,9.275,3.51,,,,
242,6/9/2014,4:15:00,75156,9.077,3.51,,,,
243,6/9/2014,4:30:00,75152,8.879,3.51,,,,
244,6/9/2014,4:45:00,75150,8.779,3.51,,,,
245,6/9/2014,5:00:00,75158,8.581,3.51,,,,
246,6/9/2014,5:15:00,75156,8.481,3.51,,,,
247,6/9/2014,5:30:00,75176,8.282,3.51,,,,
248,6/9/2014,5:45:00,75186,8.182,3.51,,,,
249,6/9/2014,6:00:00,75208,8.082,3.51,,,,
250,6/9/2014,6:15:00,75230,7.983,3.51,,,,
251,6/9/2014,6:30:00,75228,7.882,3.51,,,,
252,6/9/2014,6:45:00,75251,7.882,3.51,,,,
253,6/9/2014,7:00:00,75241,7.983,3.51,,,,
254,6/9/2014,7:15:00,75232,8.082,3.51,,,,
255,6/9/2014,7:30:00,75222,8.182,3.51,,,,
256,6/9/2014,7:45:00,75214,8.382,3.51,,,,
257,6/9/2014,8:00:00,75239,8.481,3.51,,,,
258,6/9/2014,8:15:00,75243,8.68,3.51,,,,
259,6/9/2014,8:30:00,75259,8.879,3.51,,,,
260,6/9/2014,8:45:00,75275,9.077,3.51,,,,
261,6/9/2014,9:00:00,75267,9.275,3.51,,,,
262,6/9/2014,9:15:00,75285,9.571,3.51,,,,
263,6/9/2014,9:30:00,75280,9.866,3.48,,,,
264,6/9/2014,9:45:00,75274,10.161,3.48,,,,
265,6/9/2014,10:00:00,75280,10.455,3.48,,,,
266,6/9/2014,10:15:00,75286,10.748,3.51,,,,
267,6/9/2014,10:30:00,75270,11.139,3.51,,,,
268,6/9/2014,10:45:00,75288,11.431,3.51,,,,
269,6/9/2014,11:00:00,75270,11.722,3.51,,,,
270,6/9/2014,11:15:00,75279,12.11,3.51,,,,
271,6/9/2014,11:30:00,75273,12.401,3.51,,,,
272,6/9/2014,11:45:00,75269,12.787,3.51,,,,
273,6/9/2014,12:00:00,75263,13.076,3.51,,,,
274,6/9/2014,12:15:00,75236,13.461,3.51,,,,
275,6/9/2014,12:30:00,75232,13.846,3.54,,,,
276,6/9/2014,12:45:00,75229,14.23,3.54,,,,
277,6/9/2014,13:00:00,75201,14.613,3.54,,,,
278,6/9/2014,13:15:00,75198,14.996,3.54,,,,
279,6/9/2014,13:30:00,75192,15.282,3.51,,,,
280,6/9/2014,13:45:00,75172,15.473,3.51,,,,
281,6/9/2014,14:00:00,75151,15.569,3.51,,,,
282,6/9/2014,14:15:00,75141,15.664,3.51,,,,
283,6/9/2014,14:30:00,75131,15.76,3.51,,,,
284,6/9/2014,14:45:00,75107,15.76,3.51,,,,
285,6/9/2014,15:00:00,75107,15.76,3.51,,,,
286,6/9/2014,15:15:00,75097,15.855,3.51,,,,
287,6/9/2014,15:30:00,75075,15.951,3.51,,,,
288,6/9/2014,15:45:00,75075,15.951,3.51,,,,
289,6/9/2014,16:00:00,75054,16.046,3.54,,,,
290,6/9/2014,16:15:00,75042,16.046,3.54,,,,
291,6/9/2014,16:30:00,75032,16.141,3.54,,,,
292,6/9/2014,16:45:00,75032,16.141,3.54,,,,
293,6/9/2014,17:00:00,75008,16.141,3.54,,,,
