Plot Title: 1280511 W La Jara 20141028-,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)",Coupler Detached (LGR S/N: 1280511),Coupler Attached (LGR S/N: 1280511),Stopped (LGR S/N: 1280511),End Of File (LGR S/N: 1280511)
1,10/28/2014,13:00:00,75448,6.37,Logged,,,
2,10/28/2014,13:30:00,75428,5.962,,,,
3,10/28/2014,14:00:00,75412,6.37,,,,
4,10/28/2014,14:30:00,75371,6.674,,,,
5,10/28/2014,15:00:00,75375,6.877,,,,
6,10/28/2014,15:30:00,75381,7.179,,,,
7,10/28/2014,16:00:00,75383,7.28,,,,
8,10/28/2014,16:30:00,75408,7.381,,,,
9,10/28/2014,17:00:00,75420,7.381,,,,
10,10/28/2014,17:30:00,75432,7.381,,,,
11,10/28/2014,18:00:00,75452,7.179,,,,
12,10/28/2014,18:30:00,75466,6.674,,,,
13,10/28/2014,19:00:00,75504,6.166,,,,
14,10/28/2014,19:30:00,75530,5.655,,,,
15,10/28/2014,20:00:00,75546,5.244,,,,
16,10/28/2014,20:30:00,75550,4.831,,,,
17,10/28/2014,21:00:00,75556,4.519,,,,
18,10/28/2014,21:30:00,75587,4.311,,,,
19,10/28/2014,22:00:00,75591,3.893,,,,
20,10/28/2014,22:30:00,75597,3.578,,,,
21,10/28/2014,23:00:00,75592,3.261,,,,
22,10/28/2014,23:30:00,75610,2.943,,,,
23,10/29/2014,0:00:00,75616,2.624,,,,
24,10/29/2014,0:30:00,75612,2.41,,,,
25,10/29/2014,1:00:00,75632,2.195,,,,
26,10/29/2014,1:30:00,75640,1.98,,,,
27,10/29/2014,2:00:00,75649,1.872,,,,
28,10/29/2014,2:30:00,75646,1.656,,,,
29,10/29/2014,3:00:00,75608,1.548,,,,
30,10/29/2014,3:30:00,75618,1.439,,,,
31,10/29/2014,4:00:00,75628,1.33,,,,
32,10/29/2014,4:30:00,75628,1.33,,,,
33,10/29/2014,5:00:00,75628,1.33,,,,
34,10/29/2014,5:30:00,75650,1.221,,,,
35,10/29/2014,6:00:00,75673,1.221,,,,
36,10/29/2014,6:30:00,75683,1.112,,,,
37,10/29/2014,7:00:00,75719,1.112,,,,
38,10/29/2014,7:30:00,75729,1.003,,,,
39,10/29/2014,8:00:00,75765,1.003,,,,
40,10/29/2014,8:30:00,75789,1.003,,,,
41,10/29/2014,9:00:00,75777,1.003,,,,
42,10/29/2014,9:30:00,75771,1.33,,,,
43,10/29/2014,10:00:00,75763,1.548,,,,
44,10/29/2014,10:30:00,75735,1.98,,,,
45,10/29/2014,11:00:00,75729,2.303,,,,
46,10/29/2014,11:30:00,75713,2.73,,,,
47,10/29/2014,12:00:00,75697,3.155,,,,
48,10/29/2014,12:30:00,75683,3.683,,,,
49,10/29/2014,13:00:00,75657,4.207,,,,
50,10/29/2014,13:30:00,75631,4.727,,,,
51,10/29/2014,14:00:00,75605,5.244,,,,
52,10/29/2014,14:30:00,75589,5.655,,,,
53,10/29/2014,15:00:00,75559,5.962,,,,
54,10/29/2014,15:30:00,75577,6.268,,,,
55,10/29/2014,16:00:00,75593,6.471,,,,
56,10/29/2014,16:30:00,75607,6.573,,,,
57,10/29/2014,17:00:00,75623,6.775,,,,
58,10/29/2014,17:30:00,75633,6.674,,,,
59,10/29/2014,18:00:00,75615,6.37,,,,
60,10/29/2014,18:30:00,75631,5.962,,,,
61,10/29/2014,19:00:00,75645,5.45,,,,
62,10/29/2014,19:30:00,75647,4.934,,,,
63,10/29/2014,20:00:00,75687,4.519,,,,
64,10/29/2014,20:30:00,75695,4.311,,,,
65,10/29/2014,21:00:00,75699,3.893,,,,
66,10/29/2014,21:30:00,75715,3.472,,,,
67,10/29/2014,22:00:00,75721,3.155,,,,
68,10/29/2014,22:30:00,75737,2.73,,,,
69,10/29/2014,23:00:00,75731,2.41,,,,
70,10/29/2014,23:30:00,75713,2.088,,,,
71,10/30/2014,0:00:00,75733,1.872,,,,
72,10/30/2014,0:30:00,75729,1.656,,,,
73,10/30/2014,1:00:00,75737,1.439,,,,
