Plot Title: WLaJa 9811671 20170522,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811671, SEN S/N: 9811671)","Temp, °C (LGR S/N: 9811671, SEN S/N: 9811671)",Coupler Detached (LGR S/N: 9811671),Coupler Attached (LGR S/N: 9811671),Stopped (LGR S/N: 9811671),End Of File (LGR S/N: 9811671)
1,6/26/2017,13:00:00,75989,17.855,Logged,,,
2,6/26/2017,13:15:00,75980,16.618,,,,
3,6/26/2017,13:30:00,75965,16.332,,,,
4,6/26/2017,13:45:00,76016,16.332,,,,
5,6/26/2017,14:00:00,75990,16.237,,,,
6,6/26/2017,14:15:00,75951,16.141,,,,
7,6/26/2017,14:30:00,75913,16.141,,,,
8,6/26/2017,14:45:00,75875,16.141,,,,
9,6/26/2017,15:00:00,75926,16.141,,,,
10,6/26/2017,15:15:00,75912,16.046,,,,
11,6/26/2017,15:30:00,75899,15.951,,,,
12,6/26/2017,15:45:00,75886,15.855,,,,
13,6/26/2017,16:00:00,75923,15.664,,,,
14,6/26/2017,16:15:00,75883,15.473,,,,
15,6/26/2017,16:30:00,75908,15.378,,,,
16,6/26/2017,16:45:00,75919,15.187,,,,
17,6/26/2017,17:00:00,75919,15.091,,,,
18,6/26/2017,17:15:00,75918,14.996,,,,
19,6/26/2017,17:30:00,75854,14.9,,,,
20,6/26/2017,17:45:00,75853,14.804,,,,
21,6/26/2017,18:00:00,75853,14.804,,,,
22,6/26/2017,18:15:00,75916,14.709,,,,
23,6/26/2017,18:30:00,75928,14.613,,,,
24,6/26/2017,18:45:00,75901,14.421,,,,
25,6/26/2017,19:00:00,75914,14.421,,,,
26,6/26/2017,19:15:00,75926,14.325,,,,
27,6/26/2017,19:30:00,75939,14.325,,,,
28,6/26/2017,19:45:00,75951,14.23,,,,
29,6/26/2017,20:00:00,75964,14.23,,,,
30,6/26/2017,20:15:00,75989,14.134,,,,
31,6/26/2017,20:30:00,75962,14.038,,,,
32,6/26/2017,20:45:00,75974,13.846,,,,
33,6/26/2017,21:00:00,75999,13.75,,,,
34,6/26/2017,21:15:00,75998,13.558,,,,
35,6/26/2017,21:30:00,75996,13.365,,,,
36,6/26/2017,21:45:00,76034,13.269,,,,
37,6/26/2017,22:00:00,76058,13.076,,,,
38,6/26/2017,22:15:00,76083,12.98,,,,
39,6/26/2017,22:30:00,76069,12.787,,,,
40,6/26/2017,22:45:00,76068,12.69,,,,
41,6/26/2017,23:00:00,76067,12.497,,,,
42,6/26/2017,23:15:00,76079,12.401,,,,
43,6/26/2017,23:30:00,76066,12.304,,,,
44,6/26/2017,23:45:00,76078,12.207,,,,
45,6/27/2017,0:00:00,76103,12.11,,,,
46,6/27/2017,0:15:00,76077,12.013,,,,
47,6/27/2017,0:30:00,76038,11.916,,,,
48,6/27/2017,0:45:00,76038,11.916,,,,
49,6/27/2017,1:00:00,76012,11.819,,,,
50,6/27/2017,1:15:00,75999,11.722,,,,
51,6/27/2017,1:30:00,76011,11.625,,,,
52,6/27/2017,1:45:00,75997,11.528,,,,
53,6/27/2017,2:00:00,75984,11.431,,,,
54,6/27/2017,2:15:00,75983,11.334,,,,
55,6/27/2017,2:30:00,75983,11.236,,,,
56,6/27/2017,2:45:00,75969,11.139,,,,
57,6/27/2017,3:00:00,75969,11.041,,,,
58,6/27/2017,3:15:00,75968,10.944,,,,
59,6/27/2017,3:30:00,75980,10.846,,,,
60,6/27/2017,3:45:00,75942,10.748,,,,
61,6/27/2017,4:00:00,75954,10.651,,,,
62,6/27/2017,4:15:00,75953,10.553,,,,
63,6/27/2017,4:30:00,75953,10.455,,,,
64,6/27/2017,4:45:00,75952,10.357,,,,
65,6/27/2017,5:00:00,75939,10.259,,,,
66,6/27/2017,5:15:00,75926,10.259,,,,
67,6/27/2017,5:30:00,75938,10.161,,,,
68,6/27/2017,5:45:00,75913,10.161,,,,
69,6/27/2017,6:00:00,75950,10.063,,,,
70,6/27/2017,6:15:00,75937,9.965,,,,
71,6/27/2017,6:30:00,75962,9.965,,,,
72,6/27/2017,6:45:00,75949,9.866,,,,
73,6/27/2017,7:00:00,75949,9.866,,,,
