Plot Title: WLaJa 9811671 20170522,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, psi (LGR S/N: 9811671, SEN S/N: 9811671)","Temp, °F (LGR S/N: 9811671, SEN S/N: 9811671)"
1,10/23/2017,13:00:00,11.0955,43.099
2,10/23/2017,13:30:00,11.0916,42.548
3,10/23/2017,14:00:00,11.0916,42.732
4,10/23/2017,14:30:00,11.0919,43.099
5,10/23/2017,15:00:00,11.0883,43.282
6,10/23/2017,15:30:00,11.0847,43.648
7,10/23/2017,16:00:00,11.0831,44.013
8,10/23/2017,16:30:00,11.0794,44.195
9,10/23/2017,17:00:00,11.0794,44.379
10,10/23/2017,17:30:00,11.0851,44.56
11,10/23/2017,18:00:00,11.0815,44.56
12,10/23/2017,18:30:00,11.0849,44.379
13,10/23/2017,19:00:00,11.0886,44.195
14,10/23/2017,19:30:00,11.0902,43.648
15,10/23/2017,20:00:00,11.0974,43.099
16,10/23/2017,20:30:00,11.0952,42.548
17,10/23/2017,21:00:00,11.1006,42.179
18,10/23/2017,21:30:00,11.1042,41.81
19,10/23/2017,22:00:00,11.1077,41.439
20,10/23/2017,22:30:00,11.1169,41.067
21,10/23/2017,23:00:00,11.1148,40.696
22,10/23/2017,23:30:00,11.1129,40.509
23,10/24/2017,0:00:00,11.1128,40.321
24,10/24/2017,0:30:00,11.1128,40.134
25,10/24/2017,1:00:00,11.1164,39.947
26,10/24/2017,1:30:00,11.1144,39.76
27,10/24/2017,2:00:00,11.1144,39.573
28,10/24/2017,2:30:00,11.1144,39.573
29,10/24/2017,3:00:00,11.1198,39.384
30,10/24/2017,3:30:00,11.1216,39.384
31,10/24/2017,4:00:00,11.1198,39.196
32,10/24/2017,4:30:00,11.1215,39.007
33,10/24/2017,5:00:00,11.1215,38.818
34,10/24/2017,5:30:00,11.1213,38.44
35,10/24/2017,6:00:00,11.125,38.25
36,10/24/2017,6:30:00,11.1229,37.87
37,10/24/2017,7:00:00,11.1247,37.679
38,10/24/2017,7:30:00,11.1264,37.297
39,10/24/2017,8:00:00,11.1282,37.107
40,10/24/2017,8:30:00,11.1337,36.914
41,10/24/2017,9:00:00,11.1335,36.723
42,10/24/2017,9:30:00,11.1337,37.107
43,10/24/2017,10:00:00,11.1302,37.488
44,10/24/2017,10:30:00,11.1267,38.061
45,10/24/2017,11:00:00,11.1251,38.629
46,10/24/2017,11:30:00,11.127,39.007
47,10/24/2017,12:00:00,11.1235,39.384
48,10/24/2017,12:30:00,11.1182,39.947
49,10/24/2017,13:00:00,11.1128,40.321
50,10/24/2017,13:30:00,11.1112,40.881
51,10/24/2017,14:00:00,11.1096,41.439
52,10/24/2017,14:30:00,11.1061,41.81
53,10/24/2017,15:00:00,11.1044,42.179
54,10/24/2017,15:30:00,11.1026,42.363
55,10/24/2017,16:00:00,11.1064,42.732
56,10/24/2017,16:30:00,11.1047,42.915
57,10/24/2017,17:00:00,11.1029,43.099
58,10/24/2017,17:30:00,11.1084,43.099
59,10/24/2017,18:00:00,11.1048,43.099
60,10/24/2017,18:30:00,11.1066,43.099
61,10/24/2017,19:00:00,11.1082,42.548
62,10/24/2017,19:30:00,11.1099,42.179
63,10/24/2017,20:00:00,11.1134,41.625
64,10/24/2017,20:30:00,11.1132,41.254
65,10/24/2017,21:00:00,11.1112,40.696
66,10/24/2017,21:30:00,11.1128,40.321
67,10/24/2017,22:00:00,11.1182,39.947
68,10/24/2017,22:30:00,11.1182,39.76
69,10/24/2017,23:00:00,11.118,39.384
70,10/24/2017,23:30:00,11.1198,39.384
71,10/25/2017,0:00:00,11.1179,39.196
72,10/25/2017,0:30:00,11.1179,39.196
73,10/25/2017,1:00:00,11.1158,38.818
74,10/25/2017,1:30:00,11.1121,38.44
75,10/25/2017,2:00:00,11.1119,38.061
76,10/25/2017,2:30:00,11.1118,37.87
77,10/25/2017,3:00:00,11.1063,37.679
78,10/25/2017,3:30:00,11.1042,37.297
79,10/25/2017,4:00:00,11.1023,37.107
80,10/25/2017,4:30:00,11.1022,36.914
81,10/25/2017,5:00:00,11.1003,36.723
82,10/25/2017,5:30:00,11.0984,36.531
83,10/25/2017,6:00:00,11.0947,36.338
84,10/25/2017,6:30:00,11.0965,36.338
85,10/25/2017,7:00:00,11.0964,36.145
86,10/25/2017,7:30:00,11.0909,35.951
87,10/25/2017,8:00:00,11.0909,35.951
88,10/25/2017,8:30:00,11.0889,35.758
89,10/25/2017,9:00:00,11.0926,35.758
90,10/25/2017,9:30:00,11.0945,35.951
91,10/25/2017,10:00:00,11.089,36.145
92,10/25/2017,10:30:00,11.0855,36.723
93,10/25/2017,11:00:00,11.0803,37.297
94,10/25/2017,11:30:00,11.0787,38.061
95,10/25/2017,12:00:00,11.0771,38.629
96,10/25/2017,12:30:00,11.0717,39.007
97,10/25/2017,13:00:00,11.0626,39.196
98,10/25/2017,13:30:00,11.0554,39.76
99,10/25/2017,14:00:00,11.05,40.134
100,10/25/2017,14:30:00,11.0427,40.509
101,10/25/2017,15:00:00,11.0411,40.881
102,10/25/2017,15:30:00,11.0394,41.067
103,10/25/2017,16:00:00,11.0339,41.254
104,10/25/2017,16:30:00,11.0266,41.439
105,10/25/2017,17:00:00,11.0211,41.625
106,10/25/2017,17:30:00,11.0175,41.625
107,10/25/2017,18:00:00,11.0137,41.625
108,10/25/2017,18:30:00,11.0118,41.625
109,10/25/2017,19:00:00,11.0117,41.254
110,10/25/2017,19:30:00,11.0079,40.881
111,10/25/2017,20:00:00,11.0023,40.509
112,10/25/2017,20:30:00,11.0002,40.134
113,10/25/2017,21:00:00,11.002,39.76
114,10/25/2017,21:30:00,10.9963,39.573
115,10/25/2017,22:00:00,10.9962,39.384
116,10/25/2017,22:30:00,10.9943,39.196
117,10/25/2017,23:00:00,10.9926,39.196
118,10/25/2017,23:30:00,10.985,38.818
119,10/26/2017,0:00:00,10.983,38.629
120,10/26/2017,0:30:00,10.9792,38.25
121,10/26/2017,1:00:00,10.9736,38.061
122,10/26/2017,1:30:00,10.9698,37.679
123,10/26/2017,2:00:00,10.966,37.488
124,10/26/2017,2:30:00,10.9678,37.297
125,10/26/2017,3:00:00,10.9659,37.107
126,10/26/2017,3:30:00,10.9621,36.914
127,10/26/2017,4:00:00,10.9583,36.723
128,10/26/2017,4:30:00,10.9602,36.723
129,10/26/2017,5:00:00,10.9602,36.531
130,10/26/2017,5:30:00,10.962,36.338
131,10/26/2017,6:00:00,10.9638,36.338
132,10/26/2017,6:30:00,10.9618,36.145
133,10/26/2017,7:00:00,10.958,35.951
134,10/26/2017,7:30:00,10.9599,35.951
135,10/26/2017,8:00:00,10.9599,35.758
136,10/26/2017,8:30:00,10.9599,35.758
137,10/26/2017,9:00:00,10.9599,35.758
138,10/26/2017,9:30:00,10.958,35.951
139,10/26/2017,10:00:00,10.9527,36.338
140,10/26/2017,10:30:00,10.9548,37.107
141,10/26/2017,11:00:00,10.9496,37.87
142,10/26/2017,11:30:00,10.9479,38.44
143,10/26/2017,12:00:00,10.9463,38.818
