Plot Title: WLaJa 9811671 20180517,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811671, SEN S/N: 9811671)","Temp, °C (LGR S/N: 9811671, SEN S/N: 9811671)",Coupler Detached (LGR S/N: 9811671),Coupler Attached (LGR S/N: 9811671),Stopped (LGR S/N: 9811671),End Of File (LGR S/N: 9811671)
1,5/17/2018,14:30:00,75116,11.041,Logged,,,
2,5/17/2018,14:45:00,75091,11.139,,,,
3,5/17/2018,15:00:00,75066,11.236,,,,
4,5/17/2018,15:15:00,75066,11.334,,,,
5,5/17/2018,15:30:00,75029,11.431,,,,
6,5/17/2018,15:45:00,75017,11.528,,,,
7,5/17/2018,16:00:00,74966,11.625,,,,
8,5/17/2018,16:15:00,74954,11.722,,,,
9,5/17/2018,16:30:00,74929,11.819,,,,
10,5/17/2018,16:45:00,74929,11.819,,,,
11,5/17/2018,17:00:00,74930,11.916,,,,
12,5/17/2018,17:15:00,74930,12.013,,,,
13,5/17/2018,17:30:00,74918,12.013,,,,
14,5/17/2018,17:45:00,74879,12.013,,,,
15,5/17/2018,18:00:00,74879,12.013,,,,
16,5/17/2018,18:15:00,74867,12.013,,,,
17,5/17/2018,18:30:00,74867,12.013,,,,
18,5/17/2018,18:45:00,74854,12.013,,,,
19,5/17/2018,19:00:00,74841,11.916,,,,
20,5/17/2018,19:15:00,74840,11.819,,,,
21,5/17/2018,19:30:00,74852,11.722,,,,
22,5/17/2018,19:45:00,74851,11.528,,,,
23,5/17/2018,20:00:00,74850,11.431,,,,
24,5/17/2018,20:15:00,74863,11.334,,,,
25,5/17/2018,20:30:00,74862,11.236,,,,
26,5/17/2018,20:45:00,74861,11.139,,,,
27,5/17/2018,21:00:00,74873,10.944,,,,
28,5/17/2018,21:15:00,74885,10.748,,,,
29,5/17/2018,21:30:00,74883,10.553,,,,
30,5/17/2018,21:45:00,74908,10.357,,,,
31,5/17/2018,22:00:00,74920,10.259,,,,
32,5/17/2018,22:15:00,74932,10.161,,,,
33,5/17/2018,22:30:00,74944,10.063,,,,
34,5/17/2018,22:45:00,74930,9.866,,,,
35,5/17/2018,23:00:00,74943,9.866,,,,
36,5/17/2018,23:15:00,74955,9.768,,,,
37,5/17/2018,23:30:00,74942,9.669,,,,
38,5/17/2018,23:45:00,74929,9.571,,,,
39,5/18/2018,0:00:00,74928,9.472,,,,
40,5/18/2018,0:15:00,74940,9.373,,,,
41,5/18/2018,0:30:00,74940,9.275,,,,
42,5/18/2018,0:45:00,74927,9.176,,,,
43,5/18/2018,1:00:00,74926,9.077,,,,
44,5/18/2018,1:15:00,74900,8.879,,,,
45,5/18/2018,1:30:00,74900,8.879,,,,
46,5/18/2018,1:45:00,74886,8.779,,,,
47,5/18/2018,2:00:00,74911,8.68,,,,
48,5/18/2018,2:15:00,74911,8.581,,,,
49,5/18/2018,2:30:00,74898,8.581,,,,
50,5/18/2018,2:45:00,74935,8.382,,,,
51,5/18/2018,3:00:00,74922,8.282,,,,
52,5/18/2018,3:15:00,74921,8.182,,,,
53,5/18/2018,3:30:00,74933,7.983,,,,
54,5/18/2018,3:45:00,74932,7.782,,,,
55,5/18/2018,4:00:00,74918,7.582,,,,
56,5/18/2018,4:15:00,74917,7.381,,,,
57,5/18/2018,4:30:00,74903,7.179,,,,
58,5/18/2018,4:45:00,74902,6.978,,,,
59,5/18/2018,5:00:00,74888,6.775,,,,
60,5/18/2018,5:15:00,74887,6.573,,,,
61,5/18/2018,5:30:00,74912,6.37,,,,
62,5/18/2018,5:45:00,74923,6.166,,,,
63,5/18/2018,6:00:00,74923,6.064,,,,
64,5/18/2018,6:15:00,74909,5.86,,,,
65,5/18/2018,6:30:00,74921,5.757,,,,
66,5/18/2018,6:45:00,74908,5.655,,,,
67,5/18/2018,7:00:00,74921,5.655,,,,
68,5/18/2018,7:15:00,74934,5.655,,,,
69,5/18/2018,7:30:00,74947,5.86,,,,
70,5/18/2018,7:45:00,74948,5.962,,,,
71,5/18/2018,8:00:00,74949,6.166,,,,
72,5/18/2018,8:15:00,74963,6.37,,,,
73,5/18/2018,8:30:00,74926,6.573,,,,
74,5/18/2018,8:45:00,74927,6.877,,,,
75,5/18/2018,9:00:00,74928,7.079,,,,
76,5/18/2018,9:15:00,74942,7.381,,,,
77,5/18/2018,9:30:00,74918,7.582,,,,
78,5/18/2018,9:45:00,74919,7.782,,,,
79,5/18/2018,10:00:00,74921,8.082,,,,
80,5/18/2018,10:15:00,74896,8.282,,,,
81,5/18/2018,10:30:00,74911,8.581,,,,
82,5/18/2018,10:45:00,74886,8.779,,,,
83,5/18/2018,11:00:00,74888,9.077,,,,
84,5/18/2018,11:15:00,74889,9.275,,,,
85,5/18/2018,11:30:00,74865,9.472,,,,
86,5/18/2018,11:45:00,74866,9.669,,,,
87,5/18/2018,12:00:00,74880,9.866,,,,
88,5/18/2018,12:15:00,74868,10.063,,,,
89,5/18/2018,12:30:00,74831,10.259,,,,
90,5/18/2018,12:45:00,74845,10.455,,,,
91,5/18/2018,13:00:00,74820,10.651,,,,
92,5/18/2018,13:15:00,74834,10.846,,,,
93,5/18/2018,13:30:00,74810,11.041,,,,
94,5/18/2018,13:45:00,74798,11.139,,,,
95,5/18/2018,14:00:00,74812,11.334,,,,
96,5/18/2018,14:15:00,74799,11.431,,,,
97,5/18/2018,14:30:00,74801,11.625,,,,
98,5/18/2018,14:45:00,74763,11.722,,,,
99,5/18/2018,15:00:00,74764,11.916,,,,
100,5/18/2018,15:15:00,74739,12.013,,,,
101,5/18/2018,15:30:00,74739,12.013,,,,
102,5/18/2018,15:45:00,74740,12.11,,,,
103,5/18/2018,16:00:00,74753,12.11,,,,
104,5/18/2018,16:15:00,74753,12.11,,,,
105,5/18/2018,16:30:00,74727,12.013,,,,
106,5/18/2018,16:45:00,74739,11.916,,,,
107,5/18/2018,17:00:00,74738,11.819,,,,
108,5/18/2018,17:15:00,74712,11.722,,,,
109,5/18/2018,17:30:00,74686,11.625,,,,
110,5/18/2018,17:45:00,74699,11.625,,,,
111,5/18/2018,18:00:00,74698,11.528,,,,
112,5/18/2018,18:15:00,74685,11.528,,,,
113,5/18/2018,18:30:00,74723,11.431,,,,
114,5/18/2018,18:45:00,74723,11.334,,,,
115,5/18/2018,19:00:00,74735,11.334,,,,
116,5/18/2018,19:15:00,74722,11.236,,,,
117,5/18/2018,19:30:00,74721,11.139,,,,
118,5/18/2018,19:45:00,74746,11.041,,,,
119,5/18/2018,20:00:00,74758,10.846,,,,
120,5/18/2018,20:15:00,74757,10.748,,,,
121,5/18/2018,20:30:00,74769,10.553,,,,
122,5/18/2018,20:45:00,74793,10.259,,,,
123,5/18/2018,21:00:00,74753,9.965,,,,
124,5/18/2018,21:15:00,74790,9.768,,,,
125,5/18/2018,21:30:00,74776,9.571,,,,
126,5/18/2018,21:45:00,74826,9.373,,,,
127,5/18/2018,22:00:00,74825,9.176,,,,
128,5/18/2018,22:15:00,74849,8.978,,,,
129,5/18/2018,22:30:00,74860,8.68,,,,
130,5/18/2018,22:45:00,74885,8.481,,,,
131,5/18/2018,23:00:00,74896,8.282,,,,
132,5/18/2018,23:15:00,74895,7.983,,,,
133,5/18/2018,23:30:00,74881,7.782,,,,
134,5/18/2018,23:45:00,74880,7.582,,,,
135,5/19/2018,0:00:00,74879,7.381,,,,
136,5/19/2018,0:15:00,74915,7.079,,,,
137,5/19/2018,0:30:00,74928,6.978,,,,
138,5/19/2018,0:45:00,74914,6.775,,,,
139,5/19/2018,1:00:00,74926,6.573,,,,
140,5/19/2018,1:15:00,74937,6.37,,,,
141,5/19/2018,1:30:00,74936,6.166,,,,
142,5/19/2018,1:45:00,74935,5.962,,,,
143,5/19/2018,2:00:00,74934,5.757,,,,
144,5/19/2018,2:15:00,74934,5.655,,,,
145,5/19/2018,2:30:00,74958,5.45,,,,
146,5/19/2018,2:45:00,74957,5.244,,,,
147,5/19/2018,3:00:00,74957,5.141,,,,
148,5/19/2018,3:15:00,74968,4.934,,,,
149,5/19/2018,3:30:00,74968,4.831,,,,
150,5/19/2018,3:45:00,74980,4.727,,,,
151,5/19/2018,4:00:00,75005,4.519,,,,
152,5/19/2018,4:15:00,74991,4.415,,,,
153,5/19/2018,4:30:00,74991,4.311,,,,
154,5/19/2018,4:45:00,75004,4.311,,,,
155,5/19/2018,5:00:00,75016,4.311,,,,
156,5/19/2018,5:15:00,75029,4.207,,,,
157,5/19/2018,5:30:00,75016,4.207,,,,
158,5/19/2018,5:45:00,75028,4.102,,,,
159,5/19/2018,6:00:00,75041,4.102,,,,
160,5/19/2018,6:15:00,75053,3.998,,,,
161,5/19/2018,6:30:00,75053,3.893,,,,
162,5/19/2018,6:45:00,75052,3.788,,,,
163,5/19/2018,7:00:00,75065,3.788,,,,
164,5/19/2018,7:15:00,75077,3.788,,,,
165,5/19/2018,7:30:00,75077,3.788,,,,
166,5/19/2018,7:45:00,75078,3.893,,,,
167,5/19/2018,8:00:00,75078,3.893,,,,
168,5/19/2018,8:15:00,75066,3.998,,,,
169,5/19/2018,8:30:00,75066,4.102,,,,
170,5/19/2018,8:45:00,75055,4.519,,,,
171,5/19/2018,9:00:00,75082,4.727,,,,
172,5/19/2018,9:15:00,75058,5.141,,,,
173,5/19/2018,9:30:00,75073,5.45,,,,
174,5/19/2018,9:45:00,75062,5.86,,,,
175,5/19/2018,10:00:00,75076,6.166,,,,
176,5/19/2018,10:15:00,75078,6.573,,,,
177,5/19/2018,10:30:00,75067,6.877,,,,
178,5/19/2018,10:45:00,75081,7.179,,,,
179,5/19/2018,11:00:00,75096,7.481,,,,
180,5/19/2018,11:15:00,75071,7.682,,,,
181,5/19/2018,11:30:00,75098,7.882,,,,
182,5/19/2018,11:45:00,75086,8.082,,,,
183,5/19/2018,12:00:00,75087,8.282,,,,
184,5/19/2018,12:15:00,75089,8.581,,,,
185,5/19/2018,12:30:00,75077,8.779,,,,
186,5/19/2018,12:45:00,75066,9.077,,,,
187,5/19/2018,13:00:00,75080,9.275,,,,
188,5/19/2018,13:15:00,75068,9.472,,,,
189,5/19/2018,13:30:00,75045,9.768,,,,
190,5/19/2018,13:45:00,75084,9.965,,,,
191,5/19/2018,14:00:00,75060,10.161,,,,
192,5/19/2018,14:15:00,75061,10.357,,,,
193,5/19/2018,14:30:00,75087,10.455,,,,
194,5/19/2018,14:45:00,75087,10.553,,,,
195,5/19/2018,15:00:00,75063,10.748,,,,
196,5/19/2018,15:15:00,75051,10.846,,,,
197,5/19/2018,15:30:00,75025,10.846,,,,
198,5/19/2018,15:45:00,75013,10.944,,,,
199,5/19/2018,16:00:00,75026,10.944,,,,
200,5/19/2018,16:15:00,75001,11.041,,,,
201,5/19/2018,16:30:00,75002,11.139,,,,
202,5/19/2018,16:45:00,74989,11.139,,,,
203,5/19/2018,17:00:00,74989,11.139,,,,
204,5/19/2018,17:15:00,74989,11.139,,,,
205,5/19/2018,17:30:00,74963,11.041,,,,
206,5/19/2018,17:45:00,74975,11.041,,,,
207,5/19/2018,18:00:00,74963,11.041,,,,
208,5/19/2018,18:15:00,74975,11.041,,,,
209,5/19/2018,18:30:00,74962,10.944,,,,
210,5/19/2018,18:45:00,74962,10.944,,,,
211,5/19/2018,19:00:00,74987,10.846,,,,
212,5/19/2018,19:15:00,74987,10.846,,,,
213,5/19/2018,19:30:00,74987,10.748,,,,
214,5/19/2018,19:45:00,74999,10.651,,,,
215,5/19/2018,20:00:00,75011,10.553,,,,
216,5/19/2018,20:15:00,75022,10.357,,,,
217,5/19/2018,20:30:00,75021,10.161,,,,
218,5/19/2018,20:45:00,75045,9.866,,,,
219,5/19/2018,21:00:00,75082,9.571,,,,
220,5/19/2018,21:15:00,75093,9.275,,,,
221,5/19/2018,21:30:00,75116,8.978,,,,
222,5/19/2018,21:45:00,75140,8.68,,,,
223,5/19/2018,22:00:00,75139,8.382,,,,
224,5/19/2018,22:15:00,75163,8.182,,,,
225,5/19/2018,22:30:00,75161,7.882,,,,
226,5/19/2018,22:45:00,75211,7.682,,,,
227,5/19/2018,23:00:00,75197,7.481,,,,
228,5/19/2018,23:15:00,75209,7.28,,,,
229,5/19/2018,23:30:00,75209,7.179,,,,
230,5/19/2018,23:45:00,75195,7.079,,,,
231,5/20/2018,0:00:00,75208,6.978,,,,
232,5/20/2018,0:15:00,75194,6.877,,,,
233,5/20/2018,0:30:00,75194,6.775,,,,
234,5/20/2018,0:45:00,75206,6.775,,,,
235,5/20/2018,1:00:00,75181,6.674,,,,
236,5/20/2018,1:15:00,75180,6.573,,,,
237,5/20/2018,1:30:00,75179,6.471,,,,
238,5/20/2018,1:45:00,75205,6.471,,,,
239,5/20/2018,2:00:00,75204,6.37,,,,
240,5/20/2018,2:15:00,75178,6.268,,,,
