Plot Title: LwrRed 10499411 20171102,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499411, SEN S/N: 10499411)","Temp, °C (LGR S/N: 10499411, SEN S/N: 10499411)",Coupler Detached (LGR S/N: 10499411),End Of File (LGR S/N: 10499411)
1,3/1/1980,22:31:55,77563,5.45,Logged,
2,3/1/1980,23:01:55,77560,4.727,,
3,3/1/1980,23:31:55,77557,4.623,,
4,3/2/1980,0:01:55,77557,4.623,,
5,3/2/1980,0:31:55,77536,4.623,,
6,3/2/1980,1:01:55,77557,4.623,,
7,3/2/1980,1:31:55,77591,4.727,,
8,3/2/1980,2:01:55,77591,4.727,,
9,3/2/1980,2:31:55,77602,4.727,,
10,3/2/1980,3:01:55,77602,4.727,,
11,3/2/1980,3:31:55,77612,4.727,,
12,3/2/1980,4:01:55,77644,4.727,,
13,3/2/1980,4:31:55,77682,4.623,,
14,3/2/1980,5:01:55,77710,4.519,,
15,3/2/1980,5:31:55,77707,4.415,,
16,3/2/1980,6:01:55,77745,4.311,,
17,3/2/1980,6:31:55,77752,4.207,,
18,3/2/1980,7:01:55,77766,3.998,,
19,3/2/1980,7:31:55,77773,3.893,,
20,3/2/1980,8:01:55,77790,3.788,,
21,3/2/1980,8:31:55,77783,3.578,,
22,3/2/1980,9:01:55,77756,3.367,,
23,3/2/1980,9:31:55,77742,3.261,,
24,3/2/1980,10:01:55,77738,3.155,,
25,3/2/1980,10:31:55,77766,3.049,,
26,3/2/1980,11:01:55,77794,2.943,,
27,3/2/1980,11:31:55,77787,2.73,,
28,3/2/1980,12:01:55,77783,2.624,,
29,3/2/1980,12:31:55,77770,2.517,,
30,3/2/1980,13:01:55,77763,2.303,,
31,3/2/1980,13:31:55,77770,2.195,,
32,3/2/1980,14:01:55,77766,2.088,,Logged
