"Plot Title: LwrRed 10499411 20181016"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499411, SEN S/N: 10499411)","Temp, °C (LGR S/N: 10499411, SEN S/N: 10499411)","Coupler Detached (LGR S/N: 10499411)","Coupler Attached (LGR S/N: 10499411)","Host Connected (LGR S/N: 10499411)","Stopped (LGR S/N: 10499411)","End Of File (LGR S/N: 10499411)"
1,01/01/70 12:00:00 AM,101970,-0.102,Logged,,,,
2,01/01/70 12:00:00 AM,101675,-0.102,,,,,
3,01/01/70 12:00:00 AM,101359,-0.102,,,,,
4,01/01/70 12:00:00 AM,101074,-0.102,,,,,
5,01/01/70 12:00:00 AM,100758,-0.102,,,,,
6,01/01/70 12:00:00 AM,100420,-0.102,,,,,
7,01/01/70 12:00:00 AM,100020,-0.102,,,,,
8,01/01/70 12:00:00 AM,99599,-0.102,,,,,
9,01/01/70 12:00:00 AM,99209,-0.102,,,,,
10,01/01/70 12:00:00 AM,98840,-0.102,,,,,
11,01/01/70 12:00:00 AM,98514,-0.102,,,,,
12,01/01/70 12:00:00 AM,98198,-0.102,,,,,
13,01/01/70 12:00:00 AM,97893,-0.102,,,,,
14,01/01/70 12:00:00 AM,97661,-0.102,,,,,
15,01/01/70 12:00:00 AM,97440,-0.102,,,,,
16,01/01/70 12:00:00 AM,97272,-0.102,,,,,
17,01/01/70 12:00:00 AM,97103,-0.102,,,,,
18,01/01/70 12:00:00 AM,96945,-0.102,,,,,
19,01/01/70 12:00:00 AM,96809,-0.102,,,,,
20,01/01/70 12:00:00 AM,96682,-0.102,,,,,
21,01/01/70 12:00:00 AM,96609,-0.102,,,,,
22,01/01/70 12:00:00 AM,96556,-0.102,,,,,
23,01/01/70 12:00:00 AM,96504,-0.102,,,,,
24,01/01/70 12:00:00 AM,96472,-0.102,,,,,
25,01/01/70 12:00:00 AM,96462,-0.102,,,,,
26,01/01/70 12:00:00 AM,96472,-0.102,,,,,
27,01/01/70 12:00:00 AM,96535,-0.102,,,,,
28,01/01/70 12:00:00 AM,96609,-0.102,,,,,
29,01/01/70 12:00:00 AM,96703,-0.102,,,,,
30,01/01/70 12:00:00 AM,96777,-0.102,,,,,
31,01/01/70 12:00:00 AM,96893,-0.102,,,,,
32,01/01/70 12:00:00 AM,96998,-0.102,,,,,
33,01/01/70 12:00:00 AM,97093,-0.102,,,,,
34,01/01/70 12:00:00 AM,97177,-0.102,,,,,
35,01/01/70 12:00:00 AM,97251,-0.102,,,,,
36,01/01/70 12:00:00 AM,97324,-0.102,,,,,
37,01/01/70 12:00:00 AM,97430,-0.102,,,,,
38,01/01/70 12:00:00 AM,97535,-0.102,,,,,
39,01/01/70 12:00:00 AM,97629,-0.102,,,,,
40,01/01/70 12:00:00 AM,97745,-0.102,,,,,
41,01/01/70 12:00:00 AM,97850,-0.102,,,,,
42,01/01/70 12:00:00 AM,97945,-0.102,,,,,
43,01/01/70 12:00:00 AM,98050,-0.102,,,,,
44,01/01/70 12:00:00 AM,98145,-0.102,,,,,
45,01/01/70 12:00:00 AM,98261,-0.102,,,,,
46,01/01/70 12:00:00 AM,98387,-0.102,,,,,
47,01/01/70 12:00:00 AM,98524,-0.102,,,,,
48,01/01/70 12:00:00 AM,98661,-0.102,,,,,
49,01/01/70 12:00:00 AM,98777,-0.102,,,,,
50,01/01/70 12:00:00 AM,98914,-0.102,,,,,
51,01/01/70 12:00:00 AM,99051,-0.102,,,,,
52,01/01/70 12:00:00 AM,99177,-0.102,,,,,
53,01/01/70 12:00:00 AM,99293,-0.102,,,,,
54,01/01/70 12:00:00 AM,99356,-0.102,,,,,
55,01/01/70 12:00:00 AM,99335,-0.102,,,,,
56,01/01/70 12:00:00 AM,99093,-0.102,,,,,
57,01/01/70 12:00:00 AM,98861,-0.102,,,,,
58,01/01/70 12:00:00 AM,98651,-0.102,,,,,
59,01/01/70 12:00:00 AM,98408,-0.102,,,,,
60,01/01/70 12:00:00 AM,98198,-0.102,,,,,
61,01/01/70 12:00:00 AM,97987,-0.102,,,,,
62,01/01/70 12:00:00 AM,97819,-0.102,,,,,
63,01/01/70 12:00:00 AM,97703,-0.102,,,,,
64,01/01/70 12:00:00 AM,97629,-0.102,,,,,
65,01/01/70 12:00:00 AM,97619,-0.102,,,,,
66,01/01/70 12:00:00 AM,97629,-0.102,,,,,
67,01/01/70 12:00:00 AM,97682,-0.102,,,,,
68,01/01/70 12:00:00 AM,97808,-0.102,,,,,
69,01/01/70 12:00:00 AM,97956,-0.102,,,,,
70,01/01/70 12:00:00 AM,98177,-0.102,,,,,
71,01/01/70 12:00:00 AM,98398,-0.102,,,,,
72,01/01/70 12:00:00 AM,98682,-0.102,,,,,
73,01/01/70 12:00:00 AM,98977,-0.102,,,,,
74,01/01/70 12:00:00 AM,99283,-0.102,,,,,
75,01/01/70 12:00:00 AM,99651,-0.102,,,,,
76,01/01/70 12:00:00 AM,100020,-0.102,,,,,
77,01/01/70 12:00:00 AM,100378,-0.102,,,,,
