Plot Title: Redondo Creek,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280508, SEN S/N: 1280508)","Temp, °C (LGR S/N: 1280508, SEN S/N: 1280508)","Batt, V (LGR S/N: 1280508, SEN S/N: 1280508)",Coupler Detached (LGR S/N: 1280508),End Of File (LGR S/N: 1280508)
1,7/3/2008,15:25:36,81030,25.222,3.51,,
2,7/3/2008,15:26:08,,,,Logged,
3,7/3/2008,15:30:36,81035,26,3.48,,
4,7/3/2008,15:35:36,80731,25.902,3.48,,
5,7/3/2008,15:40:36,79887,26.097,3.48,,
6,7/3/2008,15:45:36,77509,26.292,3.48,,
7,7/3/2008,15:50:36,76787,26.39,3.48,,
8,7/3/2008,15:55:36,76746,26.39,3.48,,
9,7/3/2008,16:00:36,77929,20.71,3.48,,
10,7/3/2008,16:05:36,78002,17.95,3.48,,
11,7/3/2008,16:10:36,78027,17.379,3.48,,
12,7/3/2008,16:15:36,78008,17.189,3.46,,
13,7/3/2008,16:20:36,77988,17.189,3.46,,
14,7/3/2008,16:25:36,77998,17.189,3.46,,
15,7/3/2008,16:30:36,77998,17.189,3.46,,
16,7/3/2008,16:35:36,77988,17.189,3.46,,
17,7/3/2008,16:40:36,77978,17.189,3.46,,
18,7/3/2008,16:45:36,77958,17.189,3.46,,
19,7/3/2008,16:50:36,77998,17.189,3.46,,
20,7/3/2008,16:55:36,77988,17.189,3.46,,
21,7/3/2008,17:00:36,77968,17.189,3.46,,
22,7/3/2008,17:05:36,77978,17.189,3.46,,
23,7/3/2008,17:10:36,77988,17.189,3.46,,
24,7/3/2008,17:15:36,77978,17.189,3.46,,
25,7/3/2008,17:20:36,77978,17.189,3.46,,
26,7/3/2008,17:25:36,77958,17.189,3.46,,
27,7/3/2008,17:30:36,77978,17.189,3.46,,
28,7/3/2008,17:35:36,77947,17.189,3.46,,
29,7/3/2008,17:40:36,77978,17.189,3.46,,
30,7/3/2008,17:45:36,77968,17.189,3.46,,
31,7/3/2008,17:50:36,77968,17.094,3.46,,
32,7/3/2008,17:55:36,77979,17.094,3.46,,
33,7/3/2008,18:00:36,77968,17.094,3.46,,
34,7/3/2008,18:05:36,77968,17.094,3.46,,
35,7/3/2008,18:10:36,77958,17.094,3.46,,
36,7/3/2008,18:15:36,77958,17.094,3.46,,
37,7/3/2008,18:20:36,77969,16.999,3.46,,
38,7/3/2008,18:25:36,77979,16.999,3.46,,
39,7/3/2008,18:30:36,77990,16.999,3.46,,
40,7/3/2008,18:35:36,77990,16.999,3.46,,
41,7/3/2008,18:40:36,77979,16.999,3.46,,
42,7/3/2008,18:45:36,77970,16.903,3.46,,
43,7/3/2008,18:50:36,77970,16.903,3.46,,
44,7/3/2008,18:55:36,77980,16.903,3.46,,
45,7/3/2008,19:00:36,77970,16.903,3.46,,
46,7/3/2008,19:05:36,77971,16.808,3.46,,
47,7/3/2008,19:10:36,77961,16.808,3.46,,
48,7/3/2008,19:15:36,77981,16.808,3.46,,
49,7/3/2008,19:20:36,77971,16.808,3.46,,
50,7/3/2008,19:25:36,77962,16.713,3.46,,
51,7/3/2008,19:30:36,77951,16.713,3.46,,
52,7/3/2008,19:35:36,77941,16.713,3.46,,
53,7/3/2008,19:40:36,77951,16.713,3.46,,
54,7/3/2008,19:45:36,77962,16.618,3.46,,
55,7/3/2008,19:50:36,77962,16.618,3.46,,
56,7/3/2008,19:55:36,77962,16.618,3.46,,
57,7/3/2008,20:00:36,77973,16.523,3.46,,
58,7/3/2008,20:05:36,77973,16.523,3.46,,
59,7/3/2008,20:10:36,77983,16.523,3.46,,
60,7/3/2008,20:15:36,77994,16.427,3.46,,
61,7/3/2008,20:20:36,78004,16.427,3.46,,
62,7/3/2008,20:25:36,77994,16.427,3.46,,
63,7/3/2008,20:30:36,77984,16.427,3.46,,
64,7/3/2008,20:35:36,78005,16.332,3.46,,
65,7/3/2008,20:40:36,77985,16.332,3.46,,
66,7/3/2008,20:45:36,78006,16.237,3.46,,
67,7/3/2008,20:50:36,78016,16.237,3.46,,
68,7/3/2008,20:55:36,78026,16.237,3.46,,
69,7/3/2008,21:00:36,78026,16.237,3.46,,
70,7/3/2008,21:05:36,78027,16.141,3.46,,
71,7/3/2008,21:10:36,78027,16.141,3.46,,
72,7/3/2008,21:15:36,78018,16.046,3.46,,
73,7/3/2008,21:20:36,78028,16.046,3.46,,
74,7/3/2008,21:25:36,78048,16.046,3.46,,
75,7/3/2008,21:30:36,78039,15.951,3.46,,
76,7/3/2008,21:35:36,78059,15.951,3.46,,
77,7/3/2008,21:40:36,78050,15.855,3.46,,
78,7/3/2008,21:45:36,78060,15.855,3.46,,
79,7/3/2008,21:50:36,78080,15.855,3.46,,
80,7/3/2008,21:55:36,78091,15.76,3.46,,
81,7/3/2008,22:00:36,78101,15.76,3.43,,
82,7/3/2008,22:05:36,78112,15.664,3.43,,
83,7/3/2008,22:10:36,78122,15.664,3.43,,
84,7/3/2008,22:15:36,78132,15.664,3.43,,
85,7/3/2008,22:20:36,78133,15.569,3.43,,
86,7/3/2008,22:25:36,78143,15.569,3.43,,
87,7/3/2008,22:30:36,78143,15.569,3.43,,
88,7/3/2008,22:35:36,78154,15.473,3.43,,
89,7/3/2008,22:40:36,78164,15.473,3.43,,
90,7/3/2008,22:45:36,78154,15.473,3.43,,
91,7/3/2008,22:50:36,78144,15.473,3.43,,
92,7/3/2008,22:55:36,78135,15.378,3.43,,
93,7/3/2008,23:00:36,78145,15.378,3.43,,
94,7/3/2008,23:05:36,78145,15.378,3.43,,
95,7/3/2008,23:10:36,78125,15.282,3.43,,
96,7/3/2008,23:15:36,78156,15.282,3.43,,
97,7/3/2008,23:20:36,78156,15.282,3.43,,
98,7/3/2008,23:25:36,78147,15.187,3.43,,
