Plot Title: Redondo Creek 11-08,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280508, SEN S/N: 1280508)","Temp, °C (LGR S/N: 1280508, SEN S/N: 1280508)",Coupler Detached (LGR S/N: 1280508),Coupler Attached (LGR S/N: 1280508),Host Connected (LGR S/N: 1280508),Stopped (LGR S/N: 1280508),End Of File (LGR S/N: 1280508)
1,11/24/2008,11:32:38,77033,8.282,,,,,
2,11/24/2008,11:33:21,,,Logged,,,,
3,11/24/2008,12:02:38,77750,0.784,,,,,
4,11/24/2008,12:32:38,77730,0.784,,,,,
5,11/24/2008,13:02:38,77822,0.674,,,,,
6,11/24/2008,13:32:38,77811,0.674,,,,,
7,11/24/2008,14:02:38,77852,0.674,,,,,
8,11/24/2008,14:32:38,77871,0.784,,,,,
9,11/24/2008,15:02:38,79469,0.453,,,,,
10,11/24/2008,15:32:38,79478,0.563,,,,,
11,11/24/2008,16:02:38,79417,0.674,,,,,
12,11/24/2008,16:32:38,79387,0.674,,,,,
13,11/24/2008,17:02:38,79305,0.784,,,,,
14,11/24/2008,17:32:38,79274,0.784,,,,,
15,11/24/2008,18:02:38,79254,0.784,,,,,
16,11/24/2008,18:32:38,79264,0.784,,,,,
17,11/24/2008,19:02:38,79365,0.784,,,,,
18,11/24/2008,19:32:38,79557,0.784,,,,,
19,11/24/2008,20:02:38,79779,0.784,,,,,
20,11/24/2008,20:32:38,80082,0.784,,,,,
21,11/24/2008,21:02:38,80143,0.784,,,,,
22,11/24/2008,21:32:38,80243,0.893,,,,,
23,11/24/2008,22:02:38,80233,0.893,,,,,
24,11/24/2008,22:32:38,80243,0.893,,,,,
25,11/24/2008,23:02:38,80203,0.893,,,,,
26,11/24/2008,23:32:38,80122,0.893,,,,,
27,11/25/2008,0:02:38,80061,0.893,,,,,
28,11/25/2008,0:32:38,79990,0.893,,,,,
29,11/25/2008,1:02:38,79920,0.893,,,,,
30,11/25/2008,1:32:38,79799,0.893,,,,,
31,11/25/2008,2:02:38,79677,0.893,,,,,
32,11/25/2008,2:32:38,78223,0.893,,,,,
33,11/25/2008,3:02:38,77952,0.784,,,,,
34,11/25/2008,3:32:38,77871,0.784,,,,,
35,11/25/2008,4:02:38,77861,0.784,,,,,
36,11/25/2008,4:32:38,77871,0.784,,,,,
37,11/25/2008,5:02:38,77871,0.784,,,,,
38,11/25/2008,5:32:38,77891,0.784,,,,,
39,11/25/2008,6:02:38,77891,0.784,,,,,
40,11/25/2008,6:32:38,77891,0.784,,,,,
41,11/25/2008,7:02:38,77640,0.674,,,,,
42,11/25/2008,7:32:38,77589,0.674,,,,,
43,11/25/2008,8:02:38,77610,0.674,,,,,
44,11/25/2008,8:32:38,77630,0.674,,,,,
45,11/25/2008,9:02:38,77599,0.674,,,,,
46,11/25/2008,9:32:38,77559,0.674,,,,,
47,11/25/2008,10:02:38,77549,0.674,,,,,
48,11/25/2008,10:32:38,77548,0.784,,,,,
49,11/25/2008,11:02:38,77457,0.784,,,,,
50,11/25/2008,11:32:38,77427,0.784,,,,,
51,11/25/2008,12:02:38,77366,0.784,,,,,
52,11/25/2008,12:32:38,77356,0.784,,,,,
53,11/25/2008,13:02:38,77326,0.784,,,,,
54,11/25/2008,13:32:38,77306,0.784,,,,,
55,11/25/2008,14:02:38,79833,0.453,,,,,
56,11/25/2008,14:32:38,79812,0.563,,,,,
57,11/25/2008,15:02:38,79790,0.674,,,,,
58,11/25/2008,15:32:38,79700,0.674,,,,,
