Plot Title: 1153413,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1153413, SEN S/N: 1153413)","Temp, °C (LGR S/N: 1153413, SEN S/N: 1153413)","Batt, V (LGR S/N: 1153413, SEN S/N: 1153413)",Coupler Detached (LGR S/N: 1153413),Coupler Attached (LGR S/N: 1153413),Stopped (LGR S/N: 1153413),End Of File (LGR S/N: 1153413)
1,5/19/2009,12:30:00,76967,11.236,3.48,Logged,,,
2,5/19/2009,13:00:00,76934,10.944,3.48,,,,
3,5/19/2009,13:30:00,76869,10.944,3.48,,,,
4,5/19/2009,14:00:00,76836,10.944,3.48,,,,
5,5/19/2009,14:30:00,76788,11.041,3.48,,,,
6,5/19/2009,15:00:00,76772,11.139,3.51,,,,
7,5/19/2009,15:30:00,76739,11.236,3.51,,,,
8,5/19/2009,16:00:00,76707,11.334,3.51,,,,
9,5/19/2009,16:30:00,76707,11.431,3.51,,,,
10,5/19/2009,17:00:00,76642,11.528,3.51,,,,
11,5/19/2009,17:30:00,76659,11.528,3.51,,,,
12,5/19/2009,18:00:00,76659,11.625,3.51,,,,
13,5/19/2009,18:30:00,76675,11.625,3.51,,,,
14,5/19/2009,19:00:00,76724,11.722,3.51,,,,
15,5/19/2009,19:30:00,76724,11.722,3.51,,,,
16,5/19/2009,20:00:00,76773,11.722,3.51,,,,
17,5/19/2009,20:30:00,76838,11.722,3.51,,,,
18,5/19/2009,21:00:00,76822,11.722,3.51,,,,
19,5/19/2009,21:30:00,76854,11.722,3.51,,,,
20,5/19/2009,22:00:00,76822,11.722,3.51,,,,
21,5/19/2009,22:30:00,76871,11.722,3.51,,,,
22,5/19/2009,23:00:00,76871,11.722,3.51,,,,
23,5/19/2009,23:30:00,76854,11.625,3.51,,,,
24,5/20/2009,0:00:00,76854,11.625,3.51,,,,
25,5/20/2009,0:30:00,76822,11.625,3.51,,,,
26,5/20/2009,1:00:00,76821,11.528,3.51,,,,
27,5/20/2009,1:30:00,76805,11.431,3.51,,,,
28,5/20/2009,2:00:00,76821,11.334,3.51,,,,
29,5/20/2009,2:30:00,76837,11.334,3.51,,,,
30,5/20/2009,3:00:00,76821,11.236,3.51,,,,
31,5/20/2009,3:30:00,76837,11.139,3.51,,,,
32,5/20/2009,4:00:00,76820,11.041,3.51,,,,
33,5/20/2009,4:30:00,76837,11.041,3.51,,,,
34,5/20/2009,5:00:00,76853,10.944,3.51,,,,
35,5/20/2009,5:30:00,76869,10.846,3.51,,,,
36,5/20/2009,6:00:00,76869,10.748,3.51,,,,
37,5/20/2009,6:30:00,76885,10.651,3.51,,,,
38,5/20/2009,7:00:00,76884,10.553,3.48,,,,
