Plot Title: Redondo Creek 11-08,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280508, SEN S/N: 1280508)","Temp, °C (LGR S/N: 1280508, SEN S/N: 1280508)",Coupler Detached (LGR S/N: 1280508),Coupler Attached (LGR S/N: 1280508),Stopped (LGR S/N: 1280508),End Of File (LGR S/N: 1280508)
1,6/2/2010,10:15:00,77911,10.846,Logged,,,
2,6/2/2010,10:30:00,77911,10.748,,,,
3,6/2/2010,10:45:00,77912,10.651,,,,
4,6/2/2010,11:00:00,77912,10.651,,,,
5,6/2/2010,11:15:00,77892,10.651,,,,
6,6/2/2010,11:30:00,77882,10.651,,,,
7,6/2/2010,11:45:00,77882,10.651,,,,
8,6/2/2010,12:00:00,77862,10.651,,,,
9,6/2/2010,12:15:00,77862,10.651,,,,
10,6/2/2010,12:30:00,77882,10.651,,,,
11,6/2/2010,12:45:00,77852,10.651,,,,
12,6/2/2010,13:00:00,77831,10.651,,,,
13,6/2/2010,13:15:00,77820,10.748,,,,
14,6/2/2010,13:30:00,77810,10.748,,,,
15,6/2/2010,13:45:00,77810,10.748,,,,
16,6/2/2010,14:00:00,77810,10.748,,,,
17,6/2/2010,14:15:00,77800,10.748,,,,
18,6/2/2010,14:30:00,77759,10.846,,,,
19,6/2/2010,14:45:00,77759,10.846,,,,
20,6/2/2010,15:00:00,77759,10.846,,,,
21,6/2/2010,15:15:00,77749,10.846,,,,
22,6/2/2010,15:30:00,77758,10.944,,,,
23,6/2/2010,15:45:00,77728,10.944,,,,
24,6/2/2010,16:00:00,77697,10.944,,,,
25,6/2/2010,16:15:00,77686,11.041,,,,
26,6/2/2010,16:30:00,77676,11.041,,,,
27,6/2/2010,16:45:00,77646,11.041,,,,
28,6/2/2010,17:00:00,77645,11.139,,,,
29,6/2/2010,17:15:00,77625,11.139,,,,
30,6/2/2010,17:30:00,77655,11.139,,,,
31,6/2/2010,17:45:00,77654,11.236,,,,
32,6/2/2010,18:00:00,77644,11.236,,,,
33,6/2/2010,18:15:00,77654,11.236,,,,
34,6/2/2010,18:30:00,77664,11.236,,,,
35,6/2/2010,18:45:00,77653,11.334,,,,
36,6/2/2010,19:00:00,77663,11.334,,,,
37,6/2/2010,19:15:00,77674,11.334,,,,
38,6/2/2010,19:30:00,77684,11.334,,,,
39,6/2/2010,19:45:00,77694,11.334,,,,
40,6/2/2010,20:00:00,77673,11.431,,,,
41,6/2/2010,20:15:00,77713,11.431,,,,
42,6/2/2010,20:30:00,77713,11.431,,,,
43,6/2/2010,20:45:00,77713,11.431,,,,
44,6/2/2010,21:00:00,77733,11.528,,,,
45,6/2/2010,21:15:00,77733,11.528,,,,
46,6/2/2010,21:30:00,77733,11.528,,,,
47,6/2/2010,21:45:00,77753,11.528,,,,
48,6/2/2010,22:00:00,77763,11.528,,,,
49,6/2/2010,22:15:00,77783,11.528,,,,
50,6/2/2010,22:30:00,77813,11.528,,,,
51,6/2/2010,22:45:00,77824,11.528,,,,
52,6/2/2010,23:00:00,77813,11.528,,,,
53,6/2/2010,23:15:00,77803,11.528,,,,
54,6/2/2010,23:30:00,77813,11.528,,,,
55,6/2/2010,23:45:00,77834,11.528,,,,
56,6/3/2010,0:00:00,77834,11.528,,,,
57,6/3/2010,0:15:00,77834,11.528,,,,
58,6/3/2010,0:30:00,77834,11.528,,,,
59,6/3/2010,0:45:00,77834,11.528,,,,
60,6/3/2010,1:00:00,77864,11.528,,,,
61,6/3/2010,1:15:00,77834,11.528,,,,
62,6/3/2010,1:30:00,77835,11.431,,,,
63,6/3/2010,1:45:00,77845,11.431,,,,
64,6/3/2010,2:00:00,77855,11.431,,,,
65,6/3/2010,2:15:00,77865,11.431,,,,
66,6/3/2010,2:30:00,77835,11.431,,,,
67,6/3/2010,2:45:00,77825,11.334,,,,
68,6/3/2010,3:00:00,77825,11.334,,,,
69,6/3/2010,3:15:00,77815,11.334,,,,
70,6/3/2010,3:30:00,77835,11.334,,,,
71,6/3/2010,3:45:00,77816,11.236,,,,
72,6/3/2010,4:00:00,77826,11.236,,,,
73,6/3/2010,4:15:00,77816,11.236,,,,
74,6/3/2010,4:30:00,77846,11.236,,,,
75,6/3/2010,4:45:00,77847,11.139,,,,
76,6/3/2010,5:00:00,77847,11.139,,,,
77,6/3/2010,5:15:00,77837,11.139,,,,
78,6/3/2010,5:30:00,77828,11.041,,,,
79,6/3/2010,5:45:00,77848,11.041,,,,
80,6/3/2010,6:00:00,77848,11.041,,,,
81,6/3/2010,6:15:00,77869,10.944,,,,
82,6/3/2010,6:30:00,77889,10.944,,,,
83,6/3/2010,6:45:00,77921,10.846,,,,
84,6/3/2010,7:00:00,77941,10.846,,,,
85,6/3/2010,7:15:00,77941,10.846,,,,
86,6/3/2010,7:30:00,77941,10.846,,,,
87,6/3/2010,7:45:00,77942,10.748,,,,
88,6/3/2010,8:00:00,77962,10.748,,,,
89,6/3/2010,8:15:00,77952,10.748,,,,
90,6/3/2010,8:30:00,77953,10.651,,,,
91,6/3/2010,8:45:00,77953,10.651,,,,
92,6/3/2010,9:00:00,77943,10.651,,,,
93,6/3/2010,9:15:00,77922,10.651,,,,
94,6/3/2010,9:30:00,77922,10.651,,,,
95,6/3/2010,9:45:00,77912,10.651,,,,
