Plot Title: Redondo Creek 12_ 10,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280508, SEN S/N: 1280508)","Temp, °C (LGR S/N: 1280508, SEN S/N: 1280508)",Coupler Detached (LGR S/N: 1280508),Coupler Attached (LGR S/N: 1280508),Stopped (LGR S/N: 1280508),End Of File (LGR S/N: 1280508)
1,12/21/2010,11:30:00,77222,0.01,Logged,,,
2,12/21/2010,12:00:00,77192,0.01,,,,
3,12/21/2010,12:30:00,77152,0.01,,,,
4,12/21/2010,13:00:00,77172,0.01,,,,
5,12/21/2010,13:30:00,77141,0.01,,,,
6,12/21/2010,14:00:00,77141,0.01,,,,
7,12/21/2010,14:30:00,77141,0.01,,,,
8,12/21/2010,15:00:00,77212,0.01,,,,
9,12/21/2010,15:30:00,77222,0.01,,,,
10,12/21/2010,16:00:00,77263,0.01,,,,
11,12/21/2010,16:30:00,77303,0.01,,,,
12,12/21/2010,17:00:00,77343,0.01,,,,
13,12/21/2010,17:30:00,77424,0.01,,,,
14,12/21/2010,18:00:00,77434,0.01,,,,
15,12/21/2010,18:30:00,77464,0.01,,,,
16,12/21/2010,19:00:00,77464,0.01,,,,
17,12/21/2010,19:30:00,77485,0.01,,,,
18,12/21/2010,20:00:00,77525,0.01,,,,
19,12/21/2010,20:30:00,77515,0.01,,,,
20,12/21/2010,21:00:00,77485,0.01,,,,
21,12/21/2010,21:30:00,77495,0.01,,,,
22,12/21/2010,22:00:00,77485,0.01,,,,
23,12/21/2010,22:30:00,77495,0.01,,,,
24,12/21/2010,23:00:00,77495,0.01,,,,
25,12/21/2010,23:30:00,77525,0.01,,,,
26,12/22/2010,0:00:00,77505,0.01,,,,
27,12/22/2010,0:30:00,77485,0.01,,,,
28,12/22/2010,1:00:00,77485,0.01,,,,
29,12/22/2010,1:30:00,77454,0.01,,,,
30,12/22/2010,2:00:00,77495,0.01,,,,
31,12/22/2010,2:30:00,77495,0.01,,,,
32,12/22/2010,3:00:00,77505,0.01,,,,
33,12/22/2010,3:30:00,77495,0.01,,,,
34,12/22/2010,4:00:00,77485,0.01,,,,
35,12/22/2010,4:30:00,77495,0.01,,,,
36,12/22/2010,5:00:00,77454,0.01,,,,
37,12/22/2010,5:30:00,77444,0.01,,,,
38,12/22/2010,6:00:00,77464,0.01,,,,
39,12/22/2010,6:30:00,77464,0.01,,,,
40,12/22/2010,7:00:00,77485,0.01,,,,
41,12/22/2010,7:30:00,77485,0.01,,,,
42,12/22/2010,8:00:00,77485,0.01,,,,
43,12/22/2010,8:30:00,77535,0.01,,,,
44,12/22/2010,9:00:00,77535,0.01,,,,
45,12/22/2010,9:30:00,77565,0.01,,,,
46,12/22/2010,10:00:00,77565,0.01,,,,
47,12/22/2010,10:30:00,77576,0.01,,,,
48,12/22/2010,11:00:00,77545,0.01,,,,
49,12/22/2010,11:30:00,77475,0.01,,,,
50,12/22/2010,12:00:00,77444,0.01,,,,
51,12/22/2010,12:30:00,77404,0.01,,,,
52,12/22/2010,13:00:00,77384,0.01,,,,
53,12/22/2010,13:30:00,77394,0.01,,,,
54,12/22/2010,14:00:00,77414,0.01,,,,
55,12/22/2010,14:30:00,77404,0.01,,,,
56,12/22/2010,15:00:00,77414,0.01,,,,
57,12/22/2010,15:30:00,77394,0.01,,,,
58,12/22/2010,16:00:00,77394,0.01,,,,
59,12/22/2010,16:30:00,77364,0.01,,,,
60,12/22/2010,17:00:00,77364,0.01,,,,
61,12/22/2010,17:30:00,77364,0.01,,,,
62,12/22/2010,18:00:00,77394,0.01,,,,
63,12/22/2010,18:30:00,77394,0.01,,,,
64,12/22/2010,19:00:00,77384,0.01,,,,
65,12/22/2010,19:30:00,77364,0.01,,,,
66,12/22/2010,20:00:00,77343,0.01,,,,
67,12/22/2010,20:30:00,77353,0.01,,,,
