Plot Title: Redondo Creek 12_ 10,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280508, SEN S/N: 1280508)","Temp, °C (LGR S/N: 1280508, SEN S/N: 1280508)","Batt, V (LGR S/N: 1280508, SEN S/N: 1280508)",Coupler Detached (LGR S/N: 1280508),Coupler Attached (LGR S/N: 1280508),Stopped (LGR S/N: 1280508),End Of File (LGR S/N: 1280508)
1,4/13/2011,9:15:00,76997,4.519,3.43,Logged,,,
2,4/13/2011,9:30:00,77063,2.943,3.46,,,,
3,4/13/2011,9:45:00,77073,2.943,3.46,,,,
4,4/13/2011,10:00:00,77063,2.943,3.46,,,,
5,4/13/2011,10:15:00,77063,2.943,3.46,,,,
6,4/13/2011,10:30:00,77053,2.943,3.46,,,,
7,4/13/2011,10:45:00,77052,3.049,3.46,,,,
8,4/13/2011,11:00:00,77052,3.049,3.46,,,,
9,4/13/2011,11:15:00,77052,3.049,3.46,,,,
10,4/13/2011,11:30:00,77061,3.155,3.46,,,,
11,4/13/2011,11:45:00,77051,3.155,3.46,,,,
12,4/13/2011,12:00:00,77031,3.155,3.46,,,,
13,4/13/2011,12:15:00,77009,3.261,3.46,,,,
14,4/13/2011,12:30:00,76989,3.261,3.46,,,,
15,4/13/2011,12:45:00,76959,3.261,3.46,,,,
16,4/13/2011,13:00:00,76948,3.367,3.46,,,,
17,4/13/2011,13:15:00,76927,3.367,3.46,,,,
18,4/13/2011,13:30:00,76896,3.472,3.46,,,,
19,4/13/2011,13:45:00,76866,3.472,3.46,,,,
20,4/13/2011,14:00:00,76885,3.578,3.46,,,,
21,4/13/2011,14:15:00,76845,3.578,3.46,,,,
22,4/13/2011,14:30:00,76844,3.683,3.46,,,,
23,4/13/2011,14:45:00,76823,3.683,3.46,,,,
24,4/13/2011,15:00:00,76792,3.788,3.46,,,,
25,4/13/2011,15:15:00,76792,3.788,3.46,,,,
26,4/13/2011,15:30:00,76782,3.788,3.46,,,,
27,4/13/2011,15:45:00,76752,3.788,3.46,,,,
28,4/13/2011,16:00:00,76762,3.788,3.48,,,,
29,4/13/2011,16:15:00,76720,3.893,3.48,,,,
30,4/13/2011,16:30:00,76720,3.893,3.48,,,,
31,4/13/2011,16:45:00,76700,3.893,3.48,,,,
32,4/13/2011,17:00:00,76660,3.893,3.48,,,,
33,4/13/2011,17:15:00,76670,3.893,3.48,,,,
34,4/13/2011,17:30:00,76669,3.998,3.48,,,,
35,4/13/2011,17:45:00,76649,3.998,3.48,,,,
36,4/13/2011,18:00:00,76649,3.998,3.48,,,,
37,4/13/2011,18:15:00,76658,4.102,3.48,,,,
38,4/13/2011,18:30:00,76668,4.102,3.48,,,,
39,4/13/2011,18:45:00,76658,4.102,3.48,,,,
40,4/13/2011,19:00:00,76657,4.207,3.48,,,,
41,4/13/2011,19:15:00,76627,4.207,3.48,,,,
42,4/13/2011,19:30:00,76606,4.207,3.48,,,,
43,4/13/2011,19:45:00,76627,4.207,3.48,,,,
44,4/13/2011,20:00:00,76637,4.207,3.48,,,,
45,4/13/2011,20:15:00,76615,4.311,3.48,,,,
46,4/13/2011,20:30:00,76646,4.311,3.48,,,,
47,4/13/2011,20:45:00,76636,4.311,3.48,,,,
48,4/13/2011,21:00:00,76656,4.311,3.48,,,,
49,4/13/2011,21:15:00,76676,4.311,3.48,,,,
50,4/13/2011,21:30:00,76696,4.311,3.48,,,,
51,4/13/2011,21:45:00,76696,4.311,3.48,,,,
52,4/13/2011,22:00:00,76727,4.311,3.48,,,,
53,4/13/2011,22:15:00,76737,4.311,3.48,,,,
54,4/13/2011,22:30:00,76716,4.415,3.48,,,,
