Plot Title: Redondo Creek 10_2011,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280508, SEN S/N: 1280508)","Temp, °C (LGR S/N: 1280508, SEN S/N: 1280508)",Coupler Detached (LGR S/N: 1280508),Coupler Attached (LGR S/N: 1280508),Stopped (LGR S/N: 1280508),End Of File (LGR S/N: 1280508)
1,10/27/2011,11:00:00,77313,5.347,Logged,,,
2,10/27/2011,11:30:00,77303,5.347,,,,
3,10/27/2011,12:00:00,77313,5.347,,,,
4,10/27/2011,12:30:00,77323,5.347,,,,
5,10/27/2011,13:00:00,77313,5.347,,,,
6,10/27/2011,13:30:00,77252,5.347,,,,
7,10/27/2011,14:00:00,77222,5.347,,,,
8,10/27/2011,14:30:00,77202,5.347,,,,
9,10/27/2011,15:00:00,77192,5.347,,,,
10,10/27/2011,15:30:00,77212,5.347,,,,
11,10/27/2011,16:00:00,77212,5.347,,,,
12,10/27/2011,16:30:00,77202,5.347,,,,
13,10/27/2011,17:00:00,77232,5.347,,,,
14,10/27/2011,17:30:00,77232,5.347,,,,
15,10/27/2011,18:00:00,77262,5.347,,,,
16,10/27/2011,18:30:00,77283,5.347,,,,
17,10/27/2011,19:00:00,77323,5.347,,,,
18,10/27/2011,19:30:00,77353,5.347,,,,
19,10/27/2011,20:00:00,77374,5.347,,,,
20,10/27/2011,20:30:00,77384,5.347,,,,
21,10/27/2011,21:00:00,77424,5.347,,,,
22,10/27/2011,21:30:00,77424,5.347,,,,
23,10/27/2011,22:00:00,77444,5.347,,,,
24,10/27/2011,22:30:00,77486,5.244,,,,
25,10/27/2011,23:00:00,77486,5.244,,,,
26,10/27/2011,23:30:00,77486,5.244,,,,
27,10/28/2011,0:00:00,77496,5.244,,,,
28,10/28/2011,0:30:00,77496,5.244,,,,
29,10/28/2011,1:00:00,77507,5.141,,,,
30,10/28/2011,1:30:00,77527,5.141,,,,
31,10/28/2011,2:00:00,77557,5.141,,,,
32,10/28/2011,2:30:00,77548,5.037,,,,
33,10/28/2011,3:00:00,77518,5.037,,,,
34,10/28/2011,3:30:00,77498,5.037,,,,
35,10/28/2011,4:00:00,77529,4.934,,,,
36,10/28/2011,4:30:00,77539,4.934,,,,
37,10/28/2011,5:00:00,77540,4.831,,,,
38,10/28/2011,5:30:00,77530,4.831,,,,
39,10/28/2011,6:00:00,77550,4.831,,,,
40,10/28/2011,6:30:00,77582,4.727,,,,
41,10/28/2011,7:00:00,77582,4.727,,,,
42,10/28/2011,7:30:00,77623,4.623,,,,
43,10/28/2011,8:00:00,77633,4.623,,,,
44,10/28/2011,8:30:00,77695,4.519,,,,
45,10/28/2011,9:00:00,77695,4.519,,,,
46,10/28/2011,9:30:00,77735,4.519,,,,
