Plot Title: LwrRed 10499411 20150622-2015,,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499411, SEN S/N: 10499411)","Temp, °C (LGR S/N: 10499411, SEN S/N: 10499411)","Batt, V (LGR S/N: 10499411, SEN S/N: 10499411)",Coupler Detached (LGR S/N: 10499411),Coupler Attached (LGR S/N: 10499411),Stopped (LGR S/N: 10499411),End Of File (LGR S/N: 10499411)
1,6/22/2015,11:00:00,78009,13.75,3.54,Logged,,,
2,6/22/2015,11:15:00,77982,13.269,3.51,,,,
3,6/22/2015,11:30:00,77975,13.365,3.51,,,,
4,6/22/2015,11:45:00,77982,13.558,3.51,,,,
5,6/22/2015,12:00:00,77957,13.75,3.51,,,,
6,6/22/2015,12:15:00,77935,14.038,3.51,,,,
7,6/22/2015,12:30:00,77931,14.23,3.51,,,,
8,6/22/2015,12:45:00,77903,14.613,3.54,,,,
9,6/22/2015,13:00:00,77902,14.9,3.54,,,,
10,6/22/2015,13:15:00,77863,15.282,3.51,,,,
11,6/22/2015,13:30:00,77852,15.569,3.51,,,,
12,6/22/2015,13:45:00,77823,15.951,3.51,,,,
13,6/22/2015,14:00:00,77805,16.332,3.51,,,,
14,6/22/2015,14:15:00,77773,16.618,3.51,,,,
15,6/22/2015,14:30:00,77744,16.999,3.51,,,,
16,6/22/2015,14:45:00,77722,17.284,3.51,,,,
17,6/22/2015,15:00:00,77694,17.665,3.51,,,,
18,6/22/2015,15:15:00,77683,17.95,3.51,,,,
19,6/22/2015,15:30:00,77651,18.236,3.51,,,,
20,6/22/2015,15:45:00,77636,18.426,3.51,,,,
21,6/22/2015,16:00:00,77611,18.616,3.51,,,,
22,6/22/2015,16:15:00,77587,18.806,3.51,,,,
23,6/22/2015,16:30:00,77590,18.901,3.51,,,,
24,6/22/2015,16:45:00,77565,19.092,3.51,,,,
25,6/22/2015,17:00:00,77547,19.187,3.51,,,,
26,6/22/2015,17:15:00,77537,19.187,3.51,,,,
27,6/22/2015,17:30:00,77519,19.282,3.51,,,,
28,6/22/2015,17:45:00,77533,19.377,3.51,,,,
