Plot Title: LwrRed 10499411 20170516,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499411, SEN S/N: 10499411)","Temp, °C (LGR S/N: 10499411, SEN S/N: 10499411)",Coupler Detached (LGR S/N: 10499411),Coupler Attached (LGR S/N: 10499411),Stopped (LGR S/N: 10499411),End Of File (LGR S/N: 10499411)
1,9/28/2017,13:15:00,78223,9.275,Logged,,,
2,9/28/2017,13:30:00,78190,8.581,,,,
3,9/28/2017,13:45:00,78179,8.581,,,,
4,9/28/2017,14:00:00,78148,8.581,,,,
5,9/28/2017,14:15:00,78148,8.581,,,,
6,9/28/2017,14:30:00,78141,8.68,,,,
7,9/28/2017,14:45:00,78120,8.68,,,,
8,9/28/2017,15:00:00,78102,8.779,,,,
9,9/28/2017,15:15:00,78095,8.879,,,,
10,9/28/2017,15:30:00,78085,8.879,,,,
11,9/28/2017,15:45:00,78067,8.978,,,,
12,9/28/2017,16:00:00,78060,9.077,,,,
13,9/28/2017,16:15:00,78039,9.077,,,,
14,9/28/2017,16:30:00,78021,9.176,,,,
15,9/28/2017,16:45:00,78021,9.176,,,,
16,9/28/2017,17:00:00,78014,9.275,,,,
17,9/28/2017,17:15:00,78018,9.373,,,,
18,9/28/2017,17:30:00,77997,9.373,,,,
19,9/28/2017,17:45:00,78000,9.472,,,,
20,9/28/2017,18:00:00,78021,9.472,,,,
21,9/28/2017,18:15:00,78003,9.571,,,,
22,9/28/2017,18:30:00,78045,9.571,,,,
23,9/28/2017,18:45:00,78024,9.571,,,,
24,9/28/2017,19:00:00,78017,9.669,,,,
25,9/28/2017,19:15:00,78007,9.669,,,,
26,9/28/2017,19:30:00,78017,9.669,,,,
27,9/28/2017,19:45:00,78007,9.669,,,,
28,9/28/2017,20:00:00,77996,9.669,,,,
29,9/28/2017,20:15:00,78048,9.669,,,,
30,9/28/2017,20:30:00,78059,9.669,,,,
31,9/28/2017,20:45:00,78090,9.669,,,,
