Plot Title: 1028728,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1028728, SEN S/N: 1028728)","Temp, °C (LGR S/N: 1028728, SEN S/N: 1028728)","Batt, V (LGR S/N: 1028728, SEN S/N: 1028728)",Coupler Detached (LGR S/N: 1028728),Coupler Attached (LGR S/N: 1028728),Stopped (LGR S/N: 1028728),End Of File (LGR S/N: 1028728)
1,6/1/2010,13:00:00,74606,12.304,3.51,Logged,,,
2,6/1/2010,13:30:00,74579,11.722,3.51,,,,
3,6/1/2010,14:00:00,74579,11.625,3.51,,,,
4,6/1/2010,14:30:00,74522,11.625,3.51,,,,
5,6/1/2010,15:00:00,74522,11.722,3.51,,,,
6,6/1/2010,15:30:00,74480,11.819,3.51,,,,
7,6/1/2010,16:00:00,74480,11.819,3.51,,,,
8,6/1/2010,16:30:00,74437,11.916,3.51,,,,
9,6/1/2010,17:00:00,74451,11.916,3.54,,,,
10,6/1/2010,17:30:00,74409,11.819,3.54,,,,
11,6/1/2010,18:00:00,74423,11.819,3.54,,,,
12,6/1/2010,18:30:00,74452,11.722,3.54,,,,
13,6/1/2010,19:00:00,74466,11.722,3.54,,,,
14,6/1/2010,19:30:00,74480,11.625,3.51,,,,
15,6/1/2010,20:00:00,74480,11.528,3.51,,,,
16,6/1/2010,20:30:00,74480,11.431,3.51,,,,
17,6/1/2010,21:00:00,74523,11.334,3.51,,,,
18,6/1/2010,21:30:00,74523,11.236,3.51,,,,
19,6/1/2010,22:00:00,74523,11.139,3.51,,,,
20,6/1/2010,22:30:00,74524,10.944,3.51,,,,
21,6/1/2010,23:00:00,74510,10.846,3.51,,,,
22,6/1/2010,23:30:00,74524,10.748,3.51,,,,
23,6/2/2010,0:00:00,74538,10.651,3.51,,,,
24,6/2/2010,0:30:00,74553,10.553,3.51,,,,
25,6/2/2010,1:00:00,74539,10.455,3.51,,,,
26,6/2/2010,1:30:00,74539,10.357,3.51,,,,
27,6/2/2010,2:00:00,74553,10.259,3.51,,,,
28,6/2/2010,2:30:00,74539,10.161,3.51,,,,
29,6/2/2010,3:00:00,74554,10.063,3.51,,,,
30,6/2/2010,3:30:00,74568,9.965,3.51,,,,
31,6/2/2010,4:00:00,74568,9.866,3.51,,,,
32,6/2/2010,4:30:00,74582,9.768,3.51,,,,
33,6/2/2010,5:00:00,74597,9.669,3.51,,,,
34,6/2/2010,5:30:00,74597,9.571,3.54,,,,
35,6/2/2010,6:00:00,74583,9.472,3.54,,,,
36,6/2/2010,6:30:00,74625,9.472,3.54,,,,
37,6/2/2010,7:00:00,74597,9.472,3.54,,,,
38,6/2/2010,7:30:00,74625,9.472,3.54,,,,
39,6/2/2010,8:00:00,74611,9.472,3.54,,,,
40,6/2/2010,8:30:00,74625,9.571,3.54,,,,
41,6/2/2010,9:00:00,74639,9.571,3.54,,,,
42,6/2/2010,9:30:00,74625,9.669,3.51,,,,
43,6/2/2010,10:00:00,74653,9.669,3.51,,,,
44,6/2/2010,10:30:00,74611,9.768,3.51,,,,
