Plot Title: Upr_Red_Flm,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811671, SEN S/N: 9811671)","Temp, °C (LGR S/N: 9811671, SEN S/N: 9811671)",Coupler Detached (LGR S/N: 9811671),Coupler Attached (LGR S/N: 9811671),Stopped (LGR S/N: 9811671),End Of File (LGR S/N: 9811671)
1,1/16/1937,11:30:00,74737,13.75,Logged,,,
2,1/16/1937,12:00:00,74757,12.883,,,,
3,1/16/1937,12:30:00,74732,12.98,,,,
4,1/16/1937,13:00:00,74720,13.076,,,,
5,1/16/1937,13:30:00,74734,13.173,,,,
6,1/16/1937,14:00:00,74734,13.269,,,,
7,1/16/1937,14:30:00,74684,13.365,,,,
8,1/16/1937,15:00:00,74646,13.461,,,,
9,1/16/1937,15:30:00,74609,13.654,,,,
10,1/16/1937,16:00:00,74584,13.75,,,,
11,1/16/1937,16:30:00,74572,13.846,,,,
12,1/16/1937,17:00:00,74523,14.038,,,,
13,1/16/1937,17:30:00,74523,14.134,,,,
14,1/16/1937,18:00:00,74512,14.325,,,,
15,1/16/1937,18:30:00,74475,14.517,,,,
16,1/16/1937,19:00:00,74476,14.709,,,,
17,1/16/1937,19:30:00,74477,14.9,,,,
18,1/16/1937,20:00:00,74490,14.996,,,,
19,1/16/1937,20:30:00,74580,14.996,,,,
20,1/16/1937,21:00:00,74554,14.9,,,,
21,1/16/1937,21:30:00,74592,14.9,,,,
22,1/16/1937,22:00:00,74629,14.804,,,,
23,1/16/1937,22:30:00,74603,14.709,,,,
24,1/16/1937,23:00:00,74642,14.709,,,,
25,1/16/1937,23:30:00,74666,14.613,,,,
26,1/17/1937,0:00:00,74653,14.517,,,,
27,1/17/1937,0:30:00,74665,14.421,,,,
28,1/17/1937,1:00:00,74665,14.325,,,,
29,1/17/1937,1:30:00,74651,14.23,,,,
30,1/17/1937,2:00:00,74664,14.23,,,,
31,1/17/1937,2:30:00,74651,14.134,,,,
32,1/17/1937,3:00:00,74612,14.038,,,,
33,1/17/1937,3:30:00,74611,13.942,,,,
34,1/17/1937,4:00:00,74598,13.846,,,,
35,1/17/1937,4:30:00,74610,13.75,,,,
36,1/17/1937,5:00:00,74597,13.654,,,,
37,1/17/1937,5:30:00,74609,13.558,,,,
38,1/17/1937,6:00:00,74608,13.461,,,,
39,1/17/1937,6:30:00,74607,13.365,,,,
40,1/17/1937,7:00:00,74620,13.269,,,,
41,1/17/1937,7:30:00,74619,13.173,,,,
42,1/17/1937,8:00:00,74631,13.076,,,,
43,1/17/1937,8:30:00,74656,12.98,,,,
44,1/17/1937,9:00:00,74643,12.883,,,,
45,1/17/1937,9:30:00,74643,12.883,,,,
46,1/17/1937,10:00:00,74668,12.883,,,,
47,1/17/1937,10:30:00,74655,12.883,,,,
48,1/17/1937,11:00:00,74669,12.98,,,,
49,1/17/1937,11:30:00,74656,12.98,,,,
50,1/17/1937,12:00:00,74657,13.076,,,,
51,1/17/1937,12:30:00,74657,13.076,,,,
52,1/17/1937,13:00:00,74657,13.173,,,,
53,1/17/1937,13:30:00,74645,13.269,,,,
54,1/17/1937,14:00:00,74634,13.461,,,,
55,1/17/1937,14:30:00,74609,13.558,,,,
56,1/17/1937,15:00:00,74597,13.654,,,,
57,1/17/1937,15:30:00,74559,13.75,,,,
58,1/17/1937,16:00:00,74560,13.942,,,,
59,1/17/1937,16:30:00,74548,14.038,,,,
60,1/17/1937,17:00:00,74510,14.134,,,,
61,1/17/1937,17:30:00,74473,14.23,,,,
62,1/17/1937,18:00:00,74474,14.421,,,,
63,1/17/1937,18:30:00,74462,14.613,,,,
64,1/17/1937,19:00:00,74438,14.804,,,,
65,1/17/1937,19:30:00,74414,14.996,,,,
66,1/17/1937,20:00:00,74453,15.091,,,,
67,1/17/1937,20:30:00,74453,15.091,,,,
68,1/17/1937,21:00:00,74619,15.091,,,,
69,1/17/1937,21:30:00,74669,14.996,,,,
70,1/17/1937,22:00:00,74605,14.996,,,,
71,1/17/1937,22:30:00,74566,14.9,,,,
72,1/17/1937,23:00:00,74553,14.804,,,,
73,1/17/1937,23:30:00,74578,14.804,,,,
74,1/18/1937,0:00:00,74578,14.709,,,,
75,1/18/1937,0:30:00,74564,14.613,,,,
76,1/18/1937,1:00:00,74551,14.517,,,,
77,1/18/1937,1:30:00,74538,14.421,,,,
78,1/18/1937,2:00:00,74499,14.325,,,,
79,1/18/1937,2:30:00,74498,14.23,,,,
80,1/18/1937,3:00:00,74498,14.134,,,,
81,1/18/1937,3:30:00,74484,14.038,,,,
82,1/18/1937,4:00:00,74484,13.942,,,,
83,1/18/1937,4:30:00,74483,13.846,,,,
84,1/18/1937,5:00:00,74457,13.75,,,,
85,1/18/1937,5:30:00,74469,13.654,,,,
86,1/18/1937,6:00:00,74456,13.558,,,,
87,1/18/1937,6:30:00,74455,13.461,,,,
88,1/18/1937,7:00:00,74493,13.365,,,,
89,1/18/1937,7:30:00,74467,13.269,,,,
90,1/18/1937,8:00:00,74517,13.173,,,,
91,1/18/1937,8:30:00,74516,13.076,,,,
92,1/18/1937,9:00:00,74516,13.076,,,,
93,1/18/1937,9:30:00,74503,12.98,,,,
94,1/18/1937,10:00:00,74516,12.98,,,,
95,1/18/1937,10:30:00,74529,13.076,,,,
96,1/18/1937,11:00:00,74516,13.076,,,,
97,1/18/1937,11:30:00,74504,13.173,,,,
98,1/18/1937,12:00:00,74517,13.173,,,,
99,1/18/1937,12:30:00,74505,13.269,,,,
100,1/18/1937,13:00:00,74480,13.365,,,,
101,1/18/1937,13:30:00,74468,13.461,,,,
102,1/18/1937,14:00:00,74443,13.558,,,,
103,1/18/1937,14:30:00,74419,13.75,,,,
104,1/18/1937,15:00:00,74419,13.846,,,,
105,1/18/1937,15:30:00,74407,13.942,,,,
106,1/18/1937,16:00:00,74408,14.038,,,,
107,1/18/1937,16:30:00,74408,14.134,,,,
108,1/18/1937,17:00:00,74384,14.23,,,,
109,1/18/1937,17:30:00,74346,14.325,,,,
110,1/18/1937,18:00:00,74334,14.517,,,,
111,1/18/1937,18:30:00,74296,14.517,,,,
112,1/18/1937,19:00:00,74297,14.709,,,,
113,1/18/1937,19:30:00,74285,14.804,,,,
114,1/18/1937,20:00:00,74260,14.804,,,,
115,1/18/1937,20:30:00,74247,14.804,,,,
116,1/18/1937,21:00:00,74285,14.804,,,,
117,1/18/1937,21:30:00,74310,14.709,,,,
118,1/18/1937,22:00:00,74336,14.709,,,,
119,1/18/1937,22:30:00,74373,14.613,,,,
120,1/18/1937,23:00:00,74361,14.613,,,,
121,1/18/1937,23:30:00,74462,14.517,,,,
122,1/19/1937,0:00:00,74538,14.517,,,,
123,1/19/1937,0:30:00,74525,14.421,,,,
124,1/19/1937,1:00:00,74538,14.421,,,,
125,1/19/1937,1:30:00,74550,14.325,,,,
