Plot Title: UprRed 10499412 20170516,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499412, SEN S/N: 10499412)","Temp, °C (LGR S/N: 10499412, SEN S/N: 10499412)",Coupler Detached (LGR S/N: 10499412),Coupler Attached (LGR S/N: 10499412),Stopped (LGR S/N: 10499412),End Of File (LGR S/N: 10499412)
1,6/15/2017,10:45:00,74926,12.207,Logged,,,
2,6/15/2017,11:00:00,74914,11.139,,,,
3,6/15/2017,11:15:00,74906,11.236,,,,
4,6/15/2017,11:30:00,74930,11.334,,,,
5,6/15/2017,11:45:00,74915,11.528,,,,
6,6/15/2017,12:00:00,74921,11.722,,,,
7,6/15/2017,12:15:00,74917,11.916,,,,
8,6/15/2017,12:30:00,74906,12.207,,,,
9,6/15/2017,12:45:00,74901,12.401,,,,
10,6/15/2017,13:00:00,74876,12.594,,,,
11,6/15/2017,13:15:00,74883,12.787,,,,
12,6/15/2017,13:30:00,74899,12.98,,,,
13,6/15/2017,13:45:00,74874,13.173,,,,
14,6/15/2017,14:00:00,74859,13.365,,,,
15,6/15/2017,14:15:00,74845,13.558,,,,
16,6/15/2017,14:30:00,74841,13.75,,,,
17,6/15/2017,14:45:00,74847,13.942,,,,
18,6/15/2017,15:00:00,74832,14.134,,,,
19,6/15/2017,15:15:00,74804,14.23,,,,
20,6/15/2017,15:30:00,74810,14.421,,,,
21,6/15/2017,15:45:00,74806,14.613,,,,
22,6/15/2017,16:00:00,74799,14.709,,,,
23,6/15/2017,16:15:00,74792,14.804,,,,
24,6/15/2017,16:30:00,74774,14.9,,,,
25,6/15/2017,16:45:00,74777,14.996,,,,
26,6/15/2017,17:00:00,74770,15.091,,,,
27,6/15/2017,17:15:00,74763,15.187,,,,
28,6/15/2017,17:30:00,74763,15.187,,,,
29,6/15/2017,17:45:00,74752,15.187,,,,
30,6/15/2017,18:00:00,74745,15.282,,,,
31,6/15/2017,18:15:00,74745,15.282,,,,
32,6/15/2017,18:30:00,74745,15.282,,,,
33,6/15/2017,18:45:00,74766,15.282,,,,
34,6/15/2017,19:00:00,74745,15.282,,,,
35,6/15/2017,19:15:00,74773,15.187,,,,
36,6/15/2017,19:30:00,74763,15.187,,,,
37,6/15/2017,19:45:00,74770,15.091,,,,
38,6/15/2017,20:00:00,74777,14.996,,,,
39,6/15/2017,20:15:00,74795,14.9,,,,
40,6/15/2017,20:30:00,74809,14.709,,,,
41,6/15/2017,20:45:00,74806,14.613,,,,
42,6/15/2017,21:00:00,74814,14.517,,,,
43,6/15/2017,21:15:00,74842,14.421,,,,
44,6/15/2017,21:30:00,74835,14.23,,,,
45,6/15/2017,21:45:00,74843,14.134,,,,
46,6/15/2017,22:00:00,74868,13.942,,,,
47,6/15/2017,22:15:00,74864,13.846,,,,
48,6/15/2017,22:30:00,74858,13.654,,,,
49,6/15/2017,22:45:00,74866,13.558,,,,
50,6/15/2017,23:00:00,74852,13.461,,,,
51,6/15/2017,23:15:00,74867,13.269,,,,
52,6/15/2017,23:30:00,74843,13.173,,,,
53,6/15/2017,23:45:00,74850,13.076,,,,
54,6/16/2017,0:00:00,74837,12.98,,,,
55,6/16/2017,0:15:00,74834,12.883,,,,
56,6/16/2017,0:30:00,74828,12.69,,,,
57,6/16/2017,0:45:00,74825,12.594,,,,
58,6/16/2017,1:00:00,74811,12.497,,,,
59,6/16/2017,1:15:00,74819,12.401,,,,
60,6/16/2017,1:30:00,74805,12.304,,,,
61,6/16/2017,1:45:00,74812,12.207,,,,
62,6/16/2017,2:00:00,74809,12.11,,,,
63,6/16/2017,2:15:00,74827,12.013,,,,
64,6/16/2017,2:30:00,74834,11.916,,,,
65,6/16/2017,2:45:00,74821,11.819,,,,
66,6/16/2017,3:00:00,74805,11.625,,,,
67,6/16/2017,3:15:00,74805,11.625,,,,
68,6/16/2017,3:30:00,74822,11.528,,,,
69,6/16/2017,3:45:00,74809,11.431,,,,
70,6/16/2017,4:00:00,74806,11.334,,,,
71,6/16/2017,4:15:00,74823,11.236,,,,
72,6/16/2017,4:30:00,74831,11.139,,,,
73,6/16/2017,4:45:00,74828,11.041,,,,
74,6/16/2017,5:00:00,74814,10.944,,,,
75,6/16/2017,5:15:00,74822,10.846,,,,
76,6/16/2017,5:30:00,74811,10.846,,,,
77,6/16/2017,5:45:00,74829,10.748,,,,
78,6/16/2017,6:00:00,74816,10.651,,,,
79,6/16/2017,6:15:00,74823,10.553,,,,
80,6/16/2017,6:30:00,74841,10.455,,,,
