Plot Title: UprRed 10499412 20171102,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499412, SEN S/N: 10499412)","Temp, °C (LGR S/N: 10499412, SEN S/N: 10499412)",Coupler Detached (LGR S/N: 10499412),Coupler Attached (LGR S/N: 10499412),Stopped (LGR S/N: 10499412),End Of File (LGR S/N: 10499412)
1,1/9/1930,10:00:00,74859,17.475,Logged,,,
2,1/9/1930,10:30:00,75028,15.378,,,,
3,1/9/1930,11:00:00,75053,15.187,,,,
4,1/9/1930,11:30:00,75001,15.187,,,,
5,1/9/1930,12:00:00,74994,15.282,,,,
6,1/9/1930,12:30:00,74973,15.282,,,,
7,1/9/1930,13:00:00,74942,15.282,,,,
8,1/9/1930,13:30:00,74948,15.473,,,,
9,1/9/1930,14:00:00,75048,15.664,,,,
10,1/9/1930,14:30:00,75034,15.569,,,,
11,1/9/1930,15:00:00,74928,15.473,,,,
12,1/9/1930,15:30:00,74890,15.282,,,,
13,1/9/1930,16:00:00,74877,15.187,,,,
14,1/9/1930,16:30:00,74822,15.091,,,,
15,1/9/1930,17:00:00,74860,14.996,,,,
16,1/9/1930,17:30:00,74909,14.9,,,,
17,1/9/1930,18:00:00,74930,14.9,,,,
18,1/9/1930,18:30:00,74947,14.804,,,,
19,1/9/1930,19:00:00,74996,14.709,,,,
20,1/9/1930,19:30:00,74990,14.517,,,,
21,1/9/1930,20:00:00,75018,14.421,,,,
22,1/9/1930,20:30:00,74984,14.325,,,,
23,1/9/1930,21:00:00,74991,14.23,,,,
24,1/9/1930,21:30:00,74988,14.134,,,,
25,1/9/1930,22:00:00,74995,14.038,,,,
26,1/9/1930,22:30:00,74971,13.942,,,,
27,1/9/1930,23:00:00,74968,13.846,,,,
28,1/9/1930,23:30:00,74955,13.75,,,,
29,1/10/1930,0:00:00,74949,13.558,,,,
30,1/10/1930,0:30:00,74935,13.461,,,,
31,1/10/1930,1:00:00,74942,13.365,,,,
32,1/10/1930,1:30:00,74947,13.173,,,,
33,1/10/1930,2:00:00,74923,13.076,,,,
34,1/10/1930,2:30:00,74940,12.98,,,,
35,1/10/1930,3:00:00,74948,12.883,,,,
36,1/10/1930,3:30:00,74965,12.787,,,,
37,1/10/1930,4:00:00,74983,12.69,,,,
