"Plot Title: UprRed 10499412 20181016"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 10499412, SEN S/N: 10499412)","Temp, °C (LGR S/N: 10499412, SEN S/N: 10499412)","Coupler Detached (LGR S/N: 10499412)","Coupler Attached (LGR S/N: 10499412)","Host Connected (LGR S/N: 10499412)","Stopped (LGR S/N: 10499412)","End Of File (LGR S/N: 10499412)"
1,01/09/30 10:00:00 AM,74110,17.094,Logged,,,,
2,01/09/30 10:30:00 AM,74936,13.173,,,,,
3,01/09/30 11:00:00 AM,74936,13.173,,,,,
4,01/09/30 11:30:00 AM,74922,13.365,,,,,
5,01/09/30 12:00:00 PM,74907,13.558,,,,,
6,01/09/30 12:30:00 PM,74896,13.846,,,,,
7,01/09/30 01:00:00 PM,74891,14.038,,,,,
8,01/09/30 01:30:00 PM,74877,14.230,,,,,
9,01/09/30 02:00:00 PM,74873,14.421,,,,,
10,01/09/30 02:30:00 PM,74845,14.517,,,,,
11,01/09/30 03:00:00 PM,74786,14.613,,,,,
12,01/09/30 03:30:00 PM,74781,14.804,,,,,
13,01/09/30 04:00:00 PM,74733,14.900,,,,,
14,01/09/30 04:30:00 PM,74708,15.091,,,,,
15,01/09/30 05:00:00 PM,74701,15.187,,,,,
16,01/09/30 05:30:00 PM,74693,15.282,,,,,
17,01/09/30 06:00:00 PM,74683,15.282,,,,,
18,01/09/30 06:30:00 PM,74683,15.282,,,,,
19,01/09/30 07:00:00 PM,74711,15.187,,,,,
20,01/09/30 07:30:00 PM,74721,15.187,,,,,
21,01/09/30 08:00:00 PM,74749,15.091,,,,,
22,01/09/30 08:30:00 PM,74788,14.996,,,,,
23,01/09/30 09:00:00 PM,74826,14.900,,,,,
24,01/09/30 09:30:00 PM,74854,14.804,,,,,
25,01/09/30 10:00:00 PM,74848,14.613,,,,,
26,01/09/30 10:30:00 PM,74865,14.517,,,,,
27,01/09/30 11:00:00 PM,74883,14.421,,,,,
28,01/09/30 11:30:00 PM,74904,14.421,,,,,
29,01/10/30 12:00:00 AM,74963,14.325,,,,,
30,01/10/30 12:30:00 AM,74939,14.230,,,,,
31,01/10/30 01:00:00 AM,74898,14.230,,,,,
32,01/10/30 01:30:00 AM,74884,14.134,,,,,
33,01/10/30 02:00:00 AM,74881,14.038,,,,,
34,01/10/30 02:30:00 AM,74871,14.038,,,,,
35,01/10/30 03:00:00 AM,74836,13.942,,,,,
36,01/10/30 03:30:00 AM,74813,13.846,,,,,
37,01/10/30 04:00:00 AM,74792,13.846,,,,,
38,01/10/30 04:30:00 AM,74810,13.750,,,,,
39,01/10/30 05:00:00 AM,74827,13.654,,,,,
40,01/10/30 05:30:00 AM,74866,13.558,,,,,
41,01/10/30 06:00:00 AM,74897,13.558,,,,,
42,01/10/30 06:30:00 AM,74928,13.558,,,,,
43,01/10/30 07:00:00 AM,74945,13.461,,,,,
44,01/10/30 07:30:00 AM,74987,13.461,,,,,
45,01/10/30 08:00:00 AM,74977,13.461,,,,,
46,01/10/30 08:30:00 AM,74987,13.461,,,,,
47,01/10/30 09:00:00 AM,74987,13.461,,,,,
