Plot Title: 1028729,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1028729, SEN S/N: 1028729)","Temp, °C (LGR S/N: 1028729, SEN S/N: 1028729)","Batt, V (LGR S/N: 1028729, SEN S/N: 1028729)",Coupler Detached (LGR S/N: 1028729),Coupler Attached (LGR S/N: 1028729),Stopped (LGR S/N: 1028729),End Of File (LGR S/N: 1028729)
1,10/27/2011,10:30:00,76318,4.727,3.46,Logged,,,
2,10/27/2011,11:00:00,76303,4.727,3.46,,,,
3,10/27/2011,11:30:00,76318,4.727,3.48,,,,
4,10/27/2011,12:00:00,76302,4.831,3.46,,,,
5,10/27/2011,12:30:00,76240,4.934,3.46,,,,
6,10/27/2011,13:00:00,76224,4.934,3.46,,,,
7,10/27/2011,13:30:00,76224,5.037,3.46,,,,
8,10/27/2011,14:00:00,76208,5.037,3.46,,,,
9,10/27/2011,14:30:00,76208,5.141,3.46,,,,
10,10/27/2011,15:00:00,76208,5.141,3.46,,,,
11,10/27/2011,15:30:00,76208,5.141,3.46,,,,
12,10/27/2011,16:00:00,76239,5.141,3.46,,,,
13,10/27/2011,16:30:00,76239,5.141,3.46,,,,
14,10/27/2011,17:00:00,76254,5.141,3.46,,,,
15,10/27/2011,17:30:00,76285,5.037,3.46,,,,
16,10/27/2011,18:00:00,76332,5.037,3.46,,,,
17,10/27/2011,18:30:00,76347,5.037,3.46,,,,
18,10/27/2011,19:00:00,76348,4.934,3.46,,,,
19,10/27/2011,19:30:00,76394,4.934,3.46,,,,
20,10/27/2011,20:00:00,76394,4.934,3.46,,,,
21,10/27/2011,20:30:00,76410,4.831,3.46,,,,
22,10/27/2011,21:00:00,76410,4.727,3.48,,,,
23,10/27/2011,21:30:00,76456,4.727,3.48,,,,
24,10/27/2011,22:00:00,76442,4.623,3.48,,,,
25,10/27/2011,22:30:00,76457,4.623,3.48,,,,
26,10/27/2011,23:00:00,76442,4.519,3.48,,,,
27,10/27/2011,23:30:00,76458,4.415,3.48,,,,
28,10/28/2011,0:00:00,76474,4.415,3.48,,,,
29,10/28/2011,0:30:00,76505,4.311,3.48,,,,
30,10/28/2011,1:00:00,76536,4.311,3.48,,,,
31,10/28/2011,1:30:00,76536,4.207,3.48,,,,
32,10/28/2011,2:00:00,76506,4.207,3.48,,,,
33,10/28/2011,2:30:00,76491,4.102,3.48,,,,
34,10/28/2011,3:00:00,76522,4.102,3.48,,,,
35,10/28/2011,3:30:00,76537,3.998,3.48,,,,
