Plot Title: 1028729,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1028729, SEN S/N: 1028729)","Temp, °C (LGR S/N: 1028729, SEN S/N: 1028729)","Batt, V (LGR S/N: 1028729, SEN S/N: 1028729)",Coupler Detached (LGR S/N: 1028729),Coupler Attached (LGR S/N: 1028729),Stopped (LGR S/N: 1028729),End Of File (LGR S/N: 1028729)
1,1/16/1937,10:30:00,77062,15.091,3.48,Logged,,,
2,1/16/1937,11:00:00,77063,14.996,3.51,,,,
3,1/16/1937,11:30:00,77062,15.187,3.48,,,,
4,1/16/1937,12:00:00,77092,15.282,3.51,,,,
5,1/16/1937,12:30:00,77045,15.473,3.51,,,,
6,1/16/1937,13:00:00,77028,15.76,3.51,,,,
7,1/16/1937,13:30:00,77040,16.332,3.51,,,,
8,1/16/1937,14:00:00,77036,17.094,3.51,,,,
9,1/16/1937,14:30:00,77016,17.95,3.51,,,,
10,1/16/1937,15:00:00,76982,18.616,3.54,,,,
11,1/16/1937,15:30:00,76948,19.187,3.54,,,,
12,1/16/1937,16:00:00,76914,19.758,3.51,,,,
13,1/16/1937,16:30:00,76912,20.138,3.51,,,,
14,1/16/1937,17:00:00,76850,20.234,3.51,,,,
15,1/16/1937,17:30:00,76834,20.234,3.51,,,,
16,1/16/1937,18:00:00,76834,20.234,3.51,,,,
17,1/16/1937,18:30:00,76817,20.615,3.51,,,,
18,1/16/1937,19:00:00,76816,20.71,3.51,,,,
19,1/16/1937,19:30:00,76801,20.71,3.51,,,,
20,1/16/1937,20:00:00,76817,20.615,3.51,,,,
21,1/16/1937,20:30:00,76849,20.329,3.51,,,,
22,1/16/1937,21:00:00,76882,20.043,3.51,,,,
23,1/16/1937,21:30:00,76930,19.662,3.51,,,,
24,1/16/1937,22:00:00,76916,19.377,3.54,,,,
25,1/16/1937,22:30:00,76933,19.092,3.54,,,,
26,1/16/1937,23:00:00,76965,18.806,3.54,,,,
27,1/16/1937,23:30:00,76982,18.521,3.54,,,,
28,1/17/1937,0:00:00,76984,18.236,3.54,,,,
29,1/17/1937,0:30:00,77001,17.95,3.54,,,,
30,1/17/1937,1:00:00,76986,17.76,3.51,,,,
31,1/17/1937,1:30:00,76988,17.475,3.51,,,,
32,1/17/1937,2:00:00,76973,17.284,3.51,,,,
33,1/17/1937,2:30:00,76974,17.094,3.51,,,,
34,1/17/1937,3:00:00,76929,16.903,3.51,,,,
35,1/17/1937,3:30:00,76930,16.713,3.51,,,,
36,1/17/1937,4:00:00,76962,16.523,3.51,,,,
37,1/17/1937,4:30:00,76948,16.332,3.51,,,,
38,1/17/1937,5:00:00,76964,16.141,3.51,,,,
39,1/17/1937,5:30:00,76965,15.951,3.51,,,,
40,1/17/1937,6:00:00,76966,15.855,3.51,,,,
41,1/17/1937,6:30:00,76936,15.664,3.51,,,,
42,1/17/1937,7:00:00,76968,15.473,3.51,,,,
43,1/17/1937,7:30:00,76968,15.378,3.51,,,,
44,1/17/1937,8:00:00,76969,15.187,3.51,,,,
45,1/17/1937,8:30:00,76985,15.091,3.51,,,,
46,1/17/1937,9:00:00,77001,14.996,3.54,,,,
47,1/17/1937,9:30:00,77032,14.9,3.54,,,,
48,1/17/1937,10:00:00,77017,14.9,3.54,,,,
49,1/17/1937,10:30:00,77017,14.9,3.54,,,,
50,1/17/1937,11:00:00,77016,14.996,3.54,,,,
51,1/17/1937,11:30:00,77000,15.091,3.51,,,,
52,1/17/1937,12:00:00,77015,15.282,3.51,,,,
53,1/17/1937,12:30:00,76999,15.378,3.51,,,,
54,1/17/1937,13:00:00,76997,15.664,3.51,,,,
55,1/17/1937,13:30:00,76993,16.427,3.51,,,,
56,1/17/1937,14:00:00,76973,17.379,3.51,,,,
57,1/17/1937,14:30:00,76969,18.045,3.51,,,,
58,1/17/1937,15:00:00,76951,18.616,3.54,,,,
59,1/17/1937,15:30:00,76932,19.282,3.54,,,,
60,1/17/1937,16:00:00,76929,19.853,3.51,,,,
61,1/17/1937,16:30:00,76896,20.234,3.51,,,,
62,1/17/1937,17:00:00,76894,20.615,3.51,,,,
63,1/17/1937,17:30:00,76848,20.615,3.51,,,,
64,1/17/1937,18:00:00,76817,20.615,3.51,,,,
65,1/17/1937,18:30:00,76799,21.091,3.51,,,,
66,1/17/1937,19:00:00,76768,21.187,3.51,,,,
67,1/17/1937,19:30:00,76753,21.091,3.51,,,,
68,1/17/1937,20:00:00,76784,20.901,3.51,,,,
69,1/17/1937,20:30:00,76817,20.615,3.51,,,,
70,1/17/1937,21:00:00,77035,20.234,3.51,,,,
71,1/17/1937,21:30:00,77037,19.948,3.51,,,,
72,1/17/1937,22:00:00,76946,19.472,3.54,,,,
73,1/17/1937,22:30:00,76903,18.996,3.54,,,,
74,1/17/1937,23:00:00,76889,18.711,3.54,,,,
75,1/17/1937,23:30:00,76906,18.426,3.54,,,,
76,1/18/1937,0:00:00,76938,18.14,3.54,,,,
77,1/18/1937,0:30:00,76909,17.855,3.51,,,,
78,1/18/1937,1:00:00,76895,17.57,3.51,,,,
79,1/18/1937,1:30:00,76880,17.379,3.51,,,,
80,1/18/1937,2:00:00,76850,17.189,3.51,,,,
81,1/18/1937,2:30:00,76851,16.999,3.51,,,,
82,1/18/1937,3:00:00,76837,16.808,3.51,,,,
83,1/18/1937,3:30:00,76823,16.618,3.51,,,,
84,1/18/1937,4:00:00,76824,16.427,3.51,,,,
85,1/18/1937,4:30:00,76809,16.237,3.51,,,,
86,1/18/1937,5:00:00,76795,16.046,3.51,,,,
87,1/18/1937,5:30:00,76811,15.855,3.51,,,,
88,1/18/1937,6:00:00,76781,15.76,3.51,,,,
89,1/18/1937,6:30:00,76782,15.569,3.51,,,,
90,1/18/1937,7:00:00,76782,15.473,3.51,,,,
91,1/18/1937,7:30:00,76814,15.378,3.51,,,,
92,1/18/1937,8:00:00,76815,15.187,3.51,,,,
93,1/18/1937,8:30:00,76831,15.091,3.51,,,,
94,1/18/1937,9:00:00,76862,14.996,3.54,,,,
95,1/18/1937,9:30:00,76831,14.996,3.54,,,,
96,1/18/1937,10:00:00,76863,14.9,3.54,,,,
97,1/18/1937,10:30:00,76847,14.996,3.54,,,,
98,1/18/1937,11:00:00,76846,15.091,3.51,,,,
99,1/18/1937,11:30:00,76830,15.187,3.51,,,,
100,1/18/1937,12:00:00,76845,15.378,3.51,,,,
101,1/18/1937,12:30:00,76844,15.473,3.51,,,,
102,1/18/1937,13:00:00,76812,15.76,3.51,,,,
103,1/18/1937,13:30:00,76777,16.427,3.51,,,,
104,1/18/1937,14:00:00,76773,17.189,3.51,,,,
105,1/18/1937,14:30:00,76769,18.045,3.51,,,,
106,1/18/1937,15:00:00,76779,18.996,3.54,,,,
107,1/18/1937,15:30:00,76745,19.662,3.51,,,,
108,1/18/1937,16:00:00,76743,19.948,3.51,,,,
109,1/18/1937,16:30:00,76726,20.234,3.51,,,,
110,1/18/1937,17:00:00,76693,20.615,3.51,,,,
111,1/18/1937,17:30:00,76663,20.519,3.51,,,,
112,1/18/1937,18:00:00,76679,20.424,3.51,,,,
113,1/18/1937,18:30:00,76617,20.519,3.51,,,,
114,1/18/1937,19:00:00,76632,20.519,3.51,,,,
115,1/18/1937,19:30:00,76602,20.424,3.51,,,,
116,1/18/1937,20:00:00,76572,20.234,3.51,,,,
117,1/18/1937,20:30:00,76542,19.948,3.51,,,,
118,1/18/1937,21:00:00,76575,19.662,3.51,,,,
119,1/18/1937,21:30:00,76607,19.377,3.54,,,,
120,1/18/1937,22:00:00,76640,18.996,3.54,,,,
121,1/18/1937,22:30:00,76672,18.806,3.54,,,,
122,1/18/1937,23:00:00,76674,18.521,3.54,,,,
123,1/18/1937,23:30:00,76813,18.331,3.54,,,,
124,1/19/1937,0:00:00,76907,18.14,3.54,,,,
125,1/19/1937,0:30:00,76940,17.855,3.51,,,,
126,1/19/1937,1:00:00,76910,17.665,3.51,,,,
127,1/19/1937,1:30:00,76911,17.379,3.51,,,,
128,1/19/1937,2:00:00,76805,17.094,3.51,,,,
129,1/19/1937,2:30:00,76759,16.903,3.51,,,,
130,1/19/1937,3:00:00,76667,16.808,3.51,,,,
131,1/19/1937,3:30:00,76653,16.618,3.51,,,,
132,1/19/1937,4:00:00,76638,16.427,3.51,,,,
133,1/19/1937,4:30:00,76639,16.332,3.51,,,,
134,1/19/1937,5:00:00,76624,16.237,3.51,,,,
135,1/19/1937,5:30:00,76641,16.046,3.51,,,,
136,1/19/1937,6:00:00,76641,15.951,3.51,,,,
137,1/19/1937,6:30:00,76626,15.855,3.51,,,,
138,1/19/1937,7:00:00,76611,15.76,3.51,,,,
139,1/19/1937,7:30:00,76643,15.569,3.51,,,,
140,1/19/1937,8:00:00,76659,15.473,3.51,,,,
141,1/19/1937,8:30:00,76690,15.378,3.51,,,,
142,1/19/1937,9:00:00,76676,15.282,3.51,,,,
143,1/19/1937,9:30:00,76691,15.187,3.51,,,,
