Plot Title: 1028729,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1028729, SEN S/N: 1028729)","Temp, °C (LGR S/N: 1028729, SEN S/N: 1028729)","Batt, V (LGR S/N: 1028729, SEN S/N: 1028729)",Coupler Detached (LGR S/N: 1028729),End Of File (LGR S/N: 1028729)
1,10/30/2012,8:28:46,87104,-2.727,3.4,Logged,
2,10/30/2012,8:58:46,87012,-2.727,3.4,,
3,10/30/2012,9:28:46,87058,-2.727,3.4,,
4,10/30/2012,9:58:46,87150,-2.727,3.4,,
5,10/30/2012,10:28:46,87504,-2.727,3.4,,
6,10/30/2012,10:58:46,88103,-2.61,3.4,,
7,10/30/2012,11:28:46,89225,-2.494,3.4,,
8,10/30/2012,11:58:46,90393,-2.261,3.4,,
9,10/30/2012,12:28:46,91300,-2.145,3.4,,
10,10/30/2012,12:58:46,91960,-2.03,3.4,,
11,10/30/2012,13:28:46,92591,-1.914,3.4,,
12,10/30/2012,13:58:46,93605,-1.684,3.4,,
13,10/30/2012,14:28:46,94189,-1.57,3.4,,
14,10/30/2012,14:58:46,94512,-1.456,3.4,,
15,10/30/2012,15:28:46,94727,-1.341,3.4,,
16,10/30/2012,15:58:46,94927,-1.341,3.4,,
17,10/30/2012,16:28:46,95096,-1.228,3.4,,
18,10/30/2012,16:58:46,95219,-1.228,3.4,,
19,10/30/2012,17:28:46,95296,-1.228,3.4,,
20,10/30/2012,17:58:46,95342,-1.114,3.4,,
21,10/30/2012,18:28:46,95296,-1.114,3.4,,
22,10/30/2012,18:58:46,95158,-1.114,3.4,,
23,10/30/2012,19:28:46,94989,-1.228,3.4,,
24,10/30/2012,19:58:46,94773,-1.228,3.4,,
25,10/30/2012,20:28:46,94496,-1.228,3.4,,
26,10/30/2012,20:58:46,94220,-1.341,3.4,,
27,10/30/2012,21:28:46,93912,-1.341,3.4,,
28,10/30/2012,21:58:46,93605,-1.456,3.4,,
