Plot Title: 1028728,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1028728, SEN S/N: 1028728)","Temp, °C (LGR S/N: 1028728, SEN S/N: 1028728)","Batt, V (LGR S/N: 1028728, SEN S/N: 1028728)",Coupler Detached (LGR S/N: 1028728),Coupler Attached (LGR S/N: 1028728),Stopped (LGR S/N: 1028728),End Of File (LGR S/N: 1028728)
1,11/30/2011,14:00:00,74041,0.893,3.46,Logged,,,
2,11/30/2011,14:30:00,73998,0.893,3.46,,,,
3,11/30/2011,15:00:00,73984,0.893,3.46,,,,
4,11/30/2011,15:30:00,73956,1.003,3.46,,,,
5,11/30/2011,16:00:00,73941,1.112,3.46,,,,
6,11/30/2011,16:30:00,73913,1.112,3.46,,,,
7,11/30/2011,17:00:00,73913,1.112,3.46,,,,
8,11/30/2011,17:30:00,73913,1.112,3.46,,,,
9,11/30/2011,18:00:00,73885,1.112,3.46,,,,
10,11/30/2011,18:30:00,73857,1.003,3.46,,,,
11,11/30/2011,19:00:00,73857,1.003,3.46,,,,
12,11/30/2011,19:30:00,73871,1.003,3.46,,,,
13,11/30/2011,20:00:00,73857,0.893,3.46,,,,
14,11/30/2011,20:30:00,73872,0.893,3.46,,,,
15,11/30/2011,21:00:00,73858,0.784,3.46,,,,
16,11/30/2011,21:30:00,73858,0.784,3.46,,,,
17,11/30/2011,22:00:00,73858,0.784,3.46,,,,
18,11/30/2011,22:30:00,73858,0.784,3.46,,,,
19,11/30/2011,23:00:00,73858,0.784,3.46,,,,
20,11/30/2011,23:30:00,73858,0.674,3.46,,,,
21,12/1/2011,0:00:00,73830,0.674,3.46,,,,
22,12/1/2011,0:30:00,73830,0.674,3.46,,,,
23,12/1/2011,1:00:00,73830,0.674,3.46,,,,
24,12/1/2011,1:30:00,73816,0.674,3.46,,,,
25,12/1/2011,2:00:00,73830,0.674,3.46,,,,
26,12/1/2011,2:30:00,73816,0.674,3.46,,,,
27,12/1/2011,3:00:00,73830,0.674,3.46,,,,
28,12/1/2011,3:30:00,73830,0.674,3.46,,,,
29,12/1/2011,4:00:00,73830,0.674,3.46,,,,
30,12/1/2011,4:30:00,73802,0.674,3.46,,,,
31,12/1/2011,5:00:00,73830,0.674,3.46,,,,
32,12/1/2011,5:30:00,73830,0.674,3.46,,,,
33,12/1/2011,6:00:00,73858,0.674,3.46,,,,
34,12/1/2011,6:30:00,73872,0.674,3.46,,,,
35,12/1/2011,7:00:00,73900,0.674,3.46,,,,
36,12/1/2011,7:30:00,73929,0.563,3.46,,,,
37,12/1/2011,8:00:00,73929,0.674,3.46,,,,
38,12/1/2011,8:30:00,73957,0.674,3.46,,,,
39,12/1/2011,9:00:00,73999,0.674,3.46,,,,
40,12/1/2011,9:30:00,74027,0.674,3.46,,,,
41,12/1/2011,10:00:00,74027,0.674,3.46,,,,
42,12/1/2011,10:30:00,74041,0.674,3.46,,,,
43,12/1/2011,11:00:00,74013,0.674,3.46,,,,
44,12/1/2011,11:30:00,73985,0.674,3.46,,,,
45,12/1/2011,12:00:00,73957,0.674,3.46,,,,
46,12/1/2011,12:30:00,73900,0.674,3.46,,,,
47,12/1/2011,13:00:00,73929,0.674,3.46,,,,
48,12/1/2011,13:30:00,73914,0.784,3.46,,,,
49,12/1/2011,14:00:00,73942,0.893,3.46,,,,
50,12/1/2011,14:30:00,73942,0.893,3.46,,,,
51,12/1/2011,15:00:00,74027,0.893,3.46,,,,
52,12/1/2011,15:30:00,74068,1.003,3.48,,,,
53,12/1/2011,16:00:00,74110,1.112,3.48,,,,
54,12/1/2011,16:30:00,74167,1.112,3.46,,,,
55,12/1/2011,17:00:00,74167,1.112,3.46,,,,
56,12/1/2011,17:30:00,74223,1.112,3.46,,,,
57,12/1/2011,18:00:00,74266,1.003,3.46,,,,
58,12/1/2011,18:30:00,74280,1.003,3.46,,,,
59,12/1/2011,19:00:00,74308,1.003,3.46,,,,
60,12/1/2011,19:30:00,74322,0.893,3.46,,,,
61,12/1/2011,20:00:00,74351,0.893,3.46,,,,
62,12/1/2011,20:30:00,74351,0.893,3.46,,,,
63,12/1/2011,21:00:00,74393,0.784,3.46,,,,
64,12/1/2011,21:30:00,74379,0.784,3.46,,,,
65,12/1/2011,22:00:00,74393,0.784,3.46,,,,
66,12/1/2011,22:30:00,74393,0.784,3.46,,,,
67,12/1/2011,23:00:00,74407,0.784,3.46,,,,
68,12/1/2011,23:30:00,74365,0.674,3.46,,,,
