Plot Title: 1028728,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1028728, SEN S/N: 1028728)","Temp, °C (LGR S/N: 1028728, SEN S/N: 1028728)","Batt, V (LGR S/N: 1028728, SEN S/N: 1028728)",Coupler Detached (LGR S/N: 1028728),End Of File (LGR S/N: 1028728)
1,1/16/1937,11:30:00,75211,13.558,3.54,Logged,
2,1/16/1937,12:00:00,75183,13.558,3.54,,
3,1/16/1937,12:30:00,75197,13.558,3.54,,
4,1/16/1937,13:00:00,75183,13.558,3.54,,
5,1/16/1937,13:30:00,75169,13.558,3.54,,
6,1/16/1937,14:00:00,75155,13.654,3.54,,
7,1/16/1937,14:30:00,75112,13.75,3.54,,
8,1/16/1937,15:00:00,75084,13.942,3.54,,
9,1/16/1937,15:30:00,75041,14.23,3.54,,
10,1/16/1937,16:00:00,75012,14.421,3.54,,
11,1/16/1937,16:30:00,74998,14.804,3.57,,
12,1/16/1937,17:00:00,74969,15.091,3.54,,
13,1/16/1937,17:30:00,74926,15.378,3.54,,
14,1/16/1937,18:00:00,74926,15.664,3.54,,
15,1/16/1937,18:30:00,74883,15.855,3.54,,
16,1/16/1937,19:00:00,74897,16.046,3.54,,
17,1/16/1937,19:30:00,74897,15.951,3.54,,
18,1/16/1937,20:00:00,74925,15.951,3.54,,
19,1/16/1937,20:30:00,74996,15.855,3.54,,
20,1/16/1937,21:00:00,74968,15.76,3.54,,
21,1/16/1937,21:30:00,75011,15.664,3.54,,
22,1/16/1937,22:00:00,75053,15.473,3.54,,
23,1/16/1937,22:30:00,75068,15.378,3.54,,
24,1/16/1937,23:00:00,75096,15.282,3.54,,
25,1/16/1937,23:30:00,75110,15.187,3.54,,
26,1/17/1937,0:00:00,75110,15.091,3.54,,
27,1/17/1937,0:30:00,75125,14.996,3.57,,
28,1/17/1937,1:00:00,75096,14.9,3.57,,
29,1/17/1937,1:30:00,75096,14.9,3.57,,
30,1/17/1937,2:00:00,75111,14.804,3.57,,
31,1/17/1937,2:30:00,75111,14.709,3.57,,
32,1/17/1937,3:00:00,75083,14.613,3.57,,
33,1/17/1937,3:30:00,75083,14.517,3.57,,
34,1/17/1937,4:00:00,75069,14.517,3.54,,
35,1/17/1937,4:30:00,75083,14.421,3.54,,
36,1/17/1937,5:00:00,75069,14.325,3.54,,
37,1/17/1937,5:30:00,75083,14.23,3.54,,
38,1/17/1937,6:00:00,75083,14.134,3.54,,
39,1/17/1937,6:30:00,75083,14.134,3.54,,
40,1/17/1937,7:00:00,75069,14.038,3.54,,
41,1/17/1937,7:30:00,75098,13.942,3.54,,
42,1/17/1937,8:00:00,75084,13.846,3.54,,
43,1/17/1937,8:30:00,75112,13.846,3.54,,
44,1/17/1937,9:00:00,75126,13.75,3.54,,
45,1/17/1937,9:30:00,75140,13.75,3.54,,
46,1/17/1937,10:00:00,75140,13.75,3.54,,
47,1/17/1937,10:30:00,75141,13.654,3.54,,
48,1/17/1937,11:00:00,75141,13.654,3.54,,
49,1/17/1937,11:30:00,75140,13.75,3.54,,
50,1/17/1937,12:00:00,75140,13.75,3.54,,
51,1/17/1937,12:30:00,75126,13.75,3.54,,
52,1/17/1937,13:00:00,75112,13.75,3.54,,
53,1/17/1937,13:30:00,75112,13.75,3.54,,
54,1/17/1937,14:00:00,75098,13.75,3.54,,
55,1/17/1937,14:30:00,75070,13.846,3.54,,
56,1/17/1937,15:00:00,75055,14.038,3.54,,
57,1/17/1937,15:30:00,75027,14.325,3.54,,
58,1/17/1937,16:00:00,74998,14.613,3.54,,
59,1/17/1937,16:30:00,74955,14.9,3.57,,
60,1/17/1937,17:00:00,74941,15.187,3.54,,
61,1/17/1937,17:30:00,74940,15.473,3.54,,
62,1/17/1937,18:00:00,74883,15.76,3.54,,
63,1/17/1937,18:30:00,74883,15.951,3.54,,
64,1/17/1937,19:00:00,74840,16.046,3.54,,
65,1/17/1937,19:30:00,74826,16.046,3.54,,
66,1/17/1937,20:00:00,74897,15.951,3.54,,
67,1/17/1937,20:30:00,74897,15.855,3.54,,
68,1/17/1937,21:00:00,75039,15.855,3.54,,
69,1/17/1937,21:30:00,75095,15.76,3.54,,
70,1/17/1937,22:00:00,75025,15.664,3.54,,
71,1/17/1937,22:30:00,74997,15.569,3.54,,
72,1/17/1937,23:00:00,75025,15.473,3.54,,
73,1/17/1937,23:30:00,75011,15.378,3.54,,
74,1/18/1937,0:00:00,75039,15.282,3.54,,
75,1/18/1937,0:30:00,75025,15.187,3.54,,
76,1/18/1937,1:00:00,74997,15.091,3.54,,
77,1/18/1937,1:30:00,74983,14.996,3.57,,
78,1/18/1937,2:00:00,74969,14.9,3.57,,
79,1/18/1937,2:30:00,74955,14.804,3.57,,
