Plot Title: San Luis 10_11,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)",Coupler Detached (LGR S/N: 9811668),Coupler Attached (LGR S/N: 9811668),Stopped (LGR S/N: 9811668),End Of File (LGR S/N: 9811668)
1,10/25/2011,14:00:00,75161,12.401,Logged,,,
2,10/25/2011,14:30:00,75148,12.304,,,,
3,10/25/2011,15:00:00,75164,12.594,,,,
4,10/25/2011,15:30:00,75106,12.787,,,,
5,10/25/2011,16:00:00,75119,12.787,,,,
6,10/25/2011,16:30:00,75060,12.883,,,,
7,10/25/2011,17:00:00,75034,12.787,,,,
8,10/25/2011,17:30:00,75022,12.787,,,,
9,10/25/2011,18:00:00,75034,12.787,,,,
10,10/25/2011,18:30:00,75117,12.69,,,,
11,10/25/2011,19:00:00,75162,12.497,,,,
12,10/25/2011,19:30:00,75161,12.401,,,,
13,10/25/2011,20:00:00,75101,12.401,,,,
14,10/25/2011,20:30:00,75089,12.401,,,,
15,10/25/2011,21:00:00,75088,12.304,,,,
16,10/25/2011,21:30:00,75088,12.304,,,,
17,10/25/2011,22:00:00,75074,12.207,,,,
18,10/25/2011,22:30:00,75086,12.207,,,,
19,10/25/2011,23:00:00,75050,12.207,,,,
20,10/25/2011,23:30:00,75062,12.207,,,,
21,10/26/2011,0:00:00,75049,12.11,,,,
22,10/26/2011,0:30:00,75025,12.11,,,,
23,10/26/2011,1:00:00,75025,12.11,,,,
24,10/26/2011,1:30:00,74977,12.11,,,,
25,10/26/2011,2:00:00,74965,12.11,,,,
26,10/26/2011,2:30:00,74928,12.11,,,,
27,10/26/2011,3:00:00,74928,12.11,,,,
28,10/26/2011,3:30:00,74892,12.11,,,,
29,10/26/2011,4:00:00,74868,12.11,,,,
30,10/26/2011,4:30:00,74832,12.11,,,,
31,10/26/2011,5:00:00,74880,12.11,,,,
32,10/26/2011,5:30:00,74868,12.11,,,,
33,10/26/2011,6:00:00,74904,12.11,,,,
34,10/26/2011,6:30:00,74856,12.11,,,,
35,10/26/2011,7:00:00,74843,12.013,,,,
36,10/26/2011,7:30:00,74831,12.013,,,,
37,10/26/2011,8:00:00,74819,12.013,,,,
38,10/26/2011,8:30:00,74819,12.013,,,,
39,10/26/2011,9:00:00,74831,12.013,,,,
40,10/26/2011,9:30:00,74796,12.11,,,,
41,10/26/2011,10:00:00,74796,12.11,,,,
42,10/26/2011,10:30:00,74748,12.11,,,,
43,10/26/2011,11:00:00,74796,12.11,,,,
44,10/26/2011,11:30:00,74736,12.11,,,,
45,10/26/2011,12:00:00,74738,12.207,,,,
46,10/26/2011,12:30:00,74715,12.304,,,,
47,10/26/2011,13:00:00,74724,12.11,,,,
48,10/26/2011,13:30:00,74688,12.11,,,,
49,10/26/2011,14:00:00,74676,12.11,,,,
50,10/26/2011,14:30:00,74664,12.11,,,,
51,10/26/2011,15:00:00,74545,12.207,,,,
52,10/26/2011,15:30:00,74545,12.207,,,,
53,10/26/2011,16:00:00,74612,11.819,,,,
54,10/26/2011,16:30:00,74633,11.625,,,,
