Plot Title: San Luis 2012,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811668, SEN S/N: 9811668)","Temp, °C (LGR S/N: 9811668, SEN S/N: 9811668)",Coupler Detached (LGR S/N: 9811668),Coupler Attached (LGR S/N: 9811668),Stopped (LGR S/N: 9811668),End Of File (LGR S/N: 9811668)
1,11/9/2013,14:30:00,75581,6.166,Logged,,,
2,11/9/2013,15:00:00,75596,7.381,,,,
3,11/9/2013,15:30:00,75632,8.282,,,,
4,11/9/2013,16:00:00,75665,8.879,,,,
5,11/9/2013,16:30:00,75669,9.176,,,,
6,11/9/2013,17:00:00,75695,9.373,,,,
7,11/9/2013,17:30:00,75733,9.472,,,,
8,11/9/2013,18:00:00,75769,9.472,,,,
9,11/9/2013,18:30:00,75781,9.472,,,,
10,11/9/2013,19:00:00,75793,9.472,,,,
11,11/9/2013,19:30:00,75803,9.373,,,,
12,11/9/2013,20:00:00,75816,9.373,,,,
13,11/9/2013,20:30:00,75816,9.373,,,,
14,11/9/2013,21:00:00,75828,9.373,,,,
15,11/9/2013,21:30:00,75838,9.275,,,,
16,11/9/2013,22:00:00,75838,9.275,,,,
17,11/9/2013,22:30:00,75850,9.275,,,,
18,11/9/2013,23:00:00,75825,9.176,,,,
19,11/9/2013,23:30:00,75837,9.176,,,,
20,11/10/2013,0:00:00,75825,9.176,,,,
21,11/10/2013,0:30:00,75835,9.077,,,,
22,11/10/2013,1:00:00,75835,9.077,,,,
23,11/10/2013,1:30:00,75810,8.978,,,,
24,11/10/2013,2:00:00,75798,8.978,,,,
25,11/10/2013,2:30:00,75797,8.879,,,,
26,11/10/2013,3:00:00,75797,8.879,,,,
27,11/10/2013,3:30:00,75785,8.879,,,,
28,11/10/2013,4:00:00,75783,8.779,,,,
29,11/10/2013,4:30:00,75807,8.779,,,,
30,11/10/2013,5:00:00,75843,8.779,,,,
31,11/10/2013,5:30:00,75866,8.68,,,,
32,11/10/2013,6:00:00,75866,8.68,,,,
33,11/10/2013,6:30:00,75890,8.68,,,,
34,11/10/2013,7:00:00,75901,8.581,,,,
35,11/10/2013,7:30:00,75925,8.581,,,,
36,11/10/2013,8:00:00,75961,8.581,,,,
37,11/10/2013,8:30:00,75949,8.581,,,,
38,11/10/2013,9:00:00,75962,8.68,,,,
39,11/10/2013,9:30:00,75938,8.68,,,,
40,11/10/2013,10:00:00,75928,8.779,,,,
41,11/10/2013,10:30:00,75905,8.879,,,,
42,11/10/2013,11:00:00,75870,8.978,,,,
43,11/10/2013,11:30:00,75862,9.275,,,,
44,11/10/2013,12:00:00,75808,9.669,,,,
45,11/10/2013,12:30:00,75764,9.965,,,,
46,11/10/2013,13:00:00,75732,10.259,,,,
47,11/10/2013,13:30:00,75734,10.455,,,,
48,11/10/2013,14:00:00,75725,10.651,,,,
49,11/10/2013,14:30:00,75739,10.748,,,,
50,11/10/2013,15:00:00,75751,10.748,,,,
51,11/10/2013,15:30:00,75763,10.748,,,,
52,11/10/2013,16:00:00,75775,10.748,,,,
53,11/10/2013,16:30:00,75797,10.651,,,,
54,11/10/2013,17:00:00,75796,10.553,,,,
55,11/10/2013,17:30:00,75831,10.455,,,,
56,11/10/2013,18:00:00,75829,10.357,,,,
57,11/10/2013,18:30:00,75852,10.259,,,,
58,11/10/2013,19:00:00,75874,10.161,,,,
59,11/10/2013,19:30:00,75884,9.965,,,,
60,11/10/2013,20:00:00,75882,9.866,,,,
61,11/10/2013,20:30:00,75893,9.768,,,,
62,11/10/2013,21:00:00,75892,9.669,,,,
63,11/10/2013,21:30:00,75904,9.669,,,,
64,11/10/2013,22:00:00,75902,9.571,,,,
65,11/10/2013,22:30:00,75901,9.472,,,,
66,11/10/2013,23:00:00,75877,9.472,,,,
67,11/10/2013,23:30:00,75876,9.373,,,,
68,11/11/2013,0:00:00,75876,9.373,,,,
69,11/11/2013,0:30:00,75862,9.275,,,,
70,11/11/2013,1:00:00,75838,9.275,,,,
71,11/11/2013,1:30:00,75814,9.275,,,,
72,11/11/2013,2:00:00,75801,9.176,,,,
73,11/11/2013,2:30:00,75813,9.176,,,,
74,11/11/2013,3:00:00,75799,9.077,,,,
